director_name,num_voted_users,cast_total_facebook_likes,language,movie_facebook_likes
Paolo Monico,118,2890,Italian,32
Youssef Delara,704,4469,English,406
Darin Scott,976,3024,English,395
Christian Sesma,520,4092,English,398
Monte Hellman,240,277,English,37
Kenneth Branagh,103749,4671,English,56000
Brian Caunter,706,1989,English,229
Chris D'Arienzo,3443,3648,English,480
Walter Salles,28951,167,Portuguese,0
Frank Capra,4313,2167,English,612
Isaac Florentine,2425,1517,English,968
Susan Seidelman,746,1231,English,88
Michael Polish,2157,423,English,421
Heidi Ewing,5695,2305,English,0
Richard Donner,80961,673,English,7000
Alexandre Aja,55040,923,French,0
Leon Ford,4173,362,English,0
Hank Braxtan,859,964,English,369
Craig Brewer,33567,727,English,0
Billy Wilder,175196,527,English,10000
John Carl Buechler,21359,1855,English,0
Victor Fleming,291875,2509,English,14000
Mel Brooks,112671,2703,English,14000
George A. Romero,40800,1797,English,0
Rajkumar Hirani,27569,1761,Hindi,349
Victor Nunez,5744,787,English,381
Carroll Ballard,8856,681,English,0
Rohit Jugraj,745,434,Panjabi,50
Thorbjørn Christoffersen,1828,197,Danish,77
John Ford,5786,1949,English,573
Alex van Warmerdam,1470,25,Dutch,121
Victor Fleming,1553,2555,English,116
Mel Brooks,95294,4701,English,12000
Joseph Zito,29488,467,English,0
Pawel Pawlikowski,34643,205,Polish,17000
James Ivory,10755,1269,English,963
Frank Sebastiano,6930,2753,English,323
Rand Ravich,45500,52621,English,1000
Stacy Peralta,3849,179,English,0
Nacho Vigalondo,40878,239,Spanish,0
Hao Ning,1418,19,Mandarin,30
Tony Giglio,5012,1082,English,254
Stanley Donen,150020,2510,English,0
Joe Cross,6429,67,English,10000
Michael Tiddes,34620,3421,English,0
Dinesh D'Souza,9010,1111,English,0
Rob Zombie,36372,3226,English,3000
Tom Hanks,50311,28713,English,0
Tommy Lee Wallace,28589,684,English,0
Don Taylor,23546,2373,English,819
Martin Ritt,15277,1141,English,1000
Leslie Small,6062,1385,English,0
Gus Van Sant,36996,19923,English,0
Zach Braff,187595,1655,English,0
Richard Linklater,183288,36,English,22000
Éric Tessier,1003,79,French,39
Alison Maclean,6221,2125,English,500
Alice Wu,7776,1396,English,774
Sarah Gavron,2560,150,English,430
Jake Schreier,52509,1980,English,13000
Isabel Coixet,21202,2972,English,0
James Ponsoldt,105591,10040,English,10000
Randall Miller,97,1967,English,16
Larry Charles,52286,338,English,24000
Joshua Tickell,578,1252,English,588
Tim Boxell,91,1064,English,144
Rawson Marshall Thurber,185345,4730,English,0
Michael D. Sellers,806,1491,English,140
Reed Cowan,1138,210,English,0
James Dodson,4820,1739,English,0
Stefan Ruzowitzky,10220,163,German,560
Alex Rivera,5699,862,Spanish,0
James Gunn,61787,4590,English,19000
John Murlowski,858,2579,English,190
Benni Diez,3119,3157,English,0
Danny Perez,63,2406,English,89
Spike Lee,4100,5963,English,352
Robby Henson,4057,2306,English,250
Mike Judge,108052,1490,English,79000
Zackary Adler,1510,881,English,0
Shane Meadows,99177,3282,English,11000
Dominic Burns,2753,3132,English,0
George Sidney,1079,1627,English,144
Carmen Marron,1015,1668,English,566
Tim McCanlies,2189,2580,English,500
George Sidney,3538,2329,English,438
Mario Van Peebles,440,3586,English,279
Jason Stone,6025,4385,English,0
Jerry Rees,19650,12359,English,0
James Algar,71321,16,English,3000
William Friedkin,82476,1196,English,0
Jaco Booyens,44,210,English,224
Steve Miner,31952,174,English,0
Danny Steinmann,22521,170,English,1000
Michael Landon Jr.,1573,2161,English,285
Jon Gunn,4977,6752,English,13000
Hayley Cloake,1118,1651,English,77
Tay Garnett,1314,1490,English,68
Shyam Madiraju,1351,3799,English,452
Harmage Singh Kalirai,480,244,English,172
Rita Merson,485,6085,English,107
Jon Knautz,5187,558,English,870
William Wyler,40359,1941,English,0
Larry Clark,29424,3293,English,0
Petter Næss,12244,155,Norwegian,0
Robert Fontaine,22,214,English,305
Jaume Balagueró,131462,145,Spanish,15000
Patricia Cardoso,544,3873,English,162
Dan Perri,6,1814,English,14
Neil Mcenery-West,1355,2044,English,275
Anthony O'Brien,1274,1020,English,380
Terence Young,89403,1456,English,0
Michael Herz,4663,99,English,321
,2258,1736,English,763
Woody Allen,33335,11192,English,0
David Robert Mitchell,112899,1062,English,45000
Woody Allen,31077,12034,English,0
Robert Mulligan,215086,3833,English,15000
George Miller,133966,1396,English,0
Chia-Liang Liu,34520,768,Cantonese,0
Stanley Kubrick,67825,1404,English,0
Kimberly Peirce,77551,563,English,0
Chris Kentis,18566,218,English,0
Florian Henckel von Donnersmarck,259379,927,German,39000
Alex Kendrick,15401,2300,English,10000
Robert Rossen,62860,2290,English,0
Jack Conway,2269,2555,English,236
Sylvain Chomet,42462,29,French,0
Chris Eyre,8224,3163,English,0
Shari Springer Berman,41999,14412,English,0
Richard Linklater,168398,65,English,13000
Alejandro G. Iñárritu,173551,318,Spanish,11000
Catherine Hardwicke,68222,2186,English,0
Elia Kazan,10791,1846,English,0
Debra Granik,111658,34446,English,20000
Kevin Macdonald,26926,29,English,0
Henry King,1381,1833,English,60
Miranda July,31130,1349,English,0
Charles Ferguson,55382,13145,English,63000
Max Joseph,20885,3013,English,0
Jim Jarmusch,70084,675,English,0
David Ayer,54657,50313,English,0
Jerry Jameson,3911,2739,English,0
Steven Soderbergh,8662,11327,English,134
Kevin Tenney,4288,901,English,0
,4181,1359,English,558
Kenneth Branagh,30618,1645,English,0
John Cameron Mitchell,27346,226,English,0
Ari Folman,46107,56,Hebrew,0
Gary Rogers,397,359,English,32
Charles Ferguson,7314,446,English,0
Marielle Heller,16645,11184,English,0
,415,11618,English,43
David Sington,5475,408,English,0
Kelly Reichardt,8204,3427,English,0
Fenton Bailey,5615,1136,English,592
Bob Giraldi,4359,1156,English,495
Jill Sprecher,4049,3011,English,166
Huck Botko,3467,768,English,974
Luc Besson,11031,1917,French,739
David Duchovny,7479,51441,English,857
Mitchell Lichtenstein,34556,1511,English,17000
Lance Mungia,5613,36,English,0
Kundan Shah,275,613,Hindi,10
Michael Dowse,16828,865,English,0
Hue Rhodes,2522,36885,English,407
Shane Meadows,2081,5535,English,224
Roland Emmerich,1758,26176,English,0
,39559,4280,English,3000
Jugal Hansraj,922,653,Hindi,39
Danny Provenzano,508,1307,English,61
Bill Muir,1278,2522,English,715
Richard LaGravenese,6223,10869,English,0
Noah Buschel,1268,2749,English,195
Brian Yuzna,10182,1362,English,810
Hunter Richards,19336,39518,English,0
Laurie Collyer,10282,774,English,474
Bruce McCulloch,11211,3065,English,215
Aaron Hann,13279,776,English,0
James Watkins,57811,14561,English,0
Catherine Hardwicke,2895,2341,English,604
Phil Claydon,17296,1593,English,0
Ralph Ziman,9689,86,English,1000
John Simpson,2588,1650,English,205
Colin Minihan,40380,762,English,0
Conor McMahon,6585,322,English,0
Chris Shadley,9280,1149,English,0
Simon Napier-Bell,7,712,English,0
Woody Allen,27646,11700,English,0
Simon Yin,289,892,English,115
Jeff Crook,355,2395,English,44
,7646,1884,English,1000
Orson Welles,19236,1055,English,0
Dave Payne,2701,2620,English,153
James Cox,5182,15740,English,912
Jonas Åkerlund,5732,3683,English,0
Brad Copeland,4204,35796,English,0
Paul Bunnell,344,1611,English,655
Phil Morrison,4478,2020,English,825
Harald Reinl,952,16110,German,200
James Cox,3605,2654,English,0
Richard Lester,6804,1807,English,805
Michael Moore,2242,1674,English,69
Tanner Beard,583,15707,English,651
Scott Dow,2348,1425,English,0
Derick Martini,1040,4968,English,0
Jerry Dugan,838,13583,English,728
Tim Hunter,11763,19649,English,0
Michael Polish,4894,2389,English,298
William Kaufman,2032,1204,English,620
Rodrigo Cortés,118684,17471,English,24000
Richard Ayoade,65877,3275,English,17000
Jehane Noujaim,6678,176,Arabic,0
Pascal Arnold,1010,1082,French,104
