director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
Ted Post,78,158,Gregory Sierra,220,Action|Adventure|Sci-Fi,Linda Harrison,32378,0,ape|astronaut|mission|planet|rescue,http://www.imdb.com/title/tt0065462/?ref_=fn_tt_tt_1,150,English,G,3000000,6.1,0
Charles Martin Smith,35,693,Bill Cobbs,2000,Comedy|Drama|Family|Sport,Kevin Zegers,12942,0,basketball|boy|dog|dog movie|golden retriever,http://www.imdb.com/title/tt0118570/?ref_=fn_tt_tt_1,34,English,PG,3000000,5.1,902
Kunihiko Yuyama,39,49,Eric Stuart,88,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Veronica Taylor,9066,0,ash|father|mother|pokemon|professor,http://www.imdb.com/title/tt0235679/?ref_=fn_tt_tt_1,55,Japanese,G,16000000,5.6,38
Tom McLoughlin,158,155,Ron Palillo,956,Horror|Thriller,Tony Goldwyn,25332,0,actual animal killed|death|jason voorhees|slasher flick|teen horror,http://www.imdb.com/title/tt0091080/?ref_=fn_tt_tt_1,307,English,R,3000000,5.9,0
David Lean,122,87,Sessue Hayakawa,682,Adventure|Drama|War,William Holden,149444,2,allies|bridge|construction|jungle|sabotage,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,273,English,PG,3000000,8.2,0
Patrick Read Johnson,16,175,Royal Dano,610,Adventure|Comedy|Sci-Fi,Ariana Richards,2580,1,alien|halloween|killer robot|outer space|wrestler costume,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,54,English,PG,3000000,5.3,710
Alfred Hitchcock,67,416,Bruce Dern,897,Comedy|Thriller,Ed Lauter,15293,1,actor|diamond|heir|kidnapping|ransom,http://www.imdb.com/title/tt0074512/?ref_=fn_tt_tt_1,111,English,PG,4490375,6.8,609
Billy Wilder,183,180,Ray Walston,516,Comedy|Drama|Romance,Fred MacMurray,109335,2,apartment|elevator|elevator girl|love|mistress,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,241,English,Approved,3000000,8.3,0
Adam Marcus,112,307,Leslie Jordan,935,Fantasy|Horror|Thriller,Kane Hodder,19331,0,brutality|evil|jason voorhees|paranormal phenomena|terror,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,317,English,R,2500000,4.3,949
Alfred Hitchcock,64,14,Lila Kedrova,18,Thriller,Tamara Toumanova,18656,1,defection|east germany|germany|iron curtain|scientist,http://www.imdb.com/title/tt0061107/?ref_=fn_tt_tt_1,137,English,Approved,6000000,6.7,933
Michel Gondry,114,220,Dave Chappelle,989,Comedy|Documentary|Music,Common,7721,0,block party|marching band|neighborhood|new york city|tyrannosaurus rex,http://www.imdb.com/title/tt0425598/?ref_=fn_tt_tt_1,72,English,R,3000000,7.2,635
John Maclean,246,748,Kodi Smit-McPhee,13000,Western,Michael Fassbender,27650,2,american west|bounty hunter|frontier|horse riding|outlaw,http://www.imdb.com/title/tt3205376/?ref_=fn_tt_tt_1,88,English,R,,6.9,0
Michael Schultz,7,77,LisaGay Hamilton,685,Comedy|Drama|Music,Blair Underwood,1361,0,actress shares first name with character|bar|car wash|city|d.j.,http://www.imdb.com/title/tt0089444/?ref_=fn_tt_tt_1,16,English,R,3000000,6.6,889
Benny Boom,49,706,Donald Faison,1000,Action|Comedy|Crime,Omari Hardwick,8265,3,cocaine|package|slow motion scene|topless female nudity|wrong address,http://www.imdb.com/title/tt1097013/?ref_=fn_tt_tt_1,20,English,R,3000000,5.9,545
