num_critic_for_reviews,actor_3_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,country,title_year,aspect_ratio
97,91,Ned Bellamy,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,160,USA,1999,2.35
73,8,Matthias Habich,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,84,Germany,2001,2.35
486,726,James Badge Dale,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,375,UK,2011,2.35
149,466,Jamie Foreman,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,263,UK,2004,2.35
4,266,Brenda Strong,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,21,USA,2005,2.35
200,782,Jason Ritter,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,119,UK,2013,2.35
84,874,Sissy Spacek,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,135,USA,2004,2.35
28,0,Stellan Skarsgård,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,35,UK,2000,1.85
217,706,Eamonn Walker,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,92,USA,2009,2.35
12,368,Temuera Morrison,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,18,New Zealand,2010,2.35
183,471,Alexandra Maria Lara,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,143,UK,2007,2.35
204,255,Paul Winfield,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,692,UK,1984,1.85
153,43,Burghart Klaußner,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,225,Germany,2003,1.85
145,27,Maurice Roëves,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,75,UK,2009,1.85
203,358,Beverly Randolph,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,300,USA,1985,1.85
10,5,Marco D'Amore,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,25,Italy,,1.85
93,781,Joey Lauren Adams,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,434,USA,1995,1.85
124,898,Sid Caesar,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,350,USA,1978,2.35
120,576,Kevin Dillon,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,505,UK,1986,1.85
288,282,Ricky Martin,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,1416,USA,2004,1.85
130,399,Kenneth Mars,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,309,USA,1969,2.35
145,266,Elsa Lanchester,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,259,USA,1964,1.66
