duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,content_rating,actor_2_facebook_likes,imdb_score
95,214,Ben Crompton,513,26297,MyAnna Buring,Kill List ,25750,1269,Neil Maskell,0,http://www.imdb.com/title/tt1788391/?ref_=fn_tt_tt_1,English,UK,Not Rated,257,6.3
101,243,Jake Ryan,969,77501,Lena Dunham,The Innkeepers ,27260,1252,Pat Healy,0,http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1,English,USA,R,128,5.5
89,687,Atticus Shaffer,10000,42638165,Gary Oldman,The Unborn ,42183,12183,Rachel Brosnahan,1,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,English,USA,PG-13,787,4.8
106,973,Stefania Sandrelli,319,,Jean-Louis Trintignant,The Conformist ,17813,500,Dominique Sanda,1,http://www.imdb.com/title/tt0065571/?ref_=fn_tt_tt_1,Italian,Italy,R,90,8.1
88,168,Christel Khalil,108,47329,Raymond J. Barry,Interview with the Assassin ,1661,243,Renee Faia,0,http://www.imdb.com/title/tt0308411/?ref_=fn_tt_tt_1,English,USA,R,72,6.6
99,4,Nichola Burley,1000,18378,Julian Morris,Donkey Punch ,9376,1558,Tom Burke,0,http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,English,UK,R,233,5.2
90,129,Michael Welch,935,,Luke Grimes,All the Boys Love Mandy Lane ,25951,2170,Whitney Able,1,http://www.imdb.com/title/tt0490076/?ref_=fn_tt_tt_1,English,USA,R,611,5.6
95,3,Jennifer Lee Wiggins,717,,Dichen Lachman,Bled ,851,1117,Michele Morrow,0,http://www.imdb.com/title/tt0997143/?ref_=fn_tt_tt_1,English,USA,R,134,3.1
85,160,Lloyd Bridges,998,,Gary Cooper,High Noon ,80193,2496,Lon Chaney Jr.,0,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,English,USA,PG,575,8.1
170,23,Arthur Agee,7,7830611,William Gates,Hoop Dreams ,18980,15,Isiah Thomas,0,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,English,USA,PG-13,6,8.3
