director_name,num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,actor_3_name,num_user_for_reviews,country,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Jay Oliva,44,Mark Valley,,Michael Emerson,Batman: The Dark Knight Returns, Part 2 ,Grey Griffin,55,USA,774,8.4,,5000
Charles Ferguson,6,Jerry Brown,29233,Jane Goodall,Time to Choose ,Peter Agnefjall,2,USA,3,7.0,,121
Uwe Boll,17,Shelly Varod,,Bashar Rahal,In the Name of the King: The Last Job ,Ralitsa Paskaleva,10,Canada,145,3.3,1.78,721
Mark Young,7,Jake Busey,,Alexa PenaVega,Wicked Blood ,Lew Temple,10,USA,660,5.4,1.85,482
Daniel Petrie Jr.,9,Jeff Fahey,,Chris Brochu,Dawn Patrol ,Rita Wilson,13,,535,4.8,2.35,570
Antonio Simoncini,3,Joe Egan,,Ray Winstone,Lords of London ,Glen Murphy,18,UK,53,3.1,2.35,606
Mel Brooks,55,Harvey Korman,,Madeline Kahn,High Anxiety ,Dick Van Patten,102,USA,628,6.7,1.85,0
Luc Jacquet,169,Sofie Gråbøl,77413017,Morgan Freeman,March of the Penguins ,Romane Bohringer,331,France,108,7.6,1.85,0
J.C. Chandor,290,Demi Moore,5354039,Kevin Spacey,Margin Call ,Ashley Williams,225,USA,2000,7.1,1.85,21000
Eldar Rapaport,10,Adrian Gonzalez,,Murray Bartlett,August ,Edward Conna,13,USA,69,6.1,2.35,224
Clark Gregg,159,Matt Gerald,2926565,Anjelica Huston,Choke ,Jonah Bobo,72,USA,585,6.5,1.66,0
Damien Chazelle,535,Melissa Benoist,13092000,J.K. Simmons,Whiplash ,Chris Mulkey,731,USA,970,8.5,2.4,129000
Fernando Meirelles,214,Seu Jorge,7563397,Alice Braga,City of God ,Alexandre Rodrigues,749,Brazil,69,8.7,1.85,28000
Justin Kerrigan,47,John Simm,104257,Danny Dyer,Human Traffic ,Shaun Parkes,160,UK,472,7.1,1.85,0
Nathan Frankowski,17,Rus Blackwell,,Corbin Bleu,Day One ,Luis Antonio,13,USA,144,6.6,,0
Karen Moncrieff,85,Bruce Davison,17311,James Franco,The Dead Girl ,Piper Laurie,73,USA,505,6.7,1.85,799
Thomas Vinterberg,349,Alexandra Rapaport,610968,Thomas Bo Larsen,The Hunt ,Hana Shuan,249,Denmark,69,8.3,2.35,60000
Bob Clark,109,Darren McGavin,,Zack Ward,A Christmas Story ,Scott Schwartz,458,USA,577,8.1,1.85,18000
Alejandro Monteverde,60,Ramon Rodriguez,8108247,Armando Riesco,Bella ,Eduardo Verástegui,174,USA,464,7.4,1.85,0
Mark L. Lester,101,Perry King,,Roddy McDowall,Class of 1984 ,Timothy Van Patten,75,Canada,251,6.6,1.85,934
Jennifer Finnigan,1,Kenan Thompson,,Geoff Stults,The Opposite Sex ,Josh Hopkins,3,USA,521,4.5,16.0,0
Eric Styles,16,Rupert Graves,7680,Samantha Morton,Dreaming of Joseph Lees ,Miriam Margolyes,18,USA,443,6.4,,100
Laurent Cantet,212,Agame Malembo-Emene,3766595,François Bégaudeau,The Class ,Angélica Sancio,86,France,2,7.5,2.35,0
Roman Polanski,215,Mia Farrow,,John Cassavetes,Rosemary's Baby ,Charles Grodin,447,USA,563,8.0,1.85,13000
John Ford,107,Woody Strode,,Lee Marvin,The Man Who Shot Liberty Valance ,Vera Miles,214,USA,423,8.1,1.85,0
Max Mayer,122,Terry Walters,2277396,Peter Gallagher,Adam ,Amy Irving,70,USA,390,7.2,2.35,0
Joshua Marston,155,Wilson Guerrero,6517198,Catalina Sandino Moreno,Maria Full of Grace ,Yenny Paola Vega,172,Colombia,11,7.5,1.85,0
Mike Mills,261,Lou Taylor Pucci,5776314,Goran Visnjic,Beginners ,Mary Page Keller,142,USA,394,7.2,1.85,15000
John Gulager,130,Eric Dane,,Krista Allen,Feast ,Henry Rollins,252,USA,2000,6.4,2.35,0
John Landis,94,Karen Allen,141600000,John Belushi,Animal House ,Tim Matheson,257,USA,783,7.6,1.85,0
Guy Hamilton,164,Gert Fröbe,51100000,Honor Blackman,Goldfinger ,Lois Maxwell,418,UK,202,7.8,1.37,0
Brandon Cronenberg,188,Douglas Smith,,Sarah Gadon,Antiviral ,Caleb Landry Jones,47,Canada,480,5.7,1.85,0
Frank Capra,206,Lionel Barrymore,,Donna Reed,It's a Wonderful Life ,Thomas Mitchell,706,USA,275,8.6,1.37,41000
Danny Boyle,134,Shirley Henderson,16501785,Kelly Macdonald,Trainspotting ,Ewen Bremner,514,UK,887,8.2,1.85,21000
Spike Lee,53,Cedric the Entertainer,38168022,Bernie Mac,The Original Kings of Comedy ,Steve Harvey,83,USA,436,6.6,1.85,290
Tod Williams,264,Molly Ephraim,84749884,Sprague Grayden,Paranormal Activity 2 ,Micah Sloat,359,USA,332,5.7,1.85,14000
Kirk Jones,94,David Kelly,24788807,James Nesbitt,Waking Ned Devine ,Fionnula Flanagan,213,UK,588,7.4,2.35,0
Michael Moore,215,Dick Clark,21244913,Michael Moore,Bowling for Columbine ,Bill Clinton,888,Germany,504,8.0,1.85,4000
Yimou Zhang,85,Daoming Chen,377420,Li Gong,Coming Home ,Ni Yan,20,China,10,7.3,2.35,0
Jack Sholder,138,Robert Rusler,30000000,Clu Gulager,A Nightmare on Elm Street 2: Freddy's Revenge ,Marshall Bell,327,USA,359,5.4,1.85,0
James Ivory,55,Rupert Graves,20966644,Julian Sands,A Room with a View ,Denholm Elliott,94,UK,443,7.4,1.66,0
James DeMonaco,361,Adelaide Kane,64423650,Rhys Wakefield,The Purge ,Chris Mulkey,578,USA,810,5.7,2.35,31000
Scott Derrickson,411,Victoria Leigh,48056940,Danielle Kotch,Sinister ,James Ransone,524,USA,419,6.8,2.35,58000
David Raynr,24,Mikki Padilla,19184015,Nancy O'Dell,Martin Lawrence Live: Runteldat ,Dayna Devon,35,USA,65,5.4,1.85,63
Richard Brooks,70,Judith Anderson,,Burl Ives,Cat on a Hot Tin Roof ,Jack Carson,141,USA,197,8.1,1.85,0
Ted Post,78,Gregory Sierra,,Linda Harrison,Beneath the Planet of the Apes ,Victor Buono,150,USA,162,6.1,2.35,0
Charles Martin Smith,35,Bill Cobbs,24629916,Kevin Zegers,Air Bud ,Michael Jeter,34,USA,970,5.1,1.85,902
Kunihiko Yuyama,39,Eric Stuart,,Veronica Taylor,Pokémon 3: The Movie ,Lisa Ortiz,55,Japan,82,5.6,1.85,38
Tom McLoughlin,158,Ron Palillo,19472057,Tony Goldwyn,Jason Lives: Friday the 13th Part VI ,Vincent Guastaferro,307,USA,316,5.9,1.85,0
David Lean,122,Sessue Hayakawa,27200000,William Holden,The Bridge on the River Kwai ,Jack Hawkins,273,UK,119,8.2,2.35,0
Patrick Read Johnson,16,Royal Dano,15369573,Ariana Richards,Spaced Invaders ,Tonya Lee Williams,54,USA,232,5.3,1.85,710
Alfred Hitchcock,67,Bruce Dern,,Ed Lauter,Family Plot ,William Devane,111,USA,844,6.8,1.85,609
Billy Wilder,183,Ray Walston,,Fred MacMurray,The Apartment ,David White,241,USA,417,8.3,2.35,0
Adam Marcus,112,Leslie Jordan,15935068,Kane Hodder,Jason Goes to Hell: The Final Friday ,Erin Gray,317,USA,805,4.3,1.85,949
Alfred Hitchcock,64,Lila Kedrova,,Tamara Toumanova,Torn Curtain ,David Opatoshu,137,USA,16,6.7,1.85,933
Michel Gondry,114,Dave Chappelle,11694528,Common,Dave Chappelle's Block Party ,Lauryn Hill,72,USA,744,7.2,1.85,635
John Maclean,246,Kodi Smit-McPhee,229094,Michael Fassbender,Slow West ,Ben Mendelsohn,88,UK,884,6.9,1.66,0
Michael Schultz,7,LisaGay Hamilton,,Blair Underwood,Krush Groove ,Bobby Brown,16,USA,178,6.6,,889
Benny Boom,49,Donald Faison,10017041,Omari Hardwick,Next Day Air ,Mike Epps,20,USA,927,5.9,1.85,545
Richard Brooks,42,Jean Simmons,,Shirley Jones,Elmer Gantry ,Edward Andrews,81,USA,422,7.9,1.66,808
Stanley Kramer,73,Montgomery Clift,,Maximilian Schell,Judgment at Nuremberg ,Spencer Tracy,176,USA,862,8.3,1.75,0
David Raynr,16,Deon Richmond,9016377,Donald Faison,Trippin' ,Countess Vaughn,8,USA,209,5.2,1.85,143
,38,Seth Green,,Matthew Senreich,Robot Chicken             ,Breckin Meyer,75,USA,0,7.8,1.33,1000
Howard Hawks,91,Walter Brennan,,Montgomery Clift,Red River ,Harry Carey Jr.,162,USA,376,7.8,1.37,0
Nnegest Likké,37,Jimmy Jean-Louis,7059537,Mo'Nique,Phat Girlz ,Joyful Drake,101,USA,407,3.0,1.85,837
Richard Linklater,405,Ariane Labed,8114507,Seamus Davey-Fitzpatrick,Before Midnight ,Athina Rachel Tsangari,270,USA,63,7.9,1.85,62000
Christopher Leitch,29,Robert Neary,7888703,John Astin,Teen Wolf Too ,Kim Darby,65,USA,168,3.2,1.85,491
Don Coscarelli,81,A. Michael Baldwin,7282851,Angus Scrimm,Phantasm II ,James Le Gros,100,USA,174,6.5,1.85,812
Michael Schultz,17,Kimberly Elise,6879730,Loretta Devine,Woman Thou Art Loosed ,Clifton Powell,23,USA,637,6.9,,187
Patricia Cardoso,75,Lupe Ontiveros,5844929,America Ferrera,Real Women Have Curves ,George Lopez,109,USA,625,7.0,1.85,595
,,Jessica De Gouw,,Rachel Griffiths,Deadline Gallipoli             ,Luke Ford,1,Australia,476,7.4,,367
Deepa Mehta,91,Lisa Ray,3222857,John Abraham,Water ,Seema Biswas,147,Canada,329,7.8,2.35,0
Damien O'Donnell,82,Jimi Mistry,4170647,Archie Panjabi,East Is East ,Om Puri,161,UK,183,6.9,1.85,1000
Peter M. Cohen,48,Brian Van Holt,4142507,Callie Thorne,Whipped ,David Heyman,81,USA,324,4.4,1.85,131
Mira Nair,33,Sarita Choudhury,4109095,Indira Varma,Kama Sutra: A Tale of Love ,Rekha,92,USA,257,6.0,1.85,0
Nicole Holofcener,133,Thomas Ian Nicholas,4033268,Oliver Platt,Please Give ,Ann Morgan Guilbert,53,USA,864,6.6,2.35,0
Mel Stuart,104,Jack Albertson,,Peter Ostrum,Willy Wonka & the Chocolate Factory ,Julie Dawn Cole,349,USA,177,7.8,1.33,0
Anthony Hickox,22,Zach Galligan,3902679,Julian Sands,Warlock: The Armageddon ,Paula Marshall,49,USA,233,5.3,1.66,217
Tom Schulman,30,George Hamilton,3559990,Kristy Swanson,8 Heads in a Duffel Bag ,Dyan Cannon,49,USA,341,5.3,1.85,417
Terrence Malick,112,Stuart Margolin,,Sam Shepard,Days of Heaven ,Richard Libertini,181,USA,350,8.0,1.85,0
Jill Sprecher,79,Rob McElhenney,3287435,Matthew McConaughey,Thirteen Conversations About One Thing ,Amy Irving,115,USA,813,7.1,1.85,430
Darren Stein,49,Judy Greer,3071947,Julie Benz,Jawbreaker ,Jeff Conaway,183,USA,2000,5.4,1.85,0
Julian Schnabel,42,Michael Wincott,2961991,Gary Oldman,Basquiat ,Courtney Love,78,USA,721,6.9,1.85,0
Noah Baumbach,345,Grace Gummer,4063238,Greta Gerwig,Frances Ha ,Vanessa Ray,139,USA,481,7.4,1.85,11000
Gavin Hood,152,Nambitha Mpumlwana,2912363,Terry Pheto,Tsotsi ,Rapulana Seiphemo,177,UK,64,7.3,2.35,0
Todd Solondz,148,Jon Lovitz,3000000,Philip Seymour Hoffman,Happiness ,Dylan Baker,499,USA,11000,7.8,1.85,0
George Gallo,23,Joe Howard,2223990,Eddie Griffin,DysFunktional Family ,Robert Noble,14,USA,26,6.6,1.85,26
Kevin Smith,254,Haley Joel Osment,1821983,Johnny Depp,Tusk ,Michael Parks,261,USA,3000,5.4,2.35,20000
Chan-wook Park,305,Ji-tae Yu,2181290,Min-sik Choi,Oldboy ,Hye-jeong Kang,809,South Korea,78,8.4,2.35,43000
David Nixon,19,Michael Bolten,2848578,Robyn Lively,Letters to God ,Christopher Schmidt,65,USA,399,6.3,1.78,0
Jason Eisener,272,Robb Wells,703002,Gregory Smith,Hobo with a Shotgun ,Molly Dunsworth,230,Canada,324,6.1,2.35,37000
Enrique Begne,5,Héctor Jiménez,3105269,Kevin Pollak,Compadres ,Erick Elias,8,Mexico,327,5.0,,174
Matthew Bright,65,Dan Hedaya,,Bokeem Woodbine,Freeway ,Robert Peters,196,USA,281,6.9,1.85,0
Michael Landon Jr.,5,Kevin Gage,252726,William Morgan Sheppard,Love's Abiding Joy ,Brianna Brown,18,USA,366,7.2,,76
Andrea Arnold,248,Harry Treadaway,373060,Michael Fassbender,Fish Tank ,Jason Maza,112,UK,260,7.3,1.33,0
Whit Stillman,152,Megalyn Echikunwoke,1007535,Greta Gerwig,Damsels in Distress ,Zach Woods,54,USA,476,5.7,1.85,0
,10,Colm Feore,,Craig T. Nelson,Creature             ,Megalyn Echikunwoke,33,USA,539,5.0,1.78,518
Leslye Headland,156,Adam Scott,418268,Kirsten Dunst,Bachelorette ,Andrew Rannells,129,USA,3000,5.3,2.35,0
,7,Megan Hilty,,Danny Pino,BrainDead             ,Zach Grenier,28,USA,341,7.9,16.0,3000
Bobby Roth,1,Aaron Ashmore,,Virginia Madsen,Brave New Girl ,Lindsey Haun,27,USA,750,5.0,,47
Tim Heidecker,82,William Atherton,200803,Michael Gross,Tim and Eric's Billion Dollar Movie ,Bob Ross,71,USA,317,5.3,1.78,0
Rupert Wyatt,175,Cjon Saulsberry,33631221,George Kennedy,The Gambler ,Griffin Cleveland,145,USA,571,6.0,2.35,0
,4,Amanda Mealing,,Susan Hampshire,The Grand             ,Tim Healy,20,UK,37,7.6,1.33,450
Marco Kreuzpaintner,40,Kostja Ullmann,95016,Alicja Bachleda,Summer Storm ,Robert Stadlober,56,Germany,38,7.4,1.85,442
Kate Connor,8,Eric Stoltz,73678,Johnny Pacar,Fort McCoy ,Brendan Fehr,8,USA,902,5.9,,348
Deon Taylor,63,Betsy Russell,143000,Matt Cohen,Chain Letter ,Noah Segan,48,USA,298,4.1,2.35,0
Jason Alexander,20,Patti LuPone,39852,Gretchen Mol,Just Looking ,Peter Onorati,25,USA,325,6.7,1.85,117
Xavier Gens,174,Lauren German,22000,Michael Biehn,The Divide ,Rosanna Arquette,226,Germany,683,5.8,2.35,0
Conor McPherson,90,Iben Hjejle,128937,Aidan Quinn,The Eclipse ,Jim Norton,31,Ireland,122,6.2,1.85,580
Will Canon,58,Scott Mechlowicz,,Frank Grillo,Demonic ,Aaron Yoo,39,USA,634,5.3,,0
