num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,num_voted_users,imdb_score,movie_facebook_likes
135,66,150,24921,7.7,0
27,44,559,8930,6.6,672
56,23,847,7319,5.3,327
22,82,11000,13587,6.3,729
59,3,859,21416,7.0,0
61,4,2000,67853,7.0,0
60,84,1000,9427,6.6,462
164,0,973,216005,8.6,10000
81,4000,4000,15053,6.4,393
415,0,18000,260607,7.9,47000
43,7,2000,2719,5.4,249
7,0,55,296,6.9,89
120,460,990,26720,7.7,920
195,22,186,12411,7.2,0
109,19,25000,12233,6.8,0
21,3,922,881,6.2,323
93,0,14000,50197,7.4,0
12,35,4000,2047,4.6,0
155,7,8000,40305,6.4,0
81,52,624,12366,7.0,507
204,122,23000,281649,7.7,21000
19,261,722,3665,6.8,247
163,52,10000,32382,7.0,13000
248,263,967,40618,7.0,0
39,13,3000,12675,6.3,0
322,57,727,28845,7.1,10000
50,0,740,5494,5.6,255
