num_critic_for_reviews,duration,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,movie_imdb_link,language,budget,imdb_score,aspect_ratio
104,105,1000,Comedy|Romance,Guess Who ,2689,http://www.imdb.com/title/tt0372237/?ref_=fn_tt_tt_1,English,35000000,5.9,1.85
116,162,14000,Drama|Romance|War,The English Patient ,15912,http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1,English,27000000,7.4,1.85
177,138,18000,Crime|Drama|Mystery|Thriller,L.A. Confidential ,19129,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,English,35000000,8.3,2.35
127,100,947,Adventure|Comedy|Family|Sci-Fi,Sky High ,2968,http://www.imdb.com/title/tt0405325/?ref_=fn_tt_tt_1,English,35000000,6.2,2.35
83,90,19000,Comedy,In & Out ,23504,http://www.imdb.com/title/tt0119360/?ref_=fn_tt_tt_1,English,35000000,6.3,1.85
97,108,900,Action|Horror|Sci-Fi|Thriller,Species ,1715,http://www.imdb.com/title/tt0114508/?ref_=fn_tt_tt_1,English,35000000,5.8,2.35
256,101,40000,Horror,A Nightmare on Elm Street ,42918,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1,English,1800000,7.5,1.85
225,109,812,Horror|Sci-Fi|Thriller,The Cell ,2474,http://www.imdb.com/title/tt0209958/?ref_=fn_tt_tt_1,English,33000000,6.3,2.35
83,132,29000,Action|Adventure,The Man in the Iron Mask ,29265,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,English,35000000,6.4,1.85
160,123,826,Biography|Drama|Family|History|Sport,Secretariat ,2259,http://www.imdb.com/title/tt1028576/?ref_=fn_tt_tt_1,English,35000000,7.2,2.35
191,87,11000,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,TMNT ,16571,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,English,34000000,6.3,2.35
74,109,1000,Biography|Drama|Sport,Radio ,4231,http://www.imdb.com/title/tt0316465/?ref_=fn_tt_tt_1,English,35000000,6.9,1.85
238,109,15000,Comedy|Romance,Friends with Benefits ,20956,http://www.imdb.com/title/tt1632708/?ref_=fn_tt_tt_1,English,35000000,6.6,2.35
177,92,17000,Comedy,Neighbors 2: Sorority Rising ,17860,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,English,35000000,6.0,2.35
405,125,15000,Biography|Comedy|Drama|History|Music,Saving Mr. Banks ,19809,http://www.imdb.com/title/tt2140373/?ref_=fn_tt_tt_1,English,35000000,7.5,2.35
61,202,18000,Biography|Drama|History|Romance,Malcolm X ,20143,http://www.imdb.com/title/tt0104797/?ref_=fn_tt_tt_1,English,33000000,7.7,1.85
285,134,529,Comedy,This Is 40 ,1050,http://www.imdb.com/title/tt1758830/?ref_=fn_tt_tt_1,English,35000000,6.2,2.35
124,88,49000,Comedy|Family,Old Dogs ,53370,http://www.imdb.com/title/tt0976238/?ref_=fn_tt_tt_1,English,35000000,5.4,1.85
164,92,978,Action|Adventure|Fantasy|Sci-Fi|Thriller,Underworld: Rise of the Lycans ,2184,http://www.imdb.com/title/tt0834001/?ref_=fn_tt_tt_1,English,35000000,6.6,2.35
120,91,49000,Comedy|Romance,License to Wed ,52566,http://www.imdb.com/title/tt0762114/?ref_=fn_tt_tt_1,English,35000000,5.3,2.35
90,75,11000,Comedy|Romance|Sport,The Benchwarmers ,13125,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,English,33000000,5.6,1.85
120,98,944,Comedy|Romance,Must Love Dogs ,4879,http://www.imdb.com/title/tt0417001/?ref_=fn_tt_tt_1,English,30000000,5.9,2.35
117,147,40000,Biography|Crime|Drama,Donnie Brasco ,56014,http://www.imdb.com/title/tt0119008/?ref_=fn_tt_tt_1,English,35000000,7.8,2.35
226,100,14000,Action|Horror|Sci-Fi,Resident Evil ,17902,http://www.imdb.com/title/tt0120804/?ref_=fn_tt_tt_1,English,33000000,6.7,1.85
223,120,887,Fantasy|Horror,Poltergeist ,3876,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,English,10700000,7.4,2.35
193,104,24000,Comedy|Crime|Thriller,The Ladykillers ,41701,http://www.imdb.com/title/tt0335245/?ref_=fn_tt_tt_1,English,35000000,6.2,1.85
228,103,15000,Action|Crime|Drama|Mystery|Thriller,Max Payne ,16249,http://www.imdb.com/title/tt0467197/?ref_=fn_tt_tt_1,English,35000000,5.4,2.35
360,109,20000,Action|Sci-Fi|Thriller,In Time ,34011,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,English,40000000,6.7,2.35
