director_name,gross,movie_title,cast_total_facebook_likes,country,budget
Steve McQueen,4000304,Shame ,15230,UK,6500000
Matthew Vaughn,2338695,Layer Cake ,29277,UK,4000000
Sterling Van Wagenen,2024854,The Work and the Glory II: American Zion ,1942,USA,6500000
Zal Batmanglij,2268296,The East ,13180,UK,6500000
Michael Mayer,1029017,A Home at the End of the World ,21107,USA,6500000
Hans Petter Moland,64148,Aberdeen ,846,UK,6500000
Oren Moverman,66637,The Messenger ,14462,USA,6500000
Ian Sharp,,Tracker ,1904,New Zealand,6500000
Anton Corbijn,871577,Control ,2614,UK,4500000
James Cameron,38400000,The Terminator ,3582,UK,6500000
Wolfgang Becker,4063859,Good Bye Lenin! ,200,Germany,4800000
Tom Hooper,449558,The Damned United ,1163,UK,10000000
Dan O'Bannon,,The Return of the Living Dead ,2020,USA,4000000
,,Gomorrah             ,39,Italy,
Kevin Smith,2122561,Mallrats ,3254,USA,6000000
Randal Kleiser,181360000,Grease ,5127,USA,6000000
Oliver Stone,137963328,Platoon ,42028,UK,6000000
Michael Moore,119078393,Fahrenheit 9/11 ,1448,USA,6000000
George Roy Hill,102308900,Butch Cassidy and the Sundance Kid ,2169,USA,6000000
Robert Stevenson,102300000,Mary Poppins ,2045,USA,6000000
Robert Redford,54800000,Ordinary People ,5122,USA,6000000
Frank Coraci,24004159,Around the World in 80 Days ,3175,USA,110000000
Jerome Robbins,43650000,West Side Story ,1802,USA,6000000
Harold Ramis,39800000,Caddyshack ,14921,USA,6000000
Gary Hardwick,27457409,The Brothers ,6419,USA,6000000
Rick Famuyiwa,25047631,The Wood ,2724,USA,6000000
Bryan Singer,23272306,The Usual Suspects ,20821,USA,6000000
Stephen Hopkins,22168359,A Nightmare on Elm Street 5: The Dream Child ,584,USA,8000000
Walt Becker,21005329,Van Wilder: Party Liaison ,19341,Germany,6000000
Darren Aronofsky,26236603,The Wrestler ,1582,USA,6000000
King Vidor,20400000,Duel in the Sun ,2037,USA,8000000
Christopher Guest,18621249,Best in Show ,4611,USA,6000000
John Carpenter,25244700,Escape from New York ,2270,UK,6000000
Spike Lee,14545844,School Daze ,1284,USA,6500000
Fred Savage,13235267,Daddy Day Camp ,1752,USA,6000000
Sammo Kam-Bo Hung,12674183,Mr. Nice Guy ,773,Hong Kong,
Christopher Guest,17508936,A Mighty Wind ,1660,USA,
Donald Petrie,12793213,Mystic Pizza ,10430,USA,6000000
,,War & Peace             ,4528,UK,
Peter Howitt,11883495,Sliding Doors ,1462,UK,9000000
Rusty Cundieff,11797927,Tales from the Hood ,3221,USA,6000000
Kevin Macdonald,17605861,The Last King of Scotland ,1184,UK,6000000
Dominique Othenin-Girard,11642254,Halloween 5 ,1308,USA,3000000
Richard Linklater,9203192,Bernie ,11328,USA,5000000
Jean-Jacques Mantello,7518876,Dolphins and Whales 3D: Tribes of the Ocean ,844,UK,6000000
Ed Harris,8596914,Pollock ,1517,USA,6000000
Risa Bramon Garcia,6851636,200 Cigarettes ,2697,USA,6000000
Brian Klugman,11434867,The Words ,51355,USA,6000000
Matt Piedmont,5895238,Casa de mi Padre ,10123,USA,6000000
Raymond De Felitta,6670712,City Island ,3825,USA,6000000
John Michael McDonagh,5359774,The Guard ,3569,Ireland,6000000
Deb Hagan,4693919,College ,4484,USA,6500000
Sofia Coppola,4859475,The Virgin Suicides ,7103,USA,6000000
Mark Herman,4595000,Little Voice ,2103,UK,
Zach Cregger,4542775,Miss March ,1831,USA,6000000
Zach Braff,3588432,Wish I Was Here ,18947,USA,6000000
Mark Tarlov,4394936,Simply Irresistible ,5668,Germany,6000000
,,Veronica Mars             ,3318,USA,
John Cameron Mitchell,3029081,Hedwig and the Angry Inch ,993,USA,6000000
Sheldon Lettich,3273588,Only the Strong ,382,USA,6000000
Jon Knautz,,Goddess of Love ,546,USA,
Billy Ray,2207975,Shattered Glass ,8297,USA,6000000
David Atkins,2025238,Novocaine ,489,USA,6000000
Patrick Stettner,1028337,The Business of Strangers ,1407,USA,
Sam Peckinpah,,The Wild Bunch ,2379,USA,6244087
Jonathan Levine,2077046,The Wackness ,2748,USA,6000000
Michael Crichton,,The Great Train Robbery ,297,UK,6000000
Lynne Ramsay,267194,Morvern Callar ,841,UK,
Sylvio Tabet,869325,Beastmaster 2: Through the Portal of Time ,2000,USA,6000000
Rick Bieber,399611,The 5th Quarter ,2370,USA,6000000
Claude Chabrol,181798,The Flower of Evil ,282,France,
Shana Feste,115862,The Greatest ,2163,USA,6000000
Wayne Wang,1346503,Snow Flower and the Secret Fan ,2430,China,6000000
Joey Lauren Adams,117560,Come Early Morning ,1081,USA,6000000
Peter Cattaneo,54606,Lucky Break ,2440,UK,6000000
Fred Zinnemann,,Julia ,15604,USA,7840000
S.R. Bindler,36497,"Surfer, Dude ",14599,USA,6000000
Tony Kaye,23807,Lake of Fire ,105,USA,
Greg Marcks,,11:14 ,2200,USA,6000000
Perry Lang,,Men of War ,2152,USA,8600000
Jake Goldberger,,Don McKay ,1227,USA,
Stefan Ruzowitzky,65804,Deadfall ,27575,USA,12000000
Vic Sarin,,A Shine of Rainbows ,1940,Canada,6000000
William Kaufman,,The Hit List ,3469,USA,6000000
,,Emma             ,2563,UK,
David Cronenberg,,Videodrome ,477,Canada,5952000
Cédric Klapisch,3895664,L'auberge espagnole ,1858,France,5300000
Kate Barker-Froyland,20200,Song One ,12772,USA,6000000
Barbet Schroeder,31874869,Murder by Numbers ,34605,USA,50000000
Martin Koolhoven,542860,Winter in Wartime ,219,Netherlands,4000000
Charles Matthau,,Freaky Deaky ,6569,USA,6000000
John Frankenheimer,,The Train ,502,France,6700000
Christopher M. Bessette,15059,Trade of Innocents ,1443,USA,
Prachya Pinkaew,11905519,The Protector ,2205,Thailand,200000000
Gary Sinyor,69582,Stiff Upper Lips ,1477,UK,
,,The Inbetweeners             ,1239,UK,
Gurinder Chadha,32541719,Bend It Like Beckham ,2201,UK,3500159
John Sayles,3064356,Sunshine State ,2584,USA,5600000
Preston A. Whitmore II,7009668,Crossover ,2000,USA,5600000
Ashish R. Mohan,352684,Khiladi 786 ,1065,India,
Jaume Balagueró,27024,[Rec] 2 ,73,Spain,5600000
Stewart Raffill,531806,Standing Ovation ,72,USA,
George Roy Hill,159600000,The Sting ,2387,USA,5500000
Hugh Hudson,58800000,Chariots of Fire ,1651,UK,5500000
Darren Grant,50382128,Diary of a Mad Black Woman ,2723,USA,5500000
Scott Hicks,35811509,Shine ,888,Australia,5500000
Joseph Gordon-Levitt,24475193,Don Jon ,44265,USA,3000000
Clint Eastwood,,High Plains Drifter ,17599,USA,5500000
Terry Zwigoff,6200756,Ghost World ,34106,USA,7000000
Richard Eyre,1292119,Iris ,16768,UK,5500000
William Sachs,,Galaxina ,396,USA,
Christophe Barratier,3629758,The Chorus ,745,France,5500000
Émile Gaudreault,6239558,Mambo Italiano ,1033,Canada,5000000
James Cox,1056102,Wonderland ,1315,USA,5000000
Spike Lee,27545445,Do the Right Thing ,2892,USA,6500000
James Toback,56007,Harvard Man ,6776,USA,5500000
Aki Kaurismäki,611709,Le Havre ,391,Finland,3850000
Gaspar Noé,753501,Irreversible ,118,France,
Hitoshi Matsumoto,22770,R100 ,81,Japan,5500000
Rakeysh Omprakash Mehra,2197331,Rang De Basanti ,1519,India,
Collin Schiffli,,Animals ,2030,USA,
George Ratliff,27445,Salvation Boulevard ,561,USA,9000000
David Wain,766487,The Ten ,4883,USA,5250000
Shane Meadows,18434,A Room for Romeo Brass ,6111,UK,
Morten Tyldum,1196752,Headhunters ,385,Norway,30300000
Jon Wright,,Grabbers ,1832,UK,4000000
Michael McGowan,795126,Saint Ralph ,955,Canada,6000000
Liv Ullmann,,Miss Julie ,631,Norway,5500000
Jeannot Szwarc,,Somewhere in Time ,454,USA,5100000
Rohan Sippy,563699,Dum Maaro Dum ,787,India,
James Wan,83574831,Insidious: Chapter 2 ,2975,USA,5000000
Darren Lynn Bousman,87025093,Saw II ,4134,USA,4000000
Dan Trachtenberg,71897215,10 Cloverfield Lane ,14504,USA,15000000
Jeff Tremaine,64267897,Jackass: The Movie ,1770,USA,5000000
David F. Sandberg,56536016,Lights Out ,3344,USA,4900000
Henry Joost,104007828,Paranormal Activity 3 ,2371,USA,5000000
Stiles White,50820940,Ouija ,5056,USA,5000000
Chuck Russell,44793200,A Nightmare on Elm Street 3: Dream Warriors ,1584,USA,4500000
Joel Edgerton,43771291,The Gift ,3215,USA,5000000
Eugenio Derbez,44456509,Instructions Not Included ,688,Mexico,5000000
Henry Joost,53884821,Paranormal Activity 4 ,799,USA,5000000
Henry Koster,36000000,The Robe ,1920,USA,5000000
Blake Edwards,,The Return of the Pink Panther ,971,UK,5000000
Rachel Talalay,34872293,Freddy's Dead: The Final Nightmare ,42002,USA,8500000
Patty Jenkins,34468224,Monster ,11736,USA,4500000
Richard Fleischer,,"20,000 Leagues Under the Sea ",799,USA,5000000
Christopher Landon,32453345,Paranormal Activity: The Marked Ones ,2161,USA,5000000
David Lynch,,The Elephant Man ,13864,USA,5000000
Jean-Marc Vallée,27296514,Dallas Buyers Club ,17738,USA,5000000
David Gelb,25799043,The Lazarus Effect ,11771,USA,3300000
Christopher Nolan,25530884,Memento ,1997,USA,9000000
Mike Flanagan,27689474,Oculus ,2071,USA,5000000
Kevin Smith,24138847,Clerks II ,2990,USA,5000000
Stephen Daldry,21994911,Billy Elliot ,1122,UK,5000000
Nat Faxon,21501098,The Way Way Back ,8375,USA,5000000
George Jackson,19281235,House Party 2 ,2523,USA,5000000
George Miller,,The Man from Snowy River ,854,Australia,3500000
Maurice Joyce,19421271,Doug's 1st Movie ,2908,USA,5000000
Robert Duvall,20733485,The Apostle ,428,USA,5000000
Frank Perry,,Mommie Dearest ,2014,USA,5000000
Jesse Peretz,24809547,Our Idiot Brother ,15710,USA,5000000
Stephen Hopkins,19097994,Race ,2410,Canada,
Ice Cube,23031390,The Players Club ,2868,USA,4500000
Tim Blake Nelson,16017403,O ,3300,USA,5000000
John Erick Dowdle,21197315,"As Above, So Below ",1410,USA,5000000
Bille Woodruff,17382982,Addicted ,2840,USA,5000000
Kasi Lemmons,14821531,Eve's Bayou ,3843,USA,6000000
Richard Glatzer,18656400,Still Alice ,19673,USA,5000000
Michael Curtiz,,The Egyptian ,2112,USA,5000000
Bruce Malmuth,,Nighthawks ,14306,USA,5000000
Rob Hedden,14343976,Friday the 13th Part VIII: Jason Takes Manhattan ,1327,USA,5000000
Joel Zwick,241437427,My Big Fat Greek Wedding ,1495,USA,5000000
