num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
105,0,Yuval Diskin,Ami Ayalon,0,Yaakov Peri,3,interview|jerusalem|jewish|terrorism|terrorist bombing,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,33,,2012,7.6,1.85,0
75,42,Susanna Thompson,Beau Bridges,859,Ryan McDonald,1,commune|defecation|environmentalism|fellatio|island,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,68,1500000,2005,6.7,1.66,608
97,690,Alia Shawkat,Donald Glover,2667,Scott Porter,7,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,79,1500000,2013,5.8,1.78,0
37,164,Salvator Xuereb,Eric Stoltz,1582,Jean-Hugues Anglade,0,bank|bastille day|call girl|childhood friend|drugs,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,93,1500000,1993,6.5,1.85,853
84,76,Theresa Russell,Ryan Gosling,33441,Summer Phoenix,0,jew|jewish nazi|nazism|racism|skinhead,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,159,1500000,2001,7.2,1.66,0
88,442,Connor Paolo,Michael Angarano,2747,Tom Noonan,0,flashback|football game|school|small town|snow,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,57,,2007,6.9,2.35,415
6,56,Lisa Brave,Ward G. Smith,792,Malone Thomas,1,,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,3,1500000,2014,5.5,2.35,307
127,83,Brendan Sexton III,Paul Guilfoyle,469,Larry Fessenden,0,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,481,1500000,2001,6.5,2.35,0
32,423,Jeff Garlin,Jessy Schram,2179,Joey Slotnick,0,cheese|city|ice cream|school|second city,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,28,1500000,2006,6.2,1.85,0
8,616,Nia Long,Dorian Missick,3288,Evan Ross,1,one word title,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,14,,2010,6.7,,0
229,488,Kane Hodder,Joel David Moore,3668,Joel Murray,0,bayou|boat|louisiana|swamp|tour,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,235,1500000,2006,5.7,1.85,0
120,8,Stanley Blystone,Paulette Goddard,352,Fred Malatesta,1,actor director writer|invention|machine|music score composed by director|tramp,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,1500000,1936,8.6,1.37,0
31,597,Aidan Quinn,Brian Dennehy,3901,Bonnie Hunt,1,catholic|catholicism|rabbi|school|summer,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,55,1500000,2002,6.5,1.85,304
100,158,Dan Hicks,Ted Raimi,1238,Timothy Patrick Quill,1,b movie|birthday|chinese|demon|small town,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,88,1500000,2007,6.3,1.85,0
14,424,Monica Calhoun,Vivica A. Fox,3138,Garrett Morris,7,,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,5,1500000,2005,4.3,1.85,68
14,360,Jim O'Heir,Jay Mohr,2628,David Alan Grier,0,girl in panties|panties|red panties|stand up comedy,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,11,1500000,2015,6.1,,212
39,121,Jenny O'Hara,Rip Torn,1240,Darren E. Burrows,0,love|music producer|previous marriage|rock 'n' roll|russian,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,26,1500000,2005,6.0,1.85,216
35,7,John Arcilla,Brian Lee Franklin,60,Ronnie Lazaro,0,american|filipino|friendship|guerrilla army|village,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,8,1700000,2010,5.8,,594
178,57,Georgina Reilly,Stephen McHattie,721,Boyd Banks,0,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,142,1500000,2008,6.7,2.35,0
46,711,Joey Lauren Adams,Jimmy Bennett,89263,Matthew Lawrence,3,cancer|cigarette smoking|hospital|one night stand|trucker,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,22,2000000,2008,6.7,2.35,371
,134,Jaime Zevallos,Angela Sarafyan,771,Michael Elian,1,,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,,1500000,2015,7.6,,132
234,721,Dee Wallace,Sid Haig,5158,Michael Berryman,1,blood|flashback|radio dj|radio station|vinyl,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,166,2500000,2012,5.1,2.35,15000
166,28,Bruce Hopkins,Morgana O'Reilly,165,Cameron Rhodes,3,bloody violence|exploding head|haunted house|plot twist|slapstick,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,83,350000,2014,6.8,2.35,10000
56,0,Jon Hunter,Lee Scott,0,Matt Hunter,0,greed|pollution|slave labor|truth|wal mart,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,70,1500000,2005,6.8,1.85,0
16,108,Sarah Lind,Nicole Muñoz,596,Kyla Wise,2,death|high school|prostitute|suicide|time travel,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,10,1500000,2005,6.8,,193
9,636,Michael Rapaport,Chazz Palminteri,4036,Paul Sorvino,2,,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,1500000,2013,6.3,1.89,283
18,71,Joe Armstrong,Monica Barladeanu,588,Martin Hancock,2,,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,13,5000000,2014,7.1,2.35,0
4,146,Amber Marshall,Ashanti,967,John DeSantis,0,,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,10,1500000,2014,2.8,,236
,259,Jake Busey,Brighton Sharbino,4320,Tim Guinee,,adolescence|girl next door|growing vegetables|high standards|sent away,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,1,2000000,2015,8.2,1.85,232
6,492,Johnny Messner,Katrina Law,2882,Michael Paré,3,,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,18,1500000,2015,3.1,2.35,402
