director_name,num_critic_for_reviews,actor_2_name,gross,genres,movie_title,num_voted_users,actor_3_name,plot_keywords,num_user_for_reviews,language,title_year,imdb_score,aspect_ratio,movie_facebook_likes
John Dahl,140,Jessica Bowman,21973182,Mystery|Thriller,Joy Ride ,53415,Dell Yount,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver,339,English,2001,6.6,2.35,0
Jonathan Newman,28,Keeley Hawes,4756,Adventure|Family|Fantasy,The Adventurer: The Curse of the Midas Box ,4191,Oliver Stark,based on novel|drowning|hanging from a flagpole|hanging from a rope|magic,32,English,2013,5.4,2.35,0
Wayne Wang,36,Eva Amurri Martino,18653615,Comedy|Drama,Anywhere But Here ,14786,Shawn Hatosy,family relationships|female protagonist|nubile woman|policeman|teenager,103,English,1999,6.1,2.35,638
Andy Cadiff,65,Stark Sands,12189514,Comedy|Romance,Chasing Liberty ,30092,Terence Maynard,first daughter|photographer|prague|president|secret service agent,129,English,2004,6.1,2.35,0
Michael Dinner,53,Dan Hedaya,13019253,Comedy|Crime,The Crew ,3914,Lainie Kazan,beach|drug lord|drugs|hotel|stripper,47,English,2000,5.6,1.85,153
Steven Soderbergh,394,Michael Fassbender,18934858,Action|Thriller,Haywire ,72646,Michael Angarano,die hard scenario|one woman army|rescue|soldier|super soldier,397,English,2011,5.8,2.35,0
Joseph Sargent,80,Mario Van Peebles,20763013,Adventure|Horror|Thriller,Jaws: The Revenge ,30840,Lynn Whitfield,banana boat|boat|christmas|sea|shark,383,English,1987,2.8,2.35,0
Jerry Zaks,45,Robert De Niro,12782508,Drama,Marvin's Room ,20163,Meryl Streep,house|leukemia|mental institution|nursing home|transplant,71,English,1996,6.7,1.85,1000
Fred Durst,47,Dash Mihok,11508423,Biography|Comedy|Drama|Family|Sport,The Longshots ,3174,Garrett Morris,absent father|american football|based on true story|middle school,19,English,2008,5.1,2.35,376
Neil Jordan,90,Ian Hart,10660147,Drama|Romance,The End of the Affair ,17740,James Bolam,breasts|jealousy|obsession|sex scene|spiritual,165,English,1999,7.2,1.85,0
Simon Wincer,30,Tia Carrere,7434726,Action|Crime|Drama|Thriller|Western,Harley Davidson and the Marlboro Man ,14473,Don Johnson,bar|biker|cowboy|drugs|marlboro,81,English,1991,6.0,1.85,0
Paul Haggis,232,Charlize Theron,6777589,Crime|Drama|Mystery|Thriller,In the Valley of Elah ,60115,Barry Corbin,detective|iraq|military|murder investigation|police,224,English,2007,7.2,2.35,0
Anne Fontaine,165,Benoît Poelvoorde,6109075,Biography|Drama,Coco Before Chanel ,32003,Marie Gillain,baron|fashion|hat|nickname|orphanage,65,French,2009,6.7,2.35,0
Jon Cassar,45,Landon Liboiron,,Drama|Western,Forsaken ,4693,Michael Wincott,,49,English,2015,6.3,2.35,0
Stephen Frears,155,Iben Hjejle,2708188,Comedy|Drama|Romance,Chéri ,8924,Gaye Brown,age difference|courtesan|mansion|marriage|prostitute,43,English,2009,6.2,2.35,0
,6,Sarah Carter,,Action|Crime|Drama|Thriller,Rogue             ,1781,Derek Luke,cheating wife|extramarital affair|female lead|undercover|unfaithfulness,23,English,,6.8,,532
Mira Nair,118,Roger Lloyd Pack,16123851,Drama,Vanity Fair ,17373,Lillete Dubey,aristocrat|english|painter|painting|singer,148,English,2004,6.2,2.35,767
Teddy Chan,55,Simon Yam,,Action|Drama|History,Bodyguards and Assassins ,6263,Nicholas Tse,giant|hong kong|hook and chain|knife fight|martial artist,33,Mandarin,2009,6.9,2.35,765
Mikael Håfström,314,Kim Thomson,71975611,Fantasy|Horror,1408 ,209396,Alexandra Silber,book|debunking|evil|hotel|paranormal phenomena,580,English,2007,6.8,2.35,11000
Mel Brooks,103,Dick Van Patten,38119483,Adventure|Comedy|Sci-Fi,Spaceballs ,136667,Michael Winslow,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago,273,English,1987,7.1,1.85,13000
Russell Crowe,183,Ryan Corr,4190530,Drama|War,The Water Diviner ,53341,Steve Bastoni,australian|battle|battle of gallipoli|gallipoli|world war one,185,English,2014,7.1,2.35,18000
Jerry Zucker,77,Tony Goldwyn,217631306,Drama|Fantasy|Romance|Thriller,Ghost ,154199,Phil Leeds,death|film blanc|invisibility|love|unrequited love,252,English,1990,7.0,1.85,0
Bobby Farrelly,171,Lin Shaye,176483808,Comedy|Romance,There's Something About Mary ,247289,Richard Tyson,accident|curtain call|dream girl|high school|prom,611,English,1998,7.1,1.85,0
John Pasquin,64,Eric Lloyd,144833357,Comedy|Drama|Family|Fantasy,The Santa Clause ,64742,Peter Boyle,1990s|christmas|christmas eve|sleigh|surrealism,111,English,1994,6.4,1.85,0
John Lee Hancock,92,Jay Hernandez,75597042,Drama|Family|Sport,The Rookie ,26434,Angus T. Jones,baseball|coach|high school|pitching|texas,174,English,2002,7.0,2.35,0
Andy Fickman,112,Kyra Sedgwick,90636983,Comedy|Family|Sport,The Game Plan ,44021,Madison Pettis,family relationships|football movie|publicist|sports team|tween girl,83,English,2007,6.2,2.35,0
Clint Eastwood,69,Meryl Streep,70960517,Drama|Romance,The Bridges of Madison County ,54631,Debra Monk,1960s|bridge|housewife|love|photographer,192,English,1995,7.5,1.85,0
Luke Greenfield,75,Michael Papajohn,55762229,Comedy|Sci-Fi,The Animal ,47383,Colleen Haskell,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,132,English,2001,4.8,1.85,1000
Richard Attenborough,95,Amrish Puri,,Biography|Drama|History,Gandhi ,171726,John Gielgud,british|india|indian|muslim|pakistan,256,English,1982,8.1,2.35,12000
Lasse Hallström,180,Charlotte Le Bon,54235441,Comedy|Drama,The Hundred-Foot Journey ,52894,Juhi Chawla,chef|haute cuisine|indian cuisine|michelin guide|restaurant,185,English,2014,7.3,2.35,55000
Irwin Winkler,53,Jeremy Northam,50728000,Action|Crime|Drama|Mystery|Thriller,The Net ,48909,Ray McKinnon,chat room|computer|computer hacker|identity|identity theft,166,English,1995,5.8,1.85,0
Jessie Nelson,129,Loretta Devine,40270895,Drama,I Am Sam ,121937,Richard Schiff,child custody|custody battle|disability|mentally impaired man|single father,431,English,2001,7.6,1.85,15000
Christopher Spencer,61,Amber Rose Revah,59696176,Biography|Drama|History,Son of God ,15448,Darwin Shaw,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,174,English,2014,5.6,2.35,15000
Len Wiseman,226,Kevin Grevioux,51483949,Action|Fantasy|Thriller,Underworld ,208092,Shane Brolly,blood|death|hybrid|vampire|werewolf,806,English,2003,7.0,2.35,0
Mikael Håfström,116,RZA,36020063,Drama|Thriller,Derailed ,62584,Xzibit,drink|hotel|police|staged rape|thief,375,English,2005,6.6,2.35,0
Steven Soderbergh,248,Joel McHale,33313582,Comedy|Crime|Drama|Thriller,The Informant! ,52888,Thomas F. Wilson,compulsive liar|fbi|informant|investigation|spy,175,English,2009,6.5,1.85,0
Richard Attenborough,23,James Frain,25842000,Biography|Drama|Romance,Shadowlands ,13455,Julian Fellowes,author|book|england|friend|oxford,87,English,1993,7.4,2.35,2000
Mike Bigelow,98,Eddie Griffin,22264487,Comedy,Deuce Bigalow: European Gigolo ,41239,Charles Keating,dolphin|gigolo|pimp|serial killer|villain arrested,166,English,2005,4.6,1.85,887
Ken Scott,168,Bobby Moynihan,30659817,Comedy|Drama,Delivery Man ,59805,Matthew Daddario,children|identity|lawsuit|lawyer|sperm donor,95,English,2013,6.4,2.35,0
Paul McGuigan,159,Spencer Wilding,5773519,Drama|Horror|Sci-Fi|Thriller,Victor Frankenstein ,28621,Daniel Mays,assistant|experiment|frankenstein|medical student|scientist,91,English,2015,6.0,2.35,11000
Susanna White,134,Pawel Szajda,3108216,Thriller,Our Kind of Traitor ,2587,Grigoriy Dobrygin,based on novel|male frontal nudity|male nudity|male rear nudity,21,English,2016,6.4,2.35,0
Dennis Dugan,97,Neil Diamond,19351569,Comedy|Crime|Romance,Saving Silverman ,33287,Kyle Gass,female nudity|friend|kidnapping|love|nun,201,English,2001,5.9,1.85,739
David Bowers,88,Rachael Harris,49002815,Comedy|Family,Diary of a Wimpy Kid: Dog Days ,15665,Karan Brar,best friend|camping|country club|no opening credits|summer vacation,35,English,2012,6.4,2.35,0
Spike Lee,85,Jennifer Esposito,19283782,Crime|Drama|Romance|Thriller,Summer of Sam ,31227,Mike Starr,distrust|fear|murder|neighborhood|new york city,354,English,1999,6.6,1.85,0
