duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
105,537,Stephen Baldwin,4000,Action|Adventure|Crime|Drama|Romance,Salma Hayek,Fled ,Will Patton,1,disk|floppy disk|mafia|prison|prisoner,R,25000000,561,5.3,1.85,204
99,762,Doug E. Doug,19000,Action|Comedy|Horror,Scarlett Johansson,Eight Legged Freaks ,Riley Smith,1,creature feature|human versus spider|spider|spider feature|woman sheriff,PG-13,30000000,953,5.4,2.35,0
112,2000,Anne Hathaway,15000,Comedy|Drama|Romance,Jake Gyllenhaal,Love & Other Drugs ,Judy Greer,0,female nudity|male objectification|pfizer|viagra|zoloft,R,30000000,11000,6.7,1.85,24000
108,494,Alicia Witt,14000,Crime|Drama|Mystery|Thriller,Al Pacino,88 Minutes ,Deborah Kara Unger,1,death|fbi|forensics|murder|serial killer,R,30000000,975,5.9,2.35,0
126,874,Charlize Theron,10000,Drama,Jeremy Renner,North Country ,Sissy Spacek,4,based on true story|innocence|lawsuit|mine|sexual harassment,R,35000000,9000,7.3,2.35,0
98,900,Matthew Perry,13000,Comedy|Crime|Thriller,Bruce Willis,The Whole Ten Yards ,Natasha Henstridge,5,dentist|face slap|flashback|hitman|killing an animal,PG-13,40000000,2000,5.5,1.85,462
104,559,David Hewlett,900,Drama|Horror|Sci-Fi,Sarah Polley,Splice ,Delphine Chanéac,0,dna|experiment|genetics|interspecies sex|scientist,R,26000000,686,5.8,1.85,12000
110,322,Jeffrey Jones,1000,Action|Adventure|Comedy|Romance|Sci-Fi,Lea Thompson,Howard the Duck ,Jordan Prentice,1,alien|duck|laser|planet|singer,PG,35000000,692,4.6,1.85,0
130,798,Rick Gonzalez,1000,Crime|Drama|Thriller,Jennifer Ehle,Pride and Glory ,Frank Grillo,0,brother in law|corruption|drug dealer|drugs|police,R,30000000,807,6.7,1.85,0
93,258,Cole Hauser,849,Adventure|Horror|Thriller,Eddie Cibrian,The Cave ,Marcel Iures,0,cave|diver|diving|flare|parasite,PG-13,30000000,787,5.1,2.35,0
96,130,Lobo Sebastian,372,Comedy|Romance,David Paymer,Alex & Emma ,Robert Costanzo,2,gambling|novel|stenographer|writer|writer's block,PG-13,30000000,206,5.6,1.85,625
114,40,Christopher Cousins,489,Drama|Mystery|Romance|Thriller,Jessica Paré,Wicker Park ,Mark Camacho,0,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,PG-13,30000000,93,7.0,2.35,0
