director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,imdb_score
Brenda Chapman,120,99,59,145,Aria Noelle Curzon,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,1195,2,353,PG,70000000,263,7.0
Steve Carr,81,92,41,522,Lisa Edelstein,Comedy|Family,4050,1,116,PG,60000000,955,5.5
Baltasar Kormákur,265,109,175,459,Patrick Fischler,Action|Comedy|Crime|Drama|Thriller,20148,1,172,R,61000000,497,6.7
Lawrence Guterman,105,87,6,405,Elizabeth Perkins,Action|Comedy|Family|Fantasy,4171,0,235,PG,60000000,664,5.2
F. Gary Gray,155,111,473,82,Charlize Theron,Action|Crime|Thriller,35084,6,497,PG-13,60000000,9000,7.0
Marc Lawrence,118,101,30,268,Alicia Witt,Comedy|Romance,2636,2,269,PG-13,60000000,976,6.1
Eric Darnell,131,83,35,754,Woody Allen,Adventure|Animation|Comedy|Family,25788,0,289,PG,105000000,11000,6.6
Peter Billingsley,166,113,0,721,Kristin Davis,Comedy,8172,6,144,PG-13,60000000,722,5.5
Tony Scott,60,107,12000,695,Robert Duvall,Action|Drama|Sport,14006,0,97,PG-13,60000000,3000,5.9
Adam Shankman,77,94,163,2000,Tom Welling,Adventure|Comedy|Family,20348,6,128,PG,60000000,3000,5.4
Wes Ball,249,132,47,240,Lili Taylor,Action|Sci-Fi|Thriller,2517,0,360,PG-13,61000000,960,6.4
Ryan Murphy,213,140,708,745,Julia Roberts,Drama|Romance,20440,1,302,PG-13,60000000,8000,5.7
Brett Ratner,121,125,420,627,Don Cheadle,Comedy|Drama|Fantasy|Romance,16646,1,322,PG-13,60000000,3000,6.7
Robert Schwentke,315,111,124,357,Morgan Freeman,Action|Comedy|Crime|Thriller,24928,4,328,PG-13,58000000,11000,7.1
Oliver Stone,171,156,0,1000,Dennis Quaid,Drama|Sport,20761,5,452,R,55000000,2000,6.8
Robert Redford,96,170,0,380,Kristin Scott Thomas,Drama|Romance|Western,20683,0,263,PG-13,60000000,1000,6.5
Michael Mann,299,120,0,680,Jada Pinkett Smith,Crime|Drama|Thriller,13581,0,836,R,65000000,851,7.6
Chuck Russell,167,100,55,416,Roger Rees,Action|Adventure|Fantasy|Thriller,14611,4,432,PG-13,60000000,1000,5.5
Jay Russell,125,115,13,579,Jay Hernandez,Action|Drama|Thriller,4496,2,323,PG-13,55000000,1000,6.5
Christopher McQuarrie,387,130,188,1000,Robert Duvall,Action|Crime|Mystery|Thriller,16385,2,448,PG-13,60000000,3000,7.0
Renny Harlin,199,105,212,811,Michael Rapaport,Action|Sci-Fi|Thriller,3697,1,643,R,60000000,975,5.8
Kenny Ortega,136,111,197,6,Mekia Cox,Documentary|Music,679,0,223,PG,60000000,208,7.3
Steven Soderbergh,436,106,0,175,Monique Gabriela Curnen,Drama|Thriller,13634,4,411,PG-13,60000000,240,6.6
David McNally,73,89,18,226,Dyan Cannon,Action|Adventure|Comedy|Crime,1233,0,181,PG,60000000,257,4.4
Henry Selick,310,100,253,57,Dawn French,Animation|Family|Fantasy,647,1,279,PG,60000000,229,7.7
M. Night Shyamalan,323,91,0,751,Alan Ruck,Sci-Fi|Thriller,13654,0,1264,R,48000000,946,5.0
Tony Scott,171,146,12000,451,Radha Mitchell,Action|Crime|Drama|Thriller,20454,2,690,R,70000000,992,7.7
Brian Robbins,76,98,48,722,Joel David Moore,Comedy|Family|Fantasy,24664,0,83,PG,50000000,936,4.4
Todd Phillips,173,101,480,767,Carmen Electra,Comedy|Crime,3943,5,308,PG-13,60000000,869,6.1
Brian Levant,81,94,32,626,Harvey Korman,Comedy|Family,4530,1,162,PG,60000000,628,5.4
Guillermo del Toro,242,132,0,160,Rupert Evans,Action|Fantasy|Horror|Sci-Fi,1112,1,597,PG-13,66000000,334,6.8
Steven Zaillian,110,115,234,521,Kathleen Quinlan,Drama,4713,1,181,PG-13,60000000,552,6.5
Chris Butler,328,92,28,586,Kodi Smit-McPhee,Adventure|Animation|Comedy|Family|Fantasy,13597,0,176,PG,60000000,884,7.0
Michael Caton-Jones,83,124,105,460,Bruce Willis,Action|Adventure|Crime|Thriller,38227,0,227,R,60000000,13000,6.3
John Woo,196,119,610,716,Joe Morton,Action|Mystery|Sci-Fi|Thriller,3637,0,347,PG-13,60000000,780,6.3
Jon Avnet,34,124,50,672,Stockard Channing,Drama|Romance,3653,2,54,PG-13,60000000,944,6.1
Sam Fell,118,93,18,903,Matthew Broderick,Adventure|Animation|Comedy|Family|Fantasy,13403,0,106,G,60000000,2000,6.1
,8,22,,402,Oliver Hudson,Comedy|Romance,2064,3,41,TV-PG,,607,7.3
Kevin Donovan,81,98,11,107,Debi Mazar,Action|Comedy|Sci-Fi,2018,2,207,PG-13,60000000,680,5.3
Geoff Murphy,47,92,14,488,Brenda Bakke,Action|Thriller,2318,1,126,R,60000000,520,5.4
Kenneth Branagh,313,105,0,288,Nonso Anozie,Action|Drama|Thriller,1411,3,289,PG-13,60000000,394,6.2
David O. Russell,315,124,737,14000,Robert De Niro,Biography|Comedy|Drama,75793,3,256,PG-13,60000000,22000,6.6
Babak Najafi,225,99,24,864,Radha Mitchell,Action|Crime|Drama|Thriller,20276,3,323,R,60000000,992,5.9
Jean-Pierre Jeunet,223,116,0,672,Michael Wincott,Action|Horror|Sci-Fi,3090,0,656,R,75000000,720,6.3
Antoine Fuqua,198,124,845,295,Ned Beatty,Action|Crime|Drama|Mystery|Thriller,1640,0,338,R,61000000,467,7.2
Graham Annable,219,96,7,642,Dee Bradley Baker,Adventure|Animation|Comedy|Family|Fantasy,3151,3,122,PG,60000000,668,6.8
Griffin Dunne,92,104,165,944,Dianne Wiest,Comedy|Drama|Fantasy|Romance,4294,1,257,PG-13,48000000,967,6.1
Phil Lord,435,100,97,2000,Will Ferrell,Action|Adventure|Animation|Comedy|Family|Fantasy,22128,0,471,PG,60000000,8000,7.8
John Pasquin,111,115,11,642,Diedrich Bader,Action|Comedy|Crime,4305,2,156,PG-13,45000000,759,5.0
Rob Bowman,138,101,38,11000,Gerard Butler,Action|Adventure|Fantasy|Sci-Fi|Thriller,53024,0,569,PG-13,60000000,18000,6.2
Ruben Fleischer,415,113,181,300,Brandon Molale,Action|Crime|Drama|Thriller,34738,3,264,R,60000000,301,6.7
Harold Ramis,170,100,11000,485,Oliver Platt,Adventure|Comedy,12258,2,203,PG-13,60000000,1000,4.9
Clint Eastwood,306,134,16000,204,Morgan Freeman,Biography|Drama|History|Sport,24458,1,259,PG-13,60000000,11000,7.4
Kevin Macdonald,252,127,162,379,Harry Lennix,Crime|Drama|Mystery|Thriller,19776,3,235,PG-13,,748,7.1
Tony Gilroy,211,125,209,896,Tom Wilkinson,Comedy|Crime|Romance|Thriller,10623,0,184,PG-13,60000000,1000,6.2
Donald Petrie,49,94,80,230,Ray Walston,Comedy|Family|Sci-Fi,2151,2,73,PG,65000000,417,4.9
Clark Johnson,161,107,69,206,David Rasche,Action|Crime|Thriller,1352,0,213,PG-13,60000000,219,6.1
Jorge Blanco,156,91,2,480,Gary Oldman,Adventure|Animation|Comedy|Family|Sci-Fi,22668,1,72,PG,70000000,10000,6.1
Stuart Baird,172,116,53,906,LeVar Burton,Action|Adventure|Sci-Fi|Thriller,31224,0,842,PG-13,60000000,1000,6.4
Joel Coen,161,100,0,210,Paul Adelstein,Comedy|Crime|Romance,1395,1,322,PG-13,60000000,399,6.3
Robert Lorenz,239,111,39,461,Ed Lauter,Drama|Sport,17871,0,150,PG-13,,897,6.8
Martin Campbell,258,117,258,896,Ray Winstone,Crime|Drama|Mystery|Thriller,7053,1,256,R,80000000,1000,6.6
Peter Hyams,95,110,0,308,Penelope Ann Miller,Horror|Mystery|Sci-Fi|Thriller,1976,0,165,R,40000000,344,5.7
Harold Ramis,105,96,11000,236,Cathy Moriarty,Comedy|Crime,22889,1,138,R,60000000,394,5.9
Jon Avnet,198,101,50,1000,Al Pacino,Action|Crime|Drama|Mystery|Thriller,38809,2,248,R,60000000,14000,6.0
Harold Becker,79,111,17,652,Miko Hughes,Action|Crime|Drama|Thriller,16536,1,127,R,60000000,968,6.1
Joe Wright,210,117,456,569,Stephen Root,Biography|Drama|Music,23745,0,143,PG-13,60000000,939,6.7
Robert Redford,125,126,0,9000,Will Smith,Drama|Fantasy|Sport,34774,3,267,PG-13,60000000,10000,6.7
Cameron Crowe,149,152,488,947,Zooey Deschanel,Adventure|Comedy|Drama|Music,36897,1,822,R,60000000,11000,7.9
Tim Hill,77,86,25,265,Roger Rees,Animation|Comedy|Family|Fantasy,14918,0,74,PG,,1000,5.0
Lee Tamahori,77,101,93,218,Nona Gaye,Action|Adventure|Crime|Thriller,993,2,213,PG-13,87000000,233,4.3
Scott Stewart,225,87,124,77,Alan Dale,Action|Fantasy|Horror|Sci-Fi|Thriller,1417,0,233,PG-13,60000000,441,5.7
Patrick Gilmore,98,85,0,82,Adriano Giannini,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,11301,0,91,PG,60000000,102,6.7
Paul W.S. Anderson,172,130,545,552,Joely Richardson,Horror|Sci-Fi|Thriller,2525,0,857,R,60000000,585,6.7
Joss Whedon,703,173,0,19000,Robert Downey Jr.,Action|Adventure|Sci-Fi,87697,3,1722,PG-13,220000000,21000,8.1
Tom Shadyac,117,104,293,256,Susanna Thompson,Drama|Fantasy|Mystery|Romance|Thriller,2109,0,243,PG-13,60000000,265,6.1
Brian De Palma,240,121,0,854,Mia Kirshner,Crime|Drama|Mystery|Thriller,22833,0,644,R,50000000,972,5.6
Tony Bill,123,140,23,579,Tyler Labine,Action|Adventure|Drama|History|Romance|War,12634,1,247,PG-13,60000000,779,6.6
Rod Lurie,110,131,37,507,Delroy Lindo,Action|Drama|Thriller,3012,3,281,R,60000000,848,6.9
Walter Hill,100,91,394,68,Wilson Cruz,Horror|Sci-Fi|Thriller,1262,0,282,PG-13,65000000,290,4.8
Akiva Goldsman,189,118,167,778,William Hurt,Drama|Fantasy|Mystery|Romance,22447,0,126,PG-13,60000000,882,6.2
Harald Zwart,212,130,91,1000,Kevin Zegers,Fantasy|Horror|Mystery|Romance,10247,3,457,PG-13,60000000,2000,6.0
Brian Robbins,127,90,48,196,Mike O'Malley,Adventure|Comedy|Family|Romance|Sci-Fi,1865,1,109,PG,60000000,400,4.9
Walter Salles,196,103,179,87,Camryn Manheim,Drama|Horror|Thriller,1467,2,411,PG-13,30000000,329,5.6
Ron Howard,115,122,2000,1000,Adam Goldberg,Comedy|Drama,15275,0,195,PG-13,55000000,1000,6.1
Iain Softley,161,106,34,466,Stephen Graham,Adventure|Family|Fantasy,5329,3,110,PG,60000000,1000,6.1
Frank Miller,223,103,436,437,Jaime King,Action|Crime|Fantasy|Thriller,20881,1,290,PG-13,60000000,961,4.8
David Koepp,181,107,192,280,Olivia Munn,Action|Comedy|Mystery|Romance,42683,2,188,R,60000000,2000,5.5
