duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
104,30,635,Chris Noth,1000,21800302,Comedy|Drama|Romance|Sport,Mr 3000 ,12164,4462,http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1,63,English,PG-13,30000000,962,5.5,1.85,491
133,549,343,Daniel Stern,10000,21129348,Crime|Drama|Romance|Thriller,The Next Three Days ,146364,11799,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,237,English,PG-13,35000000,796,7.4,2.35,27000
94,110,277,Cameron Bright,14000,18500966,Action|Horror|Sci-Fi|Thriller,Ultraviolet ,70341,15271,http://www.imdb.com/title/tt0370032/?ref_=fn_tt_tt_1,830,English,PG-13,30000000,829,4.4,1.85,0
109,25,431,Drea de Matteo,954,19976073,Action|Crime|Drama|Thriller,Assault on Precinct 13 ,65979,3148,http://www.imdb.com/title/tt0398712/?ref_=fn_tt_tt_1,220,English,R,20000000,739,6.3,2.35,999
96,845,488,Clifton Collins Jr.,978,18967571,Action|Crime|Thriller,The Replacement Killers ,23345,3072,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,167,English,R,30000000,968,6.1,2.35,629
105,114,537,Stephen Baldwin,4000,17100000,Action|Adventure|Crime|Drama|Romance,Fled ,7073,6152,http://www.imdb.com/title/tt0116320/?ref_=fn_tt_tt_1,29,English,R,25000000,561,5.3,1.85,204
99,11,762,Doug E. Doug,19000,17266505,Action|Comedy|Horror,Eight Legged Freaks ,43764,22554,http://www.imdb.com/title/tt0271367/?ref_=fn_tt_tt_1,291,English,PG-13,30000000,953,5.4,2.35,0
112,380,2000,Anne Hathaway,15000,32357532,Comedy|Drama|Romance,Love & Other Drugs ,143368,31278,http://www.imdb.com/title/tt0758752/?ref_=fn_tt_tt_1,215,English,R,30000000,11000,6.7,1.85,24000
108,50,494,Alicia Witt,14000,16930884,Crime|Drama|Mystery|Thriller,88 Minutes ,65628,16722,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,262,English,R,30000000,975,5.9,2.35,0
126,51,874,Charlize Theron,10000,18324242,Drama,North Country ,32815,20563,http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,214,English,R,35000000,9000,7.3,2.35,0
98,41,900,Matthew Perry,13000,16323969,Comedy|Crime|Thriller,The Whole Ten Yards ,45775,18085,http://www.imdb.com/title/tt0327247/?ref_=fn_tt_tt_1,112,English,PG-13,40000000,2000,5.5,1.85,462
104,165,559,David Hewlett,900,16999046,Drama|Horror|Sci-Fi,Splice ,79517,2222,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,354,English,R,26000000,686,5.8,1.85,12000
110,8,322,Jeffrey Jones,1000,16295774,Action|Adventure|Comedy|Romance|Sci-Fi,Howard the Duck ,33669,3000,http://www.imdb.com/title/tt0091225/?ref_=fn_tt_tt_1,269,English,PG,35000000,692,4.6,1.85,0
130,149,798,Rick Gonzalez,1000,15709385,Crime|Drama|Thriller,Pride and Glory ,53053,5101,http://www.imdb.com/title/tt0482572/?ref_=fn_tt_tt_1,132,English,R,30000000,807,6.7,1.85,0
93,2,258,Cole Hauser,849,14888028,Adventure|Horror|Thriller,The Cave ,28606,2178,http://www.imdb.com/title/tt0402901/?ref_=fn_tt_tt_1,262,English,PG-13,30000000,787,5.1,2.35,0
96,0,130,Lobo Sebastian,372,14208384,Comedy|Romance,Alex & Emma ,11520,977,http://www.imdb.com/title/tt0318283/?ref_=fn_tt_tt_1,105,English,PG-13,30000000,206,5.6,1.85,625
114,118,40,Christopher Cousins,489,12831121,Drama|Mystery|Romance|Thriller,Wicker Park ,44979,679,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,298,English,PG-13,30000000,93,7.0,2.35,0
106,44,133,Reid Ewing,596,18298649,Comedy|Horror,Fright Night ,85024,1393,http://www.imdb.com/title/tt1438176/?ref_=fn_tt_tt_1,242,English,R,30000000,343,6.4,1.85,23000
150,0,855,Michael Greyeyes,23000,12712093,Biography|Drama|History|Romance,The New World ,70771,27829,http://www.imdb.com/title/tt0402399/?ref_=fn_tt_tt_1,671,English,PG-13,30000000,909,6.7,2.35,0
