director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,gross,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Todd Field,179,138,143,Sissy Spacek,35918429,In the Bedroom ,3970,Karen Allen,1,doctor|maine|only son|school choir|summer,1700000,2001,874,7.5,951
Steven R. Monroe,225,105,68,Chad Lindberg,92401,I Spit on Your Grave ,2423,Daniel Franzese,0,horror movie remake|rape|rape and revenge|rape victim|revenge,2000000,2010,445,6.3,17000
Mark Illsley,77,98,3,Illeana Douglas,1943649,"Happy, Texas ",2095,Jeremy Northam,3,banker|beauty pageant|escaped convict|gay|pageant,1700000,1999,347,6.3,374
Pawel Pawlikowski,124,86,84,Natalie Press,992238,My Summer of Love ,763,Dean Andrews,0,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,1700000,2004,46,6.8,869
Ritesh Batra,195,104,25,Nimrat Kaur,4231500,The Lunchbox ,822,Lillete Dubey,2,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,1000000,2013,85,7.8,16000
Sally Potter,76,100,87,Joan Allen,396035,Yes ,2721,Stephanie Leonidas,0,beach|lebanese|loss|muslim|restaurant,1000000,2004,805,6.9,305
Frank Capra,51,126,964,Ann Miller,,You Can't Take It with You ,1363,Lionel Barrymore,10,eccentric|friend|house|monopoly|stenographer,1644736,1938,302,8.0,0
Fred Zinnemann,101,118,160,Donna Reed,,From Here to Eternity ,2247,Deborah Kerr,5,boxing|captain|hawaii|love|sergeant,1650000,1953,488,7.8,0
John Ford,55,103,673,Ben Johnson,,She Wore a Yellow Ribbon ,955,Victor McLaglen,1,captain|cavalry|fort|retirement|yellow ribbon,1600000,1949,230,7.4,721
Brad J. Silverman,15,102,11,Michael Welch,2507106,Grace Unplugged ,3894,Anthony Reynolds,0,christianity|love|reference to justin bieber|reference to taylor swift|worship,,2013,611,6.1,0
Dave Meyers,16,84,11,Clifton Powell,6026908,Foolish ,2196,Marla Gibbs,0,accidental killing|drug humor|profanity|sexual humor|stand up comedy,2000000,1999,469,4.3,43
David M. Matthews,5,,8,Lamman Rucker,2592808,N-Secure ,3137,Tempestt Bledsoe,5,betrayal|family relationships|insecurity|murder|passive aggression,,2010,607,3.5,588
Nadine Labaki,109,95,0,Adel Karam,1060591,Caramel ,231,Nadine Labaki,0,caramel|friendship|police|secret|suitor,1300000,2007,4,7.2,0
Lluís Quílez,40,92,0,Pixie Davies,,Out of the Dark ,380,Alejandro Furth,3,haunted house,,2014,51,4.7,844
Eytan Fox,51,90,21,Lior Ashkenazi,155972,The Bubble ,137,Yousef 'Joe' Sweid,0,gay|hairy chest|homosexual|israel|male nudity,1500000,2006,30,7.3,0
Francis Ford Coppola,149,113,0,Teri Garr,,The Conversation ,12157,Cindy Williams,2,corruption|neo noir|recording|saxophone|surveillance,1600000,1974,481,7.9,6000
Romesh Sharma,4,,0,Revathy,129319,Dil Jo Bhi Kahey... ,622,Bhoomika Chawla,4,,70000000,2005,96,5.1,9
François Truffaut,35,123,0,Jean-Paul Belmondo,26893,Mississippi Mermaid ,1694,Michel Bouquet,0,antibes|hotel|island|reunion|reunion island,1600000,1969,710,7.2,278
