actor_1_name,cast_total_facebook_likes,plot_keywords,country,content_rating,imdb_score
Claude Rains,1076,arab|british military|desert|ottoman empire|t.e. lawrence,UK,PG,8.4
Scout Taylor-Compton,3226,halloween|hospital|michael myers|rampage|vomiting,USA,R,4.9
Michiel Huisman,4896,female protagonist|grief|hiking|loss of mother|mother daughter relationship,USA,R,7.1
Tony Goldwyn,3861,kidnapping|lake|microwave oven|psychopath|woods,USA,R,6.6
Jack Davenport,2666,chick flick|escort|male escort|wedding|wedding date,USA,PG-13,6.1
Jamie Lee Curtis,5440,cult film|halloween|killer|michael myers|serial killer,USA,R,4.1
Liam Neeson,18003,famous line|hand to hand combat|kraken|rape|zeus,USA,PG-13,5.8
Robin Wright,20060,fairy tale|giant|pirate|princess|true love,USA,PG,8.1
Denzel Washington,22745,college|debate|student|texas|wiley college,USA,PG-13,7.6
Ryan Gosling,34337,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,USA,R,7.8
Adam Garcia,2167,band|friend|new york city|suburb|teenager,Germany,PG,4.6
Liam Aiken,1450,baby|dancing|gay|name calling|penis slur,USA,R,6.0
Jeremy Renner,11471,paris france|rage|sniper|u.s. army|zombie apocalypse,UK,R,7.0
Jessie T. Usher,525,coach|high school football,USA,PG,6.7
Cicely Tyson,3462,10 year old|dog|florida|girl|supermarket,USA,PG,6.4
Alfre Woodard,5135,basketball movie|female basketball player|high school|nba|title directed by female,USA,PG-13,7.2
Minnie Driver,2044,assassin|high school|high school reunion|reunion|suburb,USA,R,7.4
Bradley Cooper,16461,blind date|crossword puzzle|eccentric|fall|mine shaft,USA,PG-13,4.8
Kim Director,608,convenience store|digit in title|punctuation in title|violence|witch,USA,R,4.0
Christine Taylor,1812,coven|occult|outcast|spell|witch,USA,R,6.2
Scarlett Johansson,20391,extramarital affair|infidelity|irony of fate|surprise ending|tennis,UK,R,7.7
Sierra McCormick,1002,aunt|cat|death of pet|girl|no opening credits,USA,G,6.7
Anthony Hopkins,12749,butler|housekeeper|manor|servant|service,UK,PG,7.9
Don Cheadle,3677,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,USA,R,7.9
Kieran Culkin,2210,business|escaped convict|farm|motorcycle|widow,USA,R,5.5
Alison Lohman,3845,father son relationship|horse|horse ranch|ranch|wild mustang,USA,PG,6.2
Jeff Kober,2559,desert|fight|hill|murder|mutant,USA,R,5.1
Loretta Devine,2682,film set|movie set|sequel|slow motion|urban legend,USA,R,4.1
William Hurt,2661,fountain of youth|immortality|secret|woods|young man,USA,PG,6.7
Kelly Carlson,1045,beating|marine|muscleman|tied up|tough guy,USA,PG-13,4.7
Nia Long,2958,car chase|gangsta|gun fight|hitman|kitten,USA,R,6.4
Leighton Meester,4204,country music|panties|pink panties|relapse|songwriter,Official site,PG-13,6.3
Bruce Greenwood,4660,blue ribbon|high school|jacket|jock|yogurt,Australia,R,5.5
Ryan Gosling,34413,bank|carnival|motorcycle|police|rookie cop,USA,R,7.3
Luke Bracey,3033,critically bashed|premarital sex|sex scene|sex standing up|stripper,USA,R,6.3
Jason Priestley,1069,chicago illinois|false identity|femme fatale|new york city|spying,Canada,R,4.9
Jeremy Renner,11114,army|bomb|dangerous job|death|iraq,USA,R,7.6
Heather Locklear,3444,captain|experiment|fire|psychic|secret government agency,USA,R,6.0
Brad Pitt,14025,exploding car|hit by a car|poker game|punched in the face|shot to death,USA,R,6.2
Philip Seymour Hoffman,22574,intelligence|intelligence agency|secret service|surveillance camera|war on terror,UK,R,6.8
Rip Torn,2689,animator|bamboo cane|cartoonist|sausage|slacker,USA,R,4.5
Yuri Lowenthal,568,17th century|king|pirate|vegetable|waiter,USA,G,5.7
Bono,646,3d in title|digit in title|rock band|rocker|u2,USA,G,8.4
Christopher Lambert,2764,battle|explosion|immortal|revenge|sequel to cult film,USA,R,4.6
Cicely Tyson,3633,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,USA,R,6.2
Anne Hathaway,17627,23 year time span|accidental death|best friend|loss of loved one|male female friendship,USA,PG-13,7.0
Daniel Stern,2633,beauty pageant|friend|pageant|roller derby|texas,USA,PG-13,6.9
Vin Diesel,15644,mob|mobster|money|montana|sheriff,USA,R,6.1
Louis Lombardi,1172,con|grifter|lap dance|organized crime|shot in the forehead,USA,R,6.7
Jeff Bridges,15209,directed by star|muse|satire|screenwriter|tiffany's,USA,PG-13,5.6
Kevin McNally,729,cole porter|composer|love|party|tears,USA,PG-13,6.6
Woody Allen,12685,12 year old|artist|hotel|three word title|written and directed by cast member,USA,PG,6.4
Trevor Morgan,1139,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,Canada,G,2.8
Rick Yune,2377,blacksmith|box office flop|chop socky|critically bashed|village,USA,R,5.4
Catherine O'Hara,2913,baby|infidelity|pilot|pregnant|waitress,USA,PG-13,5.0
Bruce Greenwood,3142,diner|love|private school|school|small town,USA,PG-13,5.1
Robert De Niro,29475,black comedy|bureaucracy|dream|terrorist|wrongful arrest,UK,R,8.0
Oliver James,4676,music school|scholarship|small town|stage fright|three word title,USA,PG,5.9
David Ogden Stiers,981,psychic|psychic power|psychometry|spin off|supernatural power,Canada,TV-14,7.5
