num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
52,115,642,Bill Cobbs,2,death|finger gun|video message|what happened to epilogue|wheelchair,http://www.imdb.com/title/tt0114660/?ref_=fn_tt_tt_1,144,English,7000000,1995,970,6.8,0
205,105,56,Chen Chang,1,black magic|china|love|refusal to kill|wuxia,http://www.imdb.com/title/tt3508840/?ref_=fn_tt_tt_1,87,Mandarin,15000000,2015,103,6.4,0
109,98,730,Scott Glenn,1,berlin wall|germany|murder|soldier|specialist,http://www.imdb.com/title/tt0252299/?ref_=fn_tt_tt_1,111,English,15000000,2001,826,6.9,664
103,99,9,Vladimir Garin,0,boy|photograph|return|russian|wilderness,http://www.imdb.com/title/tt0376968/?ref_=fn_tt_tt_1,172,Russian,,2003,13,8.0,0
110,110,7,Petchtai Wongkamlao,0,cult film|elephant|jungle|martial arts|stylized violence,http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1,72,Thai,300000000,2008,45,6.2,0
195,97,570,JJ Feild,0,mushroom|mute|roman soldier|screaming|wood carving,http://www.imdb.com/title/tt1020558/?ref_=fn_tt_tt_1,201,English,,2010,794,6.4,0
14,88,40,Gina Bellman,0,assassin|die hard scenario|rangefinder|soldier|veteran,http://www.imdb.com/title/tt0117653/?ref_=fn_tt_tt_1,29,English,9000000,1996,476,5.6,154
177,103,1000,Brooke Shields,0,butcher|girlfriend|mute character|photographer|subway,http://www.imdb.com/title/tt0805570/?ref_=fn_tt_tt_1,209,English,15000000,2008,1000,6.1,0
17,104,2,Wendy Crewson,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,http://www.imdb.com/title/tt1551641/?ref_=fn_tt_tt_1,15,English,15000000,2011,248,6.0,705
62,90,642,Al Pacino,5,housing project|letter|man with glasses|murder|subjective camera,http://www.imdb.com/title/tt1535612/?ref_=fn_tt_tt_1,41,English,15000000,2011,14000,5.1,0
19,105,125,Udo Kier,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,40,English,25000000,2001,595,4.5,193
50,93,66,Gael Le Cornec,1,commercial|dream|dreaming|girl|new york city,http://www.imdb.com/title/tt0484111/?ref_=fn_tt_tt_1,39,English,15000000,2007,165,5.9,445
25,141,576,Hans Matheson,1,bathory|countess|female protagonist|legend|virgin blood,http://www.imdb.com/title/tt0469640/?ref_=fn_tt_tt_1,32,English,,2008,627,6.0,0
39,85,912,Steve Buscemi,0,herd|ostrich|waterhole|wildebeest|zebra,http://www.imdb.com/title/tt1487931/?ref_=fn_tt_tt_1,12,English,20000000,2013,12000,5.8,0
136,109,537,Robert Forster,0,child hitman|dystopia|future|robot|self repair,http://www.imdb.com/title/tt1971325/?ref_=fn_tt_tt_1,134,English,7000000,2014,889,6.1,13000
