duration,actor_3_facebook_likes,actor_2_name,gross,actor_1_name,num_voted_users,facenumber_in_poster,plot_keywords,language,content_rating,title_year,aspect_ratio
88,602,Jenny McCarthy,,Ed Begley Jr.,5385,2,apostrophe in title|character name in title|punctuation in title|sea turtle,English,PG,2010,2.35
134,92,Benoît Magimel,183662,François Cluzet,18395,6,friend|restaurant|secret|unrequited love|vacation,French,Not Rated,2010,2.35
117,416,Bai Ling,134904,Scout Taylor-Compton,2395,9,argentine|brothel|cancer|female full frontal nudity|fight,English,R,2010,1.78
80,0,André Wilms,,Yolande Moreau,753,0,cartoon cat|cat|character name in title|puss in boots|surrealism,English,G,2009,
85,7,Evgeniy Mironov,,Sergey Garmash,891,0,dog|flea|meteor|space|space dog,Russian,G,2010,
138,1000,Brad Pitt,16969390,Michael Fassbender,80861,4,cunnilingus|drug trafficking|lawyer|no panties|shootout,English,R,2013,2.35
121,520,Mackenzie Crook,,Jason Flemyng,34338,2,castle|england|king|knight|templar,English,R,2011,2.35
134,87,Dan O'Herlihy,,Rod Steiger,5911,2,battle|costume drama|final battle|napoleon|napoleon bonaparte,English,G,1970,2.35
100,55,Charlie Yeung,129115,Siu-Wong Fan,5900,2,fight|kung fu|martial arts|police|wire fu,Cantonese,,2014,2.35
100,399,Mario Van Peebles,,Martin Kove,1084,0,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,English,PG-13,2014,
119,418,Peter Capaldi,34700000,Keanu Reeves,52846,2,catholic|corruption|emotional abuse|france|seduction,English,R,1988,1.85
137,4000,Viggo Mortensen,717753,Kristen Stewart,33107,4,benzedrine|cactus|drugs|poem|year 1949,English,R,2012,2.35
119,643,Nichelle Nichols,109713132,Leonard Nimoy,61621,5,alien probe|humpback whales|probe|time travel|whale,English,PG,1986,2.35
139,461,Burt Young,70269171,Sylvester Stallone,162130,0,boxing|fight|heavyweight champion|restaurant|retired boxer,English,PG,2006,1.85
114,848,Edgar Ramírez,28772222,Ray Winstone,33958,1,athlete|extreme sports|fbi|fbi agent|heist,English,PG-13,2015,2.35
120,221,Jada Pinkett Smith,101334374,Omar Epps,124941,5,college|ghostface|killer|killing spree|murder,English,R,1997,2.35
98,439,Noah Emmerich,1512815,Natalie Portman,8885,0,brothel|death of husband|ex lover|haunted by the past|redemption,English,R,2016,2.35
106,676,Regina Hall,65182182,Romany Malco,15310,8,african american|imperative in title|las vegas nevada|nevada|wedding,English,PG-13,2014,2.35
98,900,Matthew Perry,57262492,Bruce Willis,90374,4,adultery|black humor|dentist|hitman|sex in bed,English,R,2000,1.85
107,304,Chris Penn,80000000,Dianne Wiest,51459,0,church|cowboy boots|dancing|high school dance|teenager,English,PG,1984,1.85
88,497,Leah Remini,74608545,Will Ferrell,185258,4,college|fraternity|friend|house|party,English,R,2003,2.35
137,161,David Hyde Pierce,41895491,Jeff Bridges,63274,1,friendship|holy grail|massacre|redemption|video store,English,R,1991,1.85
100,970,Mekhi Phifer,39989008,Muse Watson,55398,2,bahamas|fisherman|hook|island|roommate,English,R,1998,2.35
115,597,Jim Belushi,32662299,Minnie Driver,16469,1,heart|italian restaurant|restaurant|transplant|waitress,English,PG,2000,1.85
101,92,Jeff Anderson,31452765,Gerry Bednob,149835,7,actor|friend|male frontal nudity|male full frontal nudity|penis,English,R,2008,1.85
110,265,Pruitt Taylor Vince,25167270,Morgan Freeman,30119,4,hospital|kansas city|obsession|salesman|soap opera,English,R,2000,2.35
94,939,Jeff Bridges,32416109,Kevin Spacey,109620,0,first person narration|general|hampster|reference to loch ness monster|reporter,English,R,2009,2.35
88,384,Eddie Griffin,20218,Daniel Roebuck,5431,2,cia|cia agent|fbi|mexico|train,English,PG-13,2001,2.35
127,898,Clea DuVall,28871190,Angelina Jolie Pitt,125421,0,1960s|father daughter incest|mental hospital|suicide|suicide attempt,English,R,1999,1.85
95,886,Gary Cole,16964743,Topher Grace,22844,1,best friend|contest|date|small town|west virginia,English,PG-13,2004,2.35
87,611,F. Murray Abraham,16290976,Josh Charles,14637,0,alien|breakfast|escape|rat|ufo,English,G,1999,1.85
118,227,Diana Ross,13000000,Lena Horne,10895,0,melancholy|new york city|sadness|teacher|wizard,English,G,1978,1.85
107,940,Ellen Albertini Dow,12372410,Oliver Platt,11709,1,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,English,PG-13,2000,1.85
