director_name,country
Richard Brooks,USA
Tony Krantz,USA
Mitchell Altieri,USA
W.D. Hogan,Canada
Corey Grant,USA
Tom Tykwer,Germany
Lucky McKee,USA
Richard Boddington,Canada
David Hunt,USA
Patricia Riggen,Mexico
J. Lee Thompson,USA
Todd Field,USA
Steven R. Monroe,USA
Mark Illsley,USA
Pawel Pawlikowski,UK
Ritesh Batra,India
Sally Potter,UK
Frank Capra,USA
Fred Zinnemann,USA
John Ford,USA
Brad J. Silverman,USA
Dave Meyers,USA
David M. Matthews,USA
Nadine Labaki,France
Lluís Quílez,USA
Eytan Fox,Israel
Francis Ford Coppola,USA
Romesh Sharma,India
François Truffaut,France
Adam Goldberg,USA
Travis Zariwny,USA
Zack Snyder,USA
Adrienne Shelly,USA
Newt Arnold,USA
Frank Capra,USA
Larry Clark,USA
Noah Baumbach,USA
Charles Herman-Wurmfeld,USA
Yimou Zhang,China
John Stockwell,USA
Alfred Hitchcock,USA
Atom Egoyan,Canada
Vincent Gallo,USA
James Wan,USA
Alex Cox,USA
Fabián Bielinsky,Argentina
Dror Moreh,Israel
Rebecca Miller,USA
Maggie Carey,USA
Roger Avary,France
Henry Bean,USA
David Gordon Green,USA
Simeon Rice,USA
Brad Anderson,USA
Jeff Garlin,USA
Qasim Basir,USA
Adam Green,USA
Charles Chaplin,USA
Pete Jones,USA
Bruce Campbell,USA
Mark Brown,USA
Adam Carolla,USA
Ira Sachs,USA
John Sayles,USA
Bruce McDonald,Canada
James Mottern,USA
Jaime Zevallos,USA
Rob Zombie,USA
Gerard Johnstone,New Zealand
Robert Greenwald,USA
David Ray,Canada
Dave Rodriguez,USA
Nae Caranfil,Romania
David Winning,Canada
Frank Lotito,USA
Timothy Woodward Jr.,USA
Christopher McQuarrie,USA
Tara Subkoff,USA
Russell Friedenberg,USA
William Cottrell,USA
Lucrecia Martel,Argentina
Edward Dmytryk,UK
Zak Penn,UK
Alex Ranarivelo,USA
Jon Knautz,Canada
Mathieu Amalric,France
David Worth,USA
Leslie H. Martinson,USA
Guy Ritchie,UK
Robert M. Young,USA
,USA
Thomas Vinterberg,Denmark
Steve Buscemi,USA
Ham Tran,USA
Rich Cowan,USA
Boris Rodriguez,Canada
Harold Becker,USA
,USA
Sadyk Sher-Niyaz,Kyrgyzstan
Paul Donovan,Canada
Jonathan Kesselman,USA
Arjun Sablok,India
Craig Moss,USA
Tyler Oliver,USA
Alfred Hitchcock,USA
Steve Miner,USA
Billy Wilder,USA
Douglas Cheek,USA
Youssef Delara,USA
Deryck Broom,USA
Henry Hathaway,USA
John Ford,USA
,USA
Spike Lee,USA
Steven Soderbergh,USA
James Wan,USA
Jay Chandrasekhar,USA
Giovanni Zelko,USA
Claudia Sainte-Luce,Mexico
Scott Derrickson,USA
Mira Nair,India
Kenneth Lonergan,USA
Alfred Hitchcock,USA
Paul McGuigan,Germany
Jamie Babbit,USA
David Boyd,USA
Quentin Tarantino,USA
Walter Lang,USA
Sergio Leone,Italy
Anna Muylaert,Brazil
Steve Taylor,USA
Kurt Voss,USA
Léa Pool,Canada
James David Pasternak,USA
Laurent Bouhnik,France
Tom Sanchez,USA
David Caffrey,USA
Adam Jay Epstein,USA
Michael Curtiz,USA
Justin Thomas Ostensen,Canada
Brenton Spencer,Canada
Rob Bowman,USA
Ossie Davis,USA
Jay Alaimo,USA
Dylan Bank,USA
Rob McKittrick,USA
Shane Meadows,UK
,Australia
Jeff Burr,USA
Harry Gantz,USA
Guy Maddin,Canada
Regardt van den Bergh,South Africa
Panos Cosmatos,Canada
Gareth Evans,Indonesia
Matthew R. Anderson,USA
Joe Marino,Italy
Michael Curtiz,USA
Joel Anderson,Australia
Shimit Amin,India
Douglas Trumbull,USA
John G. Avildsen,USA
Mona Fastvold,Norway
John Carpenter,USA
Tony Richardson,UK
Levan Gabriadze,USA
Martin Scorsese,USA
Joe Dante,USA
Terence Young,UK
Bradley Parker,USA
Clive Barker,UK
Harold Cronk,USA
Jeff Wadlow,USA
Takao Okawara,Japan
Derek Cianfrance,USA
Duncan Tucker,USA
William Brent Bell,USA
Russ Meyer,USA
Robert D. Webb,USA
Davis Guggenheim,USA
Allan Dwan,USA
Martin Scorsese,USA
Eli Roth,USA
Andrew Steggall,UK
Ben Lewin,USA
Robert Kenner,USA
Andrew Erwin,USA
Brad Anderson,USA
Jason Reitman,USA
Craig Johnson,USA
Sean Durkin,USA
Gillian Robespierre,USA
Courtney Hunt,USA
Morgan Neville,USA
James Toback,USA
Nicole Holofcener,UK
Peter Cattaneo,UK
Chris Paine,USA
Greg Berlanti,USA
Don Coscarelli,USA
Rob Letterman,USA
Marc Levin,USA
Richard Dutcher,USA
Khalid Mohamed,India
Mel Brooks,USA
Trey Parker,USA
David Gordon Green,USA
Finn Taylor,USA
Karen Moncrieff,USA
José Luis Valenzuela,USA
Gia Coppola,USA
Scandar Copti,Germany
Goran Dukic,USA
Mike Cahill,USA
Efram Potelle,USA
Peter Jackson,USA
Joshua Oppenheimer,UK
Alex Gibney,USA
Paul Crowder,UK
Rohit Jagessar,USA
Griffin Dunne,USA
Anthony Powell,New Zealand
Kief Davidson,Denmark
Johnny Remo,USA
Vivek Agnihotri,India
Ti West,USA
Nick Tomnay,USA
John Hamburg,USA
Nickolas Perry,USA
Dan Zukovic,USA
Craig Mazin,USA
Becky Smith,USA
Eric Nicholas,USA
Benjamin Dickinson,USA
Hal Haberman,USA
Darren Stein,USA
A. Raven Cruz,USA
Brian Trenchard-Smith,Germany
Frank Whaley,USA
Amat Escalante,Mexico
Wajahat Rauf,Pakistan
Katherine Brooks,USA
David Cross,USA
Randall Rubin,USA
Robert Bennett,USA
Guy Hamilton,UK
Mary Pat Kelly,USA
Lori Petty,USA
Charlie Levi,USA
Kevin Hamedani,USA
David DeCoteau,USA
Mikel Rueda,Spain
Stefan C. Schaefer,USA
Michael Taliferro,USA
David DeCoteau,USA
Katie Aselton,USA
Robert Heath,UK
D. Stevens,USA
Jeffrey St. Jules,Canada
Robert Hall,USA
K. King,USA
Jonathan Meyers,USA
Danny Boyle,UK
Ralph Nelson,USA
Blair Erickson,Germany
,USA
Allison Burnett,USA
Richard Schenkman,USA
Sanjay Rawal,USA
Elia Kazan,USA
Kat Coiro,USA
Cristian Mungiu,Romania
Brian Dorton,USA
David Slade,USA
Jamie Babbit,USA
Maryam Keshavarz,France
Ryan Coogler,USA
Ramaa Mosley,USA
James Algar,USA
Charles Herman-Wurmfeld,USA
Ric Roman Waugh,USA
C. Jay Cox,USA
Mariette Monpierre,France
Tommy Oliver,USA
Jamie Travis,USA
Lee Toland Krieger,USA
Rich Christiano,USA
Paul Andrew Williams,UK
Nick Love,USA
Natalie Bible',USA
Asghar Farhadi,Iran
Justin Molotnikov,UK
Todd Solondz,USA
Victor Nunez,USA
Peter Sollett,France
Georg Wilhelm Pabst,Germany
Daniel Davila,USA
Jorge Gaggero,Argentina
Rod Lurie,France
Michael Burke,USA
Catherine Jelski,USA
Shane Dawson,USA
Tommy Wirkola,Norway
Ryan Little,USA
Clark Baker,USA
George Lucas,USA
Robert Greenwald,USA
Matt Maiellaro,USA
Colin Trevorrow,USA
Leslie Small,USA
Ben Wheatley,UK
Ti West,USA
David S. Goyer,USA
Bernardo Bertolucci,Italy
Neil Burger,USA
Oliver Blackburn,UK
Jonathan Levine,USA
Christopher Hutson,USA
Fred Zinnemann,USA
Steve James,USA
David LaChapelle,USA
Joseph Kosinski,USA
Michael Cuesta,USA
Caryn Waechter,USA
Emily Dell,USA
Peter Jackson,New Zealand
Jaume Collet-Serra,Australia
Ryan Fleck,USA
Jennifer Wynne Farmer,USA
Christopher Scott Cherot,USA
H.M. Coakley,USA
Randy Moore,USA
Chris Atkins,UK
Bill Benenson,USA
Ryan Smith,USA
Travis Romero,USA
Anna Mastro,USA
Mark Sandrich,USA
Daniel Myrick,USA
Michael Wadleigh,USA
John Landis,USA
Jon Gunn,USA
Gene Teigland,USA
Scott Ziehl,USA
Richard Montoya,USA
Johanna Schwartz,UK
William Gazecki,USA
Lance McDaniel,USA
Thomas Lilti,France
Michael Walker,USA
Richard Lester,UK
U. Roberto Romano,USA
Amy Holden Jones,USA
Blaz Zavrsnik,Slovenia
Alex Kendrick,USA
Pan Nalin,India
Joe Camp,USA
Chris Kentis,USA
Matt Walsh,USA
John 'Bud' Cardos,USA
Marilyn Agrelo,USA
Tom McCarthy,USA
Brian Baugh,USA
Patrick Creadon,USA
Barry W. Blaustein,USA
Kurt Hale,USA
Siddiq Barmak,Afghanistan
Joseph Dorman,USA
Greg Harrison,USA
Kurt Hale,USA
Michael Polish,USA
Jacob Aaron Estes,USA
Morgan J. Freeman,USA
Eric Schaeffer,USA
Neema Barnette,USA
Steve Buscemi,USA
Joe Swanberg,USA
Molly Bernstein,USA
Akira Kurosawa,Japan
Marius A. Markevicius,USA
Tom DiCillo,Switzerland
Justin Lin,USA
Quentin Dupieux,France
Tim Johnson,USA
C. Jay Cox,USA
Alex Smith,USA
Gareth Edwards,UK
Jonathan Parker,USA
Sol Tryon,USA
Alex Craig Mann,USA
Hao Ning,China
Stephen Kijak,UK
Marc Forster,USA
Andrew Niccol,USA
Daston Kalili,USA
William Gazecki,USA
Ol Parker,UK
Michael Hoffman Jr.,USA
Patrick Gilles,USA
Georgia Hilton,USA
Tamra Davis,USA
Jack Heller,USA
Fernando Baez Mella,Dominican Republic
Warren Sheppard,USA
Darren Lynn Bousman,USA
Justin Paul Miller,USA
Joel Paul Reisig,USA
Catherine Gund,USA
Luke Dye,USA
Sam Raimi,USA
Michael Herz,USA
Matty Rich,USA
Paul Greengrass,UK
Alec Asten,USA
Hans Canosa,UK
Lloyd Kaufman,USA
Matthew Watts,USA
Lloyd Bacon,USA
Joe Kenemore,USA
Whit Stillman,USA
Kay Pollak,Sweden
Eric England,USA
Jared Hess,USA
Jeremy Saulnier,USA
Oren Peli,USA
Stacy Peralta,USA
Terry Gilliam,UK
Richard Glatzer,USA
Sue Corcoran,USA
,USA
Jonathan Caouette,USA
Ray Griggs,USA
Matt Jackson,USA
Lucio Fulci,Italy
,USA
Tom Vaughan,USA
Paul Fox,Canada
Stephen Frears,UK
Ari Kirschenbaum,USA
Cassandra Nicolaou,Canada
Ingmar Bergman,Sweden
D.W. Griffith,USA
Roger Nygard,USA
Harry Beaumont,USA
Sam Raimi,USA
Franck Khalfoun,France
Mor Loushy,Israel
Henry Alex Rubin,USA
Sam Firstenberg,USA
Doug Block,Germany
,USA
Chad Kapper,USA
John Carpenter,USA
Sidney Lumet,USA
Paul Fierlinger,USA
Frank Capra,USA
Yorgos Lanthimos,Greece
