director_name,director_facebook_likes,actor_2_name,gross,movie_title,actor_3_name,budget,actor_2_facebook_likes
Max Joseph,31,Emily Ratajkowski,3590010,We Are Your Friends ,Jonny Weston,2000000,625
Jim Jarmusch,0,Gano Grills,3300230,Ghost Dog: The Way of the Samurai ,Richard Portnow,,147
David Ayer,453,Christian Bale,3335839,Harsh Times ,Noel Gugliemi,2000000,23000
Jerry Jameson,5,Leonor Varela,2557668,Captive ,Sydelle Noel,2000000,426
Steven Soderbergh,0,Enrico Colantoni,2506446,Full Frontal ,Blair Underwood,2000000,724
Kevin Tenney,85,Tawny Kitaen,7369373,Witchboard ,Rose Marie,2000000,194
,,Amy Sedaris,,Strangers with Candy             ,Maria Thayer,,396
Kenneth Branagh,0,Brian Blessed,4414535,Hamlet ,Richard Briers,18000000,591
John Cameron Mitchell,263,Peter Stickles,1984378,Shortbus ,Raphael Barker,2000000,51
Ari Folman,56,Ronny Dayag,2283276,Waltz with Bashir ,Zahava Solomon,1500000,0
Gary Rogers,0,Kirby Heyborne,1098224,The Book of Mormon Movie, Volume 1: The Journey ,Bruce Newbold,2000000,69
Charles Ferguson,117,Dick Cheney,1430185,No End in Sight ,Donald Rumsfeld,2000000,21
Marielle Heller,22,David Fine,1477002,The Diary of a Teenage Girl ,Austin Lyon,2000000,1000
,,Jon Tenney,,Get Real             ,Debrah Farentino,,289
David Sington,90,Buzz Aldrin,1134049,In the Shadow of the Moon ,Neil Armstrong,2000000,142
Kelly Reichardt,129,Zoe Kazan,977600,Meek's Cutoff ,Shirley Henderson,,962
Fenton Bailey,13,Bill Maher,653621,Inside Deep Throat ,Linda Lovelace,2000000,334
Bob Giraldi,34,Manny Perez,110000,Dinner Rush ,Ajay Naidu,,159
Jill Sprecher,11,Bob Balaban,444354,Clockwatchers ,Jamie Kennedy,,559
Huck Botko,10,Krysta Rodriguez,535249,The Virginity Hit ,Zack Pearlman,3400000,131
Luc Besson,0,Isabelle Adjani,,Subway ,Jean-Hugues Anglade,17000000,572
David Duchovny,0,Mark Margolis,371081,House of D ,Frank Langella,6000000,1000
Mitchell Lichtenstein,53,Nathan Parsons,347578,Teeth ,John Hensley,,357
Lance Mungia,4,Stephane Gauger,124494,Six-String Samurai ,Kim De Angelo,2000000,3
Kundan Shah,4,Bobby Deol,,Hum To Mohabbat Karega ,Shakti Kapoor,,89
Michael Dowse,31,Neil Maskell,120620,It's All Gone Pete Tong ,Kate Magowan,,246
Hue Rhodes,0,Steve Buscemi,100669,Saint John of Las Vegas ,Romany Malco,3800000,12000
Shane Meadows,222,Annette Badland,,24 7: Twenty Four Seven ,Karl Collins,,497
Roland Emmerich,776,Caleb Landry Jones,186354,Stonewall ,Matt Craven,13500000,463
,,Colin Ferguson,,Eureka             ,Salli Richardson-Whitfield,,747
Jugal Hansraj,32,Sanjay Mishra,55202,Roadside Romeo ,Javed Jaffrey,,85
Danny Provenzano,84,Frank Vincent,,This Thing of Ours ,Chuck Zito,,356
Bill Muir,19,Jansen Panettiere,549632,The Lost Medallion: The Adventures of Billy Stone ,Tiya Sircar,,488
Richard LaGravenese,98,Jeremy Jordan,137945,The Last Five Years ,Charly Bivona,,773
Noah Buschel,8,Amy Ryan,17580,The Missing Person ,Paul Adelstein,1500000,423
Brian Yuzna,97,Kent McCord,,Return of the Living Dead III ,Sarah Douglas,2000000,196
Hunter Richards,11,Chris Evans,12667,London ,Dane Cook,14000,11000
Laurie Collyer,38,Kate Burton,198407,Sherrybaby ,Michelle Hurst,2000000,223
Bruce McCulloch,54,Megan Mullally,13973532,Stealing Harvard ,Chris Penn,25000000,637
Aaron Hann,0,Michael McLafferty,,Circle ,Kaiwi Lyman-Mersereau,,152
James Watkins,43,Jack O'Connell,5824,Eden Lake ,Lorraine Stanley,,698
Catherine Hardwicke,308,James Kyson,2843,Plush ,Marlene Forte,,449
Phil Claydon,6,James Corden,,Vampire Killers ,Silvia Colloca,,480
Ralph Ziman,5,Kenneth Nkosi,4958,Gangster's Paradise: Jerusalema ,Robert Hobbs,2000000,18
John Simpson,0,Lee Evans,,Freeze Frame ,Ian McNeice,2000000,312
Colin Minihan,6,Sean Rogerson,,Grave Encounters ,Ashleigh Gryzko,100000,113
Conor McMahon,5,Tommy Knight,,Stitches ,Jemma Curran,,94
Chris Shadley,0,William Lee Scott,,Nine Dead ,Marc Macaulay,2000000,167
Simon Napier-Bell,0,Tim Rice,,To Be Frank, Sinatra at 100 ,Louis Walsh,2000000,27
Woody Allen,11000,Charlotte Rae,,Bananas ,Louise Lasser,2000000,430
Simon Yin,0,Linus Roache,13220,Supercapitalist ,Kathy Uyen,,303
Jeff Crook,5,Mario Cimarro,,Rockaway ,Ricardo Chavira,2000000,453
,,Tim Daly,,Wings             ,Amy Yasbeck,,511
Orson Welles,0,Everett Sloane,7927,The Lady from Shanghai ,Ted de Corsia,2300000,29
Dave Payne,0,Lew Temple,,No Man's Land: The Rise of Reeker ,Robert Pine,2000000,597
James Cox,10,M.C. Gainey,,Highway ,Mark Rolston,14000000,284
Jonas Åkerlund,68,Saffron Burrows,,Small Apartments ,Matt Lucas,2000000,811
Brad Copeland,8,Ben Schwartz,,Coffee Town ,Glenn Howerton,2000000,463
Paul Bunnell,5,Kevin McCarthy,2436,The Ghastly Love of Johnny X ,Paul Williams,2000000,403
Phil Morrison,17,Curtiss Cook,4556,All Is Bright ,Peter Hermann,,591
Harald Reinl,2,Lex Barker,,The Torture Chamber of Dr. Sadism ,Karin Dor,,57
James Cox,10,Powers Boothe,,Straight A's ,Josh Meyers,2000000,472
Richard Lester,44,Zero Mostel,,A Funny Thing Happened on the Way to the Forum ,Phil Silvers,2000000,164
Michael Moore,909,Eddie Vedder,,Slacker Uprising ,Steve Earle,2000000,562
Tanner Beard,531,Kevin Alejandro,,The Legend of Hell's Gate: An American Conspiracy ,Glenn Morshower,2000000,1000
Scott Dow,6,Wray Crawford,,The Walking Deceased ,Dave Sheridan,1250000,418
Derick Martini,20000,Bella Heathcote,,The Curse of Downers Grove ,Tom Arnold,2000000,860
Jerry Dugan,3,Michael Aaron Milligan,,Shark Lake ,James Chalke,2000000,1000
Tim Hunter,28,Daniel Roebuck,4600000,River's Edge ,Ione Skye,1900000,1000
Michael Polish,35,Anthony Edwards,1420578,Northfork ,Jon Gries,1900000,495
William Kaufman,58,Mike 'The Miz' Mizanin,,The Marine 4: Moving Target ,David Lewis,1950000,217
Rodrigo Cortés,89,Samantha Mathis,1028658,Buried ,Erik Palladino,3000000,517
Richard Ayoade,0,Paddy Considine,466702,Submarine ,Sally Hawkins,,680
Jehane Noujaim,63,Ahmed Hassan,,The Square ,Aida Elkashef,1500000,10
Pascal Arnold,0,Lizzie Brocheré,18435,One to Another ,Pierre Perrier,1400000,323
Kimberly Peirce,108,Judy Greer,35266619,Carrie ,Portia Doubleday,30000000,2000
Remo,168,Remo,95236,ABCD (Any Body Can Dance) ,Prabhudheva,,168
Wes Craven,0,Lin Shaye,26505000,A Nightmare on Elm Street ,Amanda Wyss,1800000,852
James Marsh,120,Philippe Petit,2957978,Man on Wire ,Jean-Louis Blondeau,1000000,27
John Laing,0,Peter Feeney,,Abandoned ,Rachel Nash,,40
Jamal Hill,47,Adam Ratcliffe,444044,Brotherly Love ,Faizon Love,1900000,606
Daniel Stamm,13,Ashley Bell,40990055,The Last Exorcism ,Patrick Fabian,1800000,400
Sam Taylor-Johnson,456,Ophelia Lovibond,1445366,Nowhere Boy ,Anne-Marie Duff,,548
Elia Kazan,603,Karl Malden,,A Streetcar Named Desire ,Kim Hunter,1800000,416
Stanley Kubrick,0,Slim Pickens,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,Keenan Wynn,1800000,575
Carlos Carrera,12,Ana Claudia Talancón,5709616,El crimen del padre Amaro ,Pedro Armendáriz Jr.,1800000,163
