director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
Stephen Hillenburg,47,217,Bill Fagerbakke,85416609,Adventure|Animation|Comedy|Family|Fantasy,Scarlett Johansson,58906,Rodger Bumpass,based on tv series|crown|dream|king neptune|plankton,http://www.imdb.com/title/tt0345950/?ref_=fn_tt_tt_1,English,PG,30000000,2004,542,0
Clint Eastwood,16000,262,Spencer Treat Clark,90135191,Crime|Drama|Mystery|Thriller,John Doman,338415,Tom Guiry,ballistics|detective|friend|gun|sexual abuse,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,English,R,25000000,2003,541,12000
Clint Eastwood,16000,567,Morgan Freeman,100422786,Drama|Sport,Clint Eastwood,482064,Mike Colter,boxing|boxing trainer|death|suicide attempt|women boxing,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,English,PG-13,30000000,2004,11000,14000
Harold Ramis,11000,636,Chazz Palminteri,106694016,Comedy|Crime,Robert De Niro,123940,Molly Shannon,analyst|mafia|patient|psychiatrist|wedding,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,English,R,30000000,1999,979,0
Nick Cassavetes,415,545,Kevin Connolly,64286,Drama|Romance,Ryan Gosling,396396,Gena Rowlands,class differences|letter|nursing home|second chance|summer love,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,English,PG-13,29000000,2004,638,57000
Anne Fletcher,98,71,Bern Cohen,76806312,Comedy|Romance,Judy Greer,124501,Yetta Gottesman,boss|bridesmaid|friend|love|wedding,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,English,PG-13,30000000,2008,805,0
Peter Chelsom,23,635,Vanessa Williams,79566871,Comedy|Drama|Family|Music|Romance,Emily Osment,31760,Moises Arias,farm|female protagonist|hannah montana|horseback riding|overalls,http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1,English,G,30000000,2009,1000,0
Stig Bergqvist,0,786,Casey Kasem,76501438,Adventure|Animation|Comedy|Family|Romance,Elizabeth Daily,8146,Debbie Reynolds,amusement park|baby|france|paris france|villain,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,English,G,30000000,2000,844,181
Barbra Streisand,0,252,Blythe Danner,74787599,Drama|Romance,George Carlin,12549,Melinda Dillon,new york|psychiatrist|shrimper|south carolina|twins,http://www.imdb.com/title/tt0102713/?ref_=fn_tt_tt_1,English,R,30000000,1991,713,883
Edward Zwick,380,918,Brad Pitt,66528842,Drama|Romance|War|Western,Anthony Hopkins,112175,Julia Ormond,epic|heart|killing an animal|passion|usa,http://www.imdb.com/title/tt0110322/?ref_=fn_tt_tt_1,English,R,30000000,1994,11000,11000
Jason Reitman,655,940,Anna Kendrick,83813460,Drama|Romance,J.K. Simmons,270238,Chris Lowell,airport|business trip|downsizing|on the road|travel,http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1,English,R,25000000,2009,10000,19000
Alexander Payne,729,322,June Squibb,65010106,Comedy|Drama,Hope Davis,107557,Howard Hesseman,highway travel|on the road|retirement|road movie|wedding,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1,English,R,30000000,2002,344,0
Jonathan Levine,129,7,Vincent Leclerc,66359959,Comedy|Horror|Romance,Cory Hardrict,184641,Daniel Rindress-Kay,fight|memory|teenager|undead|zombie,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,English,PG-13,35000000,2013,18,81000
Rian Johnson,0,502,Bruce Willis,66468315,Action|Crime|Drama|Sci-Fi|Thriller,Joseph Gordon-Levitt,428916,Tracie Thoms,chase|future|surprise ending|time loop|time travel,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1,English,R,30000000,2012,13000,75000
Chris Weitz,129,560,Mark Addy,64172251,Comedy|Fantasy,Chazz Palminteri,19079,Wanda Sykes,angel|butler|heaven|manhattan new york city|reincarnation,http://www.imdb.com/title/tt0231775/?ref_=fn_tt_tt_1,English,PG-13,30000000,2001,891,602
Chris Noonan,108,204,Christine Cavanaugh,66600000,Comedy|Drama|Family,Miriam Margolyes,94435,Roscoe Lee Browne,dog|farmer|pig|sheep|sheepdog,http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1,English,G,30000000,1995,368,5000
David Frankel,64,329,Steve Carell,63536011,Comedy|Drama|Romance,Meryl Streep,34258,Jean Smart,couple|intimacy|marriage|marriage counseling|middle age couple,http://www.imdb.com/title/tt1535438/?ref_=fn_tt_tt_1,English,PG-13,30000000,2012,7000,0
Nicholas Stoller,89,344,Jack McBrayer,62877175,Comedy|Drama|Romance,Mila Kunis,217507,Maria Thayer,breakup|hawaii|hotel|male full frontal nudity|resort,http://www.imdb.com/title/tt0800039/?ref_=fn_tt_tt_1,English,R,30000000,2008,975,0
,,690,Aimee Teegarden,,Drama|Sport,Zach Gilford,42746,Scott Porter,football|football coach|high school|small town|texas,http://www.imdb.com/title/tt0758745/?ref_=fn_tt_tt_1,English,TV-14,,,741,0
John Singleton,309,482,Tony Nappo,74484168,Action|Crime|Drama|Mystery|Thriller,Josh Charles,109894,Fionnula Flanagan,bare butt|corrupt police|four brothers|funeral|murder,http://www.imdb.com/title/tt0430105/?ref_=fn_tt_tt_1,English,R,45000000,2005,654,0
Michael McCullers,5,966,Amy Poehler,60269340,Comedy|Romance,Tina Fey,34079,Romany Malco,baby|book|cartoon on tv|female protagonist|male anorexia,http://www.imdb.com/title/tt0871426/?ref_=fn_tt_tt_1,English,PG-13,30000000,2008,1000,0
Forest Whitaker,0,545,Harry Connick Jr.,60033780,Drama|Romance,Bill Cobbs,18973,Gena Rowlands,best friend|friend|mother daughter relationship|small town|texas,http://www.imdb.com/title/tt0119313/?ref_=fn_tt_tt_1,English,PG-13,30000000,1998,631,0
Gary Winick,56,545,Steve Howey,58715510,Comedy|Romance,Anne Hathaway,79094,Candice Bergen,best friend|dyed hair|fake tan|rivalry|wedding,http://www.imdb.com/title/tt0901476/?ref_=fn_tt_tt_1,English,PG,30000000,2009,826,0
Steven Brill,65,246,Scott Adsit,58156435,Adventure|Comedy|Mystery,Antony Starr,37479,Bonnie Somerville,death|friend|hijacker|river|tree house,http://www.imdb.com/title/tt0364751/?ref_=fn_tt_tt_1,English,PG-13,19000000,2004,316,0
Gary Winick,56,533,Judy Greer,56044241,Comedy|Fantasy|Romance,Jennifer Garner,122187,Christa B. Allen,13 year old|13th birthday|30 year old|wish|year 1987,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,English,PG-13,37000000,2004,2000,0
Woody Allen,11000,183,Audrey Fleurot,56816662,Comedy|Fantasy|Romance,Kurt Fuller,301149,Nina Arianda,1920s|golden age|midnight|paris france|time travel romance,http://www.imdb.com/title/tt1605783/?ref_=fn_tt_tt_1,English,PG-13,17000000,2011,204,78000
Peter Lepeniotis,7,691,Brendan Fraser,64238770,Adventure|Animation|Comedy|Family,Liam Neeson,19547,Sarah Gadon,bank robbery|heist|raccoon|rat|squirrel,http://www.imdb.com/title/tt1821658/?ref_=fn_tt_tt_1,English,PG,42000000,2014,3000,0
Ted Demme,47,877,Ethan Suplee,52937130,Biography|Crime|Drama,Johnny Depp,198066,Jordi Mollà,1960s|1970s|california|cocaine|wealth,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,English,R,30000000,2001,1000,13000
Luis Mandoki,43,362,John Savage,52799004,Drama|Romance,Robin Wright,28942,Raphael Sbarge,beach|bottle|jogging|letter|love,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,English,PG-13,55000000,1999,652,0
