director_facebook_likes,num_user_for_reviews
12000,690
48,83
480,308
32,162
0,597
234,181
28,176
105,227
610,347
50,54
18,106
,41
11,207
14,126
0,289
737,256
24,323
0,656
845,338
7,122
165,257
97,471
11,156
38,569
181,264
11000,203
16000,259
162,235
209,184
80,73
69,213
2,72
53,842
0,322
39,150
258,256
0,165
11000,138
50,248
17,127
456,143
0,267
488,822
25,74
93,213
124,233
0,91
545,857
0,1722
293,243
0,644
23,247
37,281
394,282
167,126
91,457
48,109
179,411
2000,195
34,110
436,290
192,188
892,368
258,156
3,9
131,183
84,1058
65,88
16000,916
11,154
,94
70,263
32,85
10,171
0,120
153,143
30,121
189,281
545,410
143,273
,238
138,431
51,198
357,139
420,147
83,331
108,220
,54
163,225
10,221
0,1398
25,146
116,507
12,216
503,497
293,99
72,372
39,103
58,332
521,527
189,207
52,92
845,436
61,242
12000,194
125,611
124,600
272,95
52,322
16000,2105
0,358
,181
16000,935
96,149
0,173
9,293
53,144
70,108
50,279
39,73
21000,776
317,194
287,572
81,155
17,174
82,207
607,321
226,232
101,154
3,119
91,101
16000,387
99,95
12000,89
541,2047
159,216
45,532
33,497
0,84
11,39
33,110
906,229
59,222
0,239
0,207
13,142
0,559
125,599
394,131
0,545
488,495
94,195
44,269
102,418
234,178
309,301
383,191
1000,2319
17,190
108,289
16000,415
473,429
0,532
438,207
161,63
14000,667
0,640
235,483
58,611
0,211
422,612
0,1448
71,149
869,549
17000,533
180,211
13,180
101,481
176,155
14,110
129,919
80,945
53,407
58,322
488,318
3000,623
274,470
293,375
285,346
65,309
14000,849
0,498
80,357
97,322
277,406
235,243
43,110
0,252
51,130
252,779
0,646
241,394
155,147
488,199
295,791
9,242
62,560
43,292
12,232
148,209
152,312
249,130
174,384
99,110
160,2042
71,192
,9
5,118
23,168
39,248
75,304
213,533
154,329
79,625
0,219
34,102
12,306
16000,142
0,142
21000,506
50,1740
41,261
22,181
473,279
77,210
644,114
287,148
71,275
75,156
38,672
17,259
73,157
0,140
0,177
0,548
0,106
160,194
0,226
,33
31,118
9,65
16000,323
58,302
503,84
73,392
0,150
487,347
323,286
16000,260
670,190
0,227
,22
663,514
0,632
378,47
317,420
65,94
174,205
0,398
134,208
0,390
234,274
260,137
333,73
32,78
596,90
218,127
,149
12000,374
607,70
83,245
98,258
0,341
0,150
5,93
0,91
71,211
43,179
70,294
,148
212,113
628,209
0,867
14000,477
456,226
662,627
176,397
21000,850
42,32
737,560
79,185
109,497
34,537
446,316
11000,254
0,84
446,560
118,323
0,307
0,345
375,55
631,164
323,419
545,210
270,376
0,236
0,71
350,97
29,169
148,343
22000,651
906,286
39,176
380,107
293,243
65,29
92,16
32,85
118,461
119,347
80,370
40,212
0,152
79,89
541,94
0,310
176,137
126,228
777,620
845,633
23,609
322,548
33,252
45,582
49,209
50,350
49,271
18,379
628,1004
487,317
117,541
49,116
41,73
5,61
58,118
37,1053
38,91
85,348
153,184
61,116
161,69
0,47
0,269
160,355
29,285
8,70
0,569
278,524
0,414
503,305
326,214
29,80
11000,81
13,55
0,531
38,409
38,588
23,148
0,183
0,161
2000,349
208,273
0,182
611,229
15,154
188,186
179,115
,47
170,41
32,142
11,66
0,695
99,270
72,135
272,259
170,217
13,62
3,147
517,189
235,502
118,91
835,297
84,194
255,303
16,403
521,142
23,75
165,181
97,345
50,602
91,358
29,268
71,41
176,380
311,192
153,112
73,175
0,71
89,460
119,396
46,317
308,283
17,265
5,290
487,437
611,841
30,169
133,835
19,102
,18
0,71
161,564
326,5
241,658
4,132
0,2073
20,153
64,125
80,235
737,751
98,273
78,336
0,327
0,918
456,1360
0,188
541,236
189,288
532,420
545,166
0,279
21000,696
42,203
119,410
0,734
0,263
164,144
0,654
0,277
241,200
333,696
101,285
155,263
278,304
167,58
0,382
138,433
436,1732
38,422
29,215
101,426
0,442
14,82
563,344
11000,351
23,185
415,189
160,290
14000,355
212,411
89,197
23,211
287,139
20,209
58,544
65,203
174,332
22000,1100
51,187
7,44
0,1043
46,271
190,619
425,34
192,531
18,548
34,371
54,110
10,101
16000,190
0,141
326,376
14000,227
323,56
25,998
80,39
643,180
30,291
99,334
98,103
0,518
541,587
0,209
52,158
0,130
77,227
6,117
75,660
101,208
,43
65,101
3000,416
85,146
335,341
50,156
260,284
18,167
0,754
55,188
39,105
287,164
0,291
56,252
7,274
81,178
17000,223
545,61
118,203
7,67
105,166
34,106
