director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
0,130,Action|Biography|Drama|History|Romance|War,Brian Blessed,23441,1341,1,battle|battle of agincourt|king|shakespeare play|sword and shield,108,PG-13,9000000,1989,7.7,1.85,0
84,338,Comedy|Drama,Philip Seymour Hoffman,32188,23770,0,arizona|dementia|married man|sun city arizona|writing,127,R,,2007,7.2,1.85,0
17,571,Comedy|Romance,Carlos Ponce,3419,2851,3,beauty pageant|bilingual|dating|latino|three women,41,PG,,2003,4.8,1.85,419
188,35,Action|Crime|Drama|Thriller,Kristin Lehman,27536,358,4,criminal|drifter|gangster|money|surrogate mother,327,R,8500000,2000,6.7,1.85,1000
23,471,Comedy|Drama,Kieran Culkin,29058,2478,1,boy|mistress|money|schizophrenic|school,238,R,9000000,2002,7.0,2.35,838
157,219,Comedy,Jon Favreau,10476,4908,3,college|high school senior|meat|protest|university,52,PG-13,8000000,1994,6.5,1.85,0
6,633,Drama|Family|Romance,Bill Cobbs,14100,3824,2,billionaire|grandfather|playboy|trust fund baby|wealth,81,PG,,2006,7.4,1.85,0
,140,Drama|Romance,Ronn Moss,5478,639,0,beverly hills california|family relationships|los angeles california|soap opera,54,TV-14,,,3.5,1.78,748
12,297,Action|Adventure|Comedy|Romance|Sci-Fi,Anjelica Huston,7767,1991,4,bar fight|cult film|ice|psychotronic|sword fight,56,PG,9000000,1984,5.7,1.85,0
49,261,Biography|Drama|Sport,Emma Bell,3624,2007,1,boy|girl|soccer|south orange new jersey|teenager,27,PG-13,9000000,2007,6.2,2.35,313
38,316,Comedy|Drama|Romance,Billy Crudup,7833,1721,3,actress|lesbianism|manhattan new york city|urination|watching pornography,63,R,9000000,2005,5.7,2.35,215
26,611,Comedy|Music,Steve Coogan,15200,3767,1,gang banger|sequel|shakespeare's hamlet|student|time machine,76,R,9000000,2008,6.4,1.85,1000
162,277,Drama|Music,Christian Bale,27766,24102,3,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,314,R,,1998,7.0,1.85,0
43,0,Fantasy|Horror|Mystery|Thriller,Jung-min Hwang,2379,50,0,policeman|stranger|supernatural|village|vomiting,24,Not Rated,,2016,7.7,2.35,0
64,748,Documentary|Music,Lea Michele,5156,4617,0,concert|live in concert recording|live performance,21,PG,9000000,2011,5.4,1.85,0
6,6,Action|Adventure|Drama|History|War,Sarunyu Wongkrachang,1666,32,3,16th century|burmese|invasion|queen|thailand,47,R,400000000,2001,6.6,1.85,124
930,433,Horror,John Amos,4302,2942,1,black cat|cat|evil|photographer|undead,45,R,9000000,1990,6.1,1.85,375
0,5,Comedy,Lambert Wilson,1673,253,1,,1,,,2014,6.1,2.35,348
608,25,Drama,Lesley Manville,8161,251,0,love|neighbor|single parent|supermarket|working class,94,R,9000000,2002,7.6,1.85,484
3,204,Drama,Q'orianka Kilcher,1201,1426,3,hawaii|hawaiian|historically inaccurate|princess|tearing up a letter,14,PG,9000000,2009,6.2,2.35,0
11,18,Drama|Family,Jacqueline McKenzie,813,299,0,friend|girl|imaginary friend|outback|town,6,PG,11400000,2006,6.6,1.85,135
8,558,Action|Crime|Thriller,Robert De Niro,16198,24154,1,bus|die hard scenario,57,R,19000000,2015,6.1,2.35,0
28,104,Drama|History|Thriller|War,Lars Mikkelsen,14247,1098,1,danish|double agent|nazi|nazi occupation|resistance,44,Not Rated,45000000,2008,7.3,2.35,0
0,230,Comedy|Music|Romance,Fisher Stevens,2599,1835,4,bare chested male|box office flop|diner|german shepherd|one word title,45,PG-13,9000000,2005,4.2,2.35,128
11,35,Crime|Drama|Mystery|Thriller,Andrew Garfield,9305,10369,0,ejected from a moving vehicle|gun held to head|handcuffs|shot multiple times|strangulation,44,Not Rated,,2009,7.1,1.85,0
25,98,Drama,Catherine Deneuve,1219,1375,1,bar mitzvah|lawyer|train|wealth|wrestler,14,Unrated,,2009,6.0,2.35,120
6,664,Drama|Romance,Sarah Michelle Gellar,10100,6426,1,boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex,42,R,9000000,2009,6.5,2.35,3000
4,93,Adventure|Comedy,Paul Hogan,74743,822,1,australian outback|crocodile|female reporter|journalist|new york city,93,PG-13,8800000,1986,6.5,2.35,0
