director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,budget
Craig Bolotin,7,730,Vanessa Williams,5871603,Drama|Thriller,Rosario Dawson,Light It Up ,6485,3,black cop|die hard scenario|hostage negotiator|police|police brutality,39,13000000
Mark Christopher,15,812,Ellen Albertini Dow,16574731,Drama|Music,Salma Hayek,54 ,6910,4,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,181,13000000
Blair Hayes,2,690,Geoffrey Arend,5002310,Adventure|Comedy|Romance|Sci-Fi,Jake Gyllenhaal,Bubble Boy ,18864,0,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,181,13000000
Jez Butterworth,16,258,Mathieu Kassovitz,4919896,Comedy|Crime|Thriller,Mark Gatiss,Birthday Girl ,1775,1,bank|bank clerk|birthday|mail order bride|russian,159,13000000
Jon Lucas,24,499,Josie Loren,25675765,Comedy,Justin Chon,21 & Over ,2730,0,21st birthday|college student|drunken man|pubic hair|standing up to father,84,13000000
Olivier Assayas,107,280,Miranda Richardson,4857376,Comedy|Drama|Romance,Steve Buscemi,"Paris, je t'aime ",13208,0,baby|divorce|oscar wilde|pigalle|tourist,123,13000000
Rod Lurie,37,548,Kathryn Morris,3169424,Drama|Sport,Harry Lennix,Resurrecting the Champ ,2417,1,boxing|colosseum|homeless man|reporter|writer,59,13000000
Paul Weitz,80,252,Sarita Choudhury,18004225,Comedy|Drama|Romance,Tina Fey,Admission ,3004,2,adoption|female protagonist|princeton university|wedding|working women,87,13000000
Patrice Leconte,83,8,Daniel Auteuil,3058380,Drama|Romance,Emir Kusturica,The Widow of Saint-Pierre ,2389,1,archipelago|guillotine|island|prison|redemption,69,100000000
Atom Egoyan,460,73,Meghan Heffern,3074838,Drama|Mystery|Romance|Thriller,Liam Neeson,Chloe ,14372,2,bare chested boy|doctor|escort|infidelity|prostitute,166,11000000
Paul Mazursky,150,150,Ryan O'Neal,2104000,Comedy|Crime|Drama,Chazz Palminteri,Faithful ,1679,3,bathroom|bathtub|female protagonist|flashback|kitchen,19,13000000
Jim Sheridan,260,1000,Jake Gyllenhaal,28501651,Drama|Thriller,Natalie Portman,Brothers ,39473,0,afghanistan|death of soldier|presumed dead|prisoner|war trauma,201,26000000
Sidney Lumet,0,968,Vin Diesel,1172769,Biography|Comedy|Crime|Drama,Peter Dinklage,Find Me Guilty ,37606,2,court|drugs|judge|mafia|mobster,108,13000000
Stephen Chbosky,139,850,Ezra Miller,17738570,Drama|Romance,Logan Lerman,The Perks of Being a Wallflower ,13631,2,coming of age|depression|gay|high school|mental illness,457,13000000
Jon Hess,29,147,Ian Gomez,1200000,Action,Burt Young,Excessive Force ,1139,1,exercise bicycle|face in food|police|police brutality|policeman,23,3000000
Douglas McGrath,41,442,Isabella Rossellini,1150403,Biography|Crime|Drama,Toby Jones,Infamous ,3474,4,blood|book|cold calculation|murder|writer,102,13000000
Michael Winterbottom,187,887,Sarah Polley,403932,Drama|Romance|Western,Milla Jovovich,The Claim ,17104,4,gold|gold mine|miner|railroad|surveyor,92,20000000
Mark Neveldine,83,794,Alison Lohman,1712111,Horror|Thriller,Djimon Hounsou,The Vatican Tapes ,7875,0,evil|injury|possession|priest|vatican,53,8495000
Joe Cornish,115,304,Luke Treadaway,1024175,Action|Comedy|Sci-Fi|Thriller,John Boyega,Attack the Block ,2011,6,alien|alien invasion|apartment|creature|gang,297,13000000
Angelina Jolie Pitt,11000,116,Nikola Djuricko,301305,Drama|Romance|War,Jelena Jovanova,In the Land of Blood and Honey ,796,0,bosnian war|church|emaciation|soldier|violence,180,13000000
Brad Anderson,122,383,Tara Platt,51872378,Crime|Thriller,Michael Imperioli,The Call ,2812,0,911 operator|calling 911|die hard scenario|head held underwater|white villain,266,13000000
John H. Lee,32,29,Dean Dawson,31662,Action|Drama|History|War,Liam Neeson,Operation Chromite ,14133,1,,1,12620000
John Stainton,0,234,Aden Young,28399192,Action|Adventure|Comedy|Family,Steve Irwin,The Crocodile Hunter: Collision Course ,1483,0,cia|crocodile|satellite|snake|spider,106,13000000
Glenn Ficarra,43,113,Louis Herthum,2035566,Biography|Comedy|Crime|Drama|Romance,Dameon Clarke,I Love You Phillip Morris ,931,0,character name in title|con artist|fraud|gay|prison break,162,13000000
Jean-Jacques Annaud,218,91,Everett McGill,,Adventure|Drama|History,Rae Dawn Chong,Quest for Fire ,931,0,fire|prehistoric times|primitive|tribe|trio,96,12500000
Denzel Washington,18000,543,Kevin Connolly,21078145,Biography|Drama,Denzel Washington,Antwone Fisher ,20456,0,black american|extortion|navy|psychiatrist|sailor,159,12500000
Michael Hoffman,97,355,Embeth Davidtz,14060950,Drama,Gabriel Millman,The Emperor's Club ,14347,1,classroom|fund raising|headmaster|reunion|roman,139,12500000
Tony Scott,12000,975,Gary Oldman,12281500,Action|Crime|Drama|Romance|Thriller,Brad Pitt,True Romance ,23602,3,aspiring actor|cocaine|drugs|pimp|suitcase full of money,460,13000000
Benedek Fliegauf,28,1000,Matt Smith,,Drama|Romance|Sci-Fi,Eva Green,Womb ,9244,1,clone|love|male nudity|medical ethics|virginity,35,3660000
James Foley,164,99,Al Pacino,10725228,Crime|Drama|Mystery,Kevin Spacey,Glengarry Glen Ross ,32288,1,office|pressure|real estate|robbery|sales,365,12500000
Michael Winterbottom,187,204,Ned Beatty,214966,Crime|Drama|Thriller,Liam Aiken,The Killer Inside Me ,1813,0,deputy|murder|revenge|sheriff|texas,176,13000000
Paul Schrader,261,697,Ruby Dee,,Fantasy|Horror|Thriller,Ed Begley Jr.,Cat People ,3700,1,cat|cat people|leopard|love|slip the undergarment,106,18000000
Stewart Hendler,10,472,Margo Harshman,11956207,Horror|Mystery,Julian Morris,Sorority Row ,3142,2,prank gone wrong|scantily clad female|shotgun|sorority house|stabbed in the neck,126,16000000
John Cromwell,19,135,Mary Astor,,Adventure|Drama|Romance,David Niven,The Prisoner of Zenda ,1166,2,coronation|fictitious country|king|princess|swashbuckler,44,
Craig Gillespie,44,552,Kelli Garner,5949693,Comedy|Drama|Romance,Ryan Gosling,Lars and the Real Girl ,34351,1,in love with an inanimate object|internet|introvert|psychologist|sex doll,299,12000000
Mark Herman,39,18,Sheila Hancock,9030581,Drama|War,Richard Johnson,The Boy in the Striped Pajamas ,156,0,boy|fence|jew|nazis|poison gas,398,12500000
Lars von Trier,3000,322,Udo Kier,4157491,Crime|Drama|Musical,Catherine Deneuve,Dancer in the Dark ,2894,0,ends with quotation|execution|factory|women's prison|year 1964,690,12800000
Gillian Armstrong,44,241,Richard Roxburgh,1508689,Drama|Romance,Tom Wilkinson,Oscar and Lucinda ,2004,2,australia|church|glass|inheritance|wager,50,16000000
Abel Ferrara,220,599,Vincent Gallo,1227324,Crime|Drama,Isabella Rossellini,The Funeral ,3337,3,1930s|madness|murder|new york city|violence,48,12500000
Brian Koppelman,34,506,David Costabile,4360548,Comedy|Drama|Romance,Jenna Fischer,Solitary Man ,2661,7,aging|hdtv|high definition television|love|marriage,60,15000000
Ethan Maniquis,20,844,Don Johnson,26589953,Action|Crime|Thriller,Robert De Niro,Machete ,26233,1,machete|mexican|mexico|priest|texas,392,10500000
George Hickenlooper,60,168,Eric Schweig,1039869,Biography|Comedy|Crime|Drama,Kevin Spacey,Casino Jack ,18739,5,corruption|lobbyist|murder|washington d.c.|washington d.c. lobbyist,51,15000000
