director_name,num_critic_for_reviews,actor_3_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,imdb_score,aspect_ratio
Georgia Hilton,1,152,Action|Mystery|Thriller,Mike Beckingham,Subconscious ,1038,0,military|submarine|suspense|time travel|world war two,http://www.imdb.com/title/tt2909932/?ref_=fn_tt_tt_1,16,English,USA,,2.2,
Tamra Davis,111,135,Comedy|Drama,Britney Spears,Crossroads ,1531,1,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,English,USA,12000000,3.3,1.85
Jack Heller,26,120,Mystery|Thriller,Shaun Sipos,Enter Nowhere ,630,3,cabin|going in circles|pac man|stranger|woods,http://www.imdb.com/title/tt1631707/?ref_=fn_tt_tt_1,45,English,USA,500000,6.6,
Fernando Baez Mella,1,15,Crime|Drama,Manny Perez,The King of Najayo ,206,1,,http://www.imdb.com/title/tt2275671/?ref_=fn_tt_tt_1,1,Spanish,Dominican Republic,500000,6.9,16.0
Warren Sheppard,3,212,Action|Romance|Sport,Jennifer Hale,Fight to the Finish ,2091,0,fighting|karate,http://www.imdb.com/title/tt3152288/?ref_=fn_tt_tt_1,2,English,USA,150000,4.0,
Darren Lynn Bousman,10,303,Horror|Musical,Paul Sorvino,Alleluia! The Devil's Carnival ,2438,5,carnival|devil|redemption|reference to god,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,20,English,USA,500000,7.4,1.78
Justin Paul Miller,1,33,Comedy|Mystery|Thriller,Mary Kate Wiles,The Sound and the Shadow ,254,0,,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,1,English,USA,,8.3,
Joel Paul Reisig,1,317,Family,Carrie Bradstreet,Rodeo Girl ,1628,2,,http://www.imdb.com/title/tt4062896/?ref_=fn_tt_tt_1,4,English,USA,500000,5.7,
Catherine Gund,10,0,Action|Biography|Documentary|Sport,Elizabeth Streb,Born to Fly: Elizabeth Streb vs. Gravity ,0,1,three word title,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,10,English,USA,500000,6.8,
Luke Dye,1,53,Family,Mike Stanley,The Little Ponderosa Zoo ,683,2,,http://www.imdb.com/title/tt3846442/?ref_=fn_tt_tt_1,1,English,USA,500000,5.2,16.0
Sam Raimi,525,11000,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful ,73441,4,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,215000000,6.4,2.35
Michael Herz,96,10,Action|Comedy|Horror|Sci-Fi,Patrick Kilpatrick,The Toxic Avenger ,553,0,boy|health club|superhero|toxic waste|troma,http://www.imdb.com/title/tt0090190/?ref_=fn_tt_tt_1,147,English,USA,475000,6.2,1.85
Matty Rich,8,10,Crime|Drama,Lawrence Gilliard Jr.,Straight Out of Brooklyn ,380,4,domestic violence|housing project|new york city|poverty|racism,http://www.imdb.com/title/tt0102989/?ref_=fn_tt_tt_1,11,English,USA,450000,5.9,1.85
Paul Greengrass,92,80,Drama|History|War,James Nesbitt,Bloody Sunday ,976,0,civil rights|irish|march|northern ireland|protest march,http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,120,English,UK,2000000,7.7,1.85
