director_name,duration,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,movie_imdb_link,language,country,title_year,imdb_score,movie_facebook_likes
Joel Schumacher,115,61490000,Drama|Horror|Sci-Fi|Thriller,Julia Roberts,Flatliners ,10493,Hope Davis,http://www.imdb.com/title/tt0099582/?ref_=fn_tt_tt_1,English,USA,1990,6.6,0
,22,,Comedy,Rob McElhenney,It's Always Sunny in Philadelphia             ,1784,Glenn Howerton,http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1,English,USA,,8.8,0
Richard Attenborough,175,50800000,Drama|History|War,Ryan O'Neal,A Bridge Too Far ,669,Wolfgang Preiss,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,English,USA,1977,7.4,0
Wes Craven,85,57859105,Mystery|Thriller,Robert Pine,Red Eye ,1090,Suzie Plakson,http://www.imdb.com/title/tt0421239/?ref_=fn_tt_tt_1,English,USA,2005,6.5,0
David R. Ellis,90,46455802,Horror|Thriller,Sarah Carter,Final Destination 2 ,3172,Keegan Connor Tracy,http://www.imdb.com/title/tt0309593/?ref_=fn_tt_tt_1,English,USA,2003,6.2,0
Joel Coen,107,45506619,Adventure|Comedy|Crime|Music,Holly Hunter,"O Brother, Where Art Thou? ",3066,Daniel von Bargen,http://www.imdb.com/title/tt0190590/?ref_=fn_tt_tt_1,English,UK,2000,7.8,16000
Scott Stewart,100,40168080,Action|Fantasy|Horror,Dennis Quaid,Legion ,3889,Charles S. Dutton,http://www.imdb.com/title/tt1038686/?ref_=fn_tt_tt_1,English,USA,2010,5.2,0
Michael Bay,129,49874933,Comedy|Crime|Drama,Dwayne Johnson,Pain & Gain ,13573,Michael Rispoli,http://www.imdb.com/title/tt1980209/?ref_=fn_tt_tt_1,English,USA,2013,6.5,43000
Paul Weitz,109,45489752,Comedy|Drama|Romance,Scarlett Johansson,In Good Company ,28493,Dennis Quaid,http://www.imdb.com/title/tt0385267/?ref_=fn_tt_tt_1,English,USA,2004,6.5,736
Jonathan Frakes,94,36985501,Action|Adventure|Comedy|Sci-Fi|Thriller,Michael Biehn,Clockstoppers ,3917,Jason George,http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1,English,USA,2002,5.2,874
Lawrence Kasdan,133,33200000,Action|Crime|Drama|Western,Scott Glenn,Silverado ,1154,Brad Leland,http://www.imdb.com/title/tt0090022/?ref_=fn_tt_tt_1,English,USA,1985,7.2,0
Jim Sheridan,105,28501651,Drama|Thriller,Natalie Portman,Brothers ,42473,Bailee Madison,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,English,USA,2009,7.1,10000
