director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,actor_3_name,plot_keywords,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes
Ti West,101,74,969,Horror,27260,Pat Healy,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,USA,R,2011,128,0
David S. Goyer,89,389,10000,Drama|Fantasy|Horror|Mystery|Thriller,42183,Rachel Brosnahan,babysitting|experiment|nightmare|possession|twin,USA,PG-13,2009,787,0
Bernardo Bertolucci,106,48,319,Drama,17813,Dominique Sanda,fascist|gun|italy|nudity|sexuality,Italy,R,1970,90,0
Neil Burger,88,21,108,Drama,1661,Renee Faia,conspiracy theory|kennedy assassination|mock documentary|paranoia,USA,R,2002,72,163
Oliver Blackburn,99,201,1000,Crime|Drama|Horror|Thriller,9376,Tom Burke,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,UK,R,2008,233,0
Jonathan Levine,90,280,935,Horror,25951,Whitney Able,drugs|female nudity|party|voyeur|voyeurism,USA,R,2006,611,2000
Christopher Hutson,95,118,717,Horror,851,Michele Morrow,artist|blood|drug|tree sap|vampire,USA,R,2009,134,128
Fred Zinnemann,85,433,998,Thriller|Western,80193,Lon Chaney Jr.,appeasement|frontier justice|justice|one against many|street shootout,USA,PG,1952,575,3000
Steve James,170,2,7,Documentary|Drama|Sport,18980,Isiah Thomas,athlete|basketball|high school|high school student|school,USA,PG-13,1994,6,0
David LaChapelle,86,14,262,Documentary|Music,2877,Tommy the Clown,clown|clowning|dance|gang|south central los angeles,USA,PG-13,2005,23,903
Joseph Kosinski,,567,22000,Action|Adventure|Fantasy|Sci-Fi,3089,Erick Avari,first person shooter,USA,,2014,4000,1000
Michael Cuesta,97,36,80,Crime|Drama,8509,Walter Masterson,ephebophile|pederasty|pedophilia|playing hooky|shaving,USA,NC-17,2001,67,420
Caryn Waechter,104,195,601,Drama|Mystery|Thriller,1354,Louis Ozawa Changchien,accused of witchcraft|based on short story,USA,PG-13,2014,524,523
Emily Dell,88,311,618,Drama|Music|Romance,551,Drew Sidora,brooklyn new york city|los angeles california|teacher|trauma|violence,USA,PG-13,2009,592,303
Peter Jackson,201,84,6000,Action|Adventure|Drama|Romance,316027,Evan Parke,animal name in title|ape abducts a woman|gorilla|island|king kong,New Zealand,PG-13,2005,918,0
Jaume Collet-Serra,108,324,730,Horror,94463,Brian Van Holt,brother sister relationship|group of friends|male nudity|twin|wax,Australia,R,2005,716,0
Ryan Fleck,106,71,33000,Drama,70885,Jeff Lima,bathroom|classroom|dialectics|drugs|student,USA,R,2006,519,0
Jennifer Wynne Farmer,107,236,752,Drama,103,Max Gail,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,USA,PG-13,1998,282,102
Christopher Scott Cherot,84,48,465,Comedy,819,Chenoa Maxwell,friend|new year's eve|screwball|self discovery|social differences,USA,R,1997,170,161
H.M. Coakley,91,137,696,Crime|Drama|Thriller,514,Danielle Savre,cheating husband|female nudity|male nudity|male rear nudity|revenge,USA,,2015,320,158
Randy Moore,90,432,977,Fantasy|Horror,7384,Amy Lucas,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,USA,Not Rated,2013,511,0
Chris Atkins,103,442,628,Documentary,474,Elton John,celebrity|consumerism|fashion|media manipulation,UK,,2009,474,203
Bill Benenson,71,21,1000,Documentary,5,Jane Goodall,east africa|hunter gatherer|indigenous|rift valley|swahili,USA,,2014,338,5
Ryan Smith,90,258,523,Fantasy|Horror|Mystery|Thriller,3699,Karolina Wydra,coma|crash,USA,PG-13,2012,385,1000
Travis Romero,67,2000,260000,Drama|Thriller,344,Michael Biehn,panties|white panties,USA,,2013,21000,0
Anna Mastro,94,912,956,Comedy|Drama,1432,Virginia Madsen,based on short film|based on short story,USA,,2015,945,0
Mark Sandrich,81,23,610,Comedy|Musical|Romance,13269,Eric Blore,dance|dancer|dancing|horse|tap dancing,USA,Approved,1935,172,1000
Daniel Myrick,81,39,170,Horror,186786,Michael C. Williams,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,USA,R,1999,170,0
Michael Wadleigh,215,136,262,Documentary|History|Music,12631,Joan Baez,drugs|hippie|music festival|the who|woodstock,USA,R,1970,227,0
John Landis,83,11,119,Comedy,13915,Tara Strohmeier,fake commercial|fake newscast|fake trailer|parody|spoof,USA,R,1977,29,0
Jon Gunn,106,254,602,Action|Crime|Drama,448,Cynthia Watros,church|cigarette smoking|deacon|twin brother|twins,USA,PG-13,2000,266,12
Gene Teigland,103,20,23,Mystery|Thriller,94,Tac Fitzgerald,,USA,PG-13,2007,20,11
Scott Ziehl,90,218,919,Drama,531,Brent David Fraser,independent film|katana sword|los angeles storm drain,USA,R,1998,711,51
Richard Montoya,88,359,601,Crime|Drama,85,Exie Booker,,USA,Not Rated,2013,371,358
Johanna Schwartz,105,0,0,Documentary,74,Khaira Arby,,UK,,2015,0,34
William Gazecki,115,0,0,Documentary,204,Francine Blake,crop circle|intelligence|paranormal|phenomenon|universe,USA,,2002,0,32
Lance McDaniel,90,271,595,Action|Drama|Thriller,6,Lymari Nadal,china|faith|panama|photography|suspense,USA,PG-13,2014,412,9
Thomas Lilti,102,2,541,Comedy|Drama,389,Marianne Denicourt,doctor|hospital|mayor|no opening credits|title at the end,France,,2016,8,36
Michael Walker,98,233,587,Thriller,719,John Brodsky,,USA,,2013,448,128
Richard Lester,87,704,785,Comedy|Musical,31429,George Harrison,boy|concert|drummer|manager|television,UK,Approved,1964,725,0
U. Roberto Romano,80,,,Documentary,57,,child labor|education|hispanic|labor|migration,USA,,2011,,88
Amy Holden Jones,88,221,2000,Drama|Romance,487,Amy Madigan,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,USA,R,1983,433,7
Blaz Zavrsnik,83,0,0,Comedy,86,Andrej Nahtigal,,Slovenia,,2015,0,18
Alex Kendrick,122,150,848,Drama|Romance,17068,Erin Bethea,christian film|dare|firefighter|internet pornography|marriage,USA,PG,2008,153,0
Pan Nalin,115,0,0,Biography|Documentary|Drama,113,Shriman Umeshanad Brahmachari,faith|ganja|kumbh mela|little boy|orphan,India,,2013,0,126
Joe Camp,86,142,407,Adventure|Family|Romance,3411,Edgar Buchanan,animal abuse|cat|dog|dog movie|tween girl,USA,G,1974,189,816
