actor_3_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,budget,title_year,imdb_score,aspect_ratio
690,3447339,The To Do List ,29517,2667,Scott Porter,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,1500000,2013,5.8,1.78
164,418953,Killing Zoe ,17322,1582,Jean-Hugues Anglade,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,1500000,1993,6.5,1.85
76,406035,The Believer ,30314,33441,Summer Phoenix,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,1500000,2001,7.2,1.66
442,402820,Snow Angels ,10896,2747,Tom Noonan,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,,2007,6.9,2.35
56,,Unsullied ,95,792,Malone Thomas,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,1500000,2014,5.5,2.35
83,373967,Session 9 ,43839,469,Larry Fessenden,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,1500000,2001,6.5,2.35
423,194568,I Want Someone to Eat Cheese With ,2963,2179,Joey Slotnick,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,1500000,2006,6.2,1.85
616,,Mooz-Lum ,919,3288,Evan Ross,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,,2010,6.7,
488,,Hatchet ,23349,3668,Joel Murray,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,1500000,2006,5.7,1.85
8,163245,Modern Times ,143086,352,Fred Malatesta,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,1500000,1936,8.6,1.37
597,119841,Stolen Summer ,2419,3901,Bonnie Hunt,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,1500000,2002,6.5,1.85
158,173066,My Name Is Bruce ,21379,1238,Timothy Patrick Quill,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,1500000,2007,6.3,1.85
