director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Harold Ramis,71,98,11000,484,39800000,Comedy|Sport,Caddyshack ,14921,Brian Doyle-Murray,3,caddy|country club|golf course|gopher|nudity,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,English,USA,R,6000000,573,7.4,0
Gary Hardwick,52,106,10,578,27457409,Comedy|Drama,The Brothers ,6419,Jenifer Lewis,4,african american|commitment|friend|friendship|playboy,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,English,USA,R,6000000,685,6.3,478
Rick Famuyiwa,18,106,44,328,25047631,Comedy|Drama|Romance,The Wood ,2724,Richard T. Jones,0,flashback|friendship|public nudity|shower|wedding,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,English,USA,R,6000000,405,6.9,990
Bryan Singer,162,106,0,574,23272306,Crime|Drama|Mystery|Thriller,The Usual Suspects ,20821,Kevin Pollak,4,criminal|dirty cop|flashback|limping|suspect,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,English,USA,R,6000000,979,8.6,28000
Stephen Hopkins,88,89,81,92,22168359,Fantasy|Horror|Romance|Thriller,A Nightmare on Elm Street 5: The Dream Child ,584,Matthew Borlenghi,0,child|comic book|dream|murderer|nightmare,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,English,USA,X,8000000,101,5.1,1000
Walt Becker,96,94,12,583,21005329,Comedy|Romance,Van Wilder: Party Liaison ,19341,Erik Estrada,0,college|love|party|reporter|tuition,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,English,Germany,R,6000000,876,6.4,0
Darren Aronofsky,391,109,0,120,26236603,Drama|Sport,The Wrestler ,1582,Ajay Naidu,0,heart attack|stripper|supermarket|wrestler|wrestling,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,English,USA,R,6000000,245,7.9,10000
King Vidor,32,144,54,332,20400000,Drama|Romance|Western,Duel in the Sun ,2037,Jennifer Jones,0,box office hit|half breed|infidelity|shooting|texas,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,English,USA,Unrated,8000000,436,6.9,403
Christopher Guest,119,90,378,658,18621249,Comedy,Best in Show ,4611,Michael McKean,9,dog show|gay|gay character|gay couple|gay interest,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,925,7.5,0
John Carpenter,201,106,0,381,25244700,Action|Sci-Fi,Escape from New York ,2270,Tom Atkins,1,1990s|police|prison|rescue|year 1997,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,English,UK,R,6000000,602,7.2,0
Spike Lee,22,121,0,182,14545844,Comedy|Drama|Musical,School Daze ,1284,Bill Nunn,4,beauty salon|black college|college|fraternity|sorority,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,English,USA,R,6500000,282,5.8,624
Fred Savage,52,89,0,405,13235267,Comedy|Family,Daddy Day Camp ,1752,Tamala Jones,2,competition|estranged father|skunk|summer camp|wall,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,English,USA,PG,6000000,484,2.9,256
Sammo Kam-Bo Hung,63,86,472,64,12674183,Action|Comedy|Crime,Mr. Nice Guy ,773,Rachel Blakely,1,chef|cook|drugs|gang|reporter,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,English,Hong Kong,PG-13,,155,6.2,355
Christopher Guest,97,91,378,345,17508936,Comedy|Music,A Mighty Wind ,1660,Laura Harris,0,concert|mockumentary|musician|new york city|singer,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,English,USA,PG-13,,378,7.3,0
Donald Petrie,34,104,80,658,12793213,Comedy|Drama|Romance,Mystic Pizza ,10430,Conchata Ferrell,4,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,English,USA,R,6000000,960,6.2,0
