actor_2_name,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,movie_imdb_link
Emma Watson,Anthony Hopkins,Noah ,Logan Lerman,2,http://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1
Mackenzie Crook,Toby Jones,The Adventures of Tintin ,Tony Curran,1,http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1
Gary Oldman,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,Rupert Grint,3,http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1
Bryan Brown,Essie Davis,Australia ,Eddie Baroo,0,http://www.imdb.com/title/tt0455824/?ref_=fn_tt_tt_1
Zoë Kravitz,Will Smith,After Earth ,Glenn Morshower,0,http://www.imdb.com/title/tt1815862/?ref_=fn_tt_tt_1
D.B. Sweeney,Alfre Woodard,Dinosaur ,Della Reese,1,http://www.imdb.com/title/tt0130623/?ref_=fn_tt_tt_1
Dave Legeno,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,Ralph Ineson,1,http://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1
Rami Malek,Robin Williams,Night at the Museum: Secret of the Tomb ,Steve Coogan,7,http://www.imdb.com/title/tt2692250/?ref_=fn_tt_tt_1
Brad Pitt,J.K. Simmons,Megamind ,Will Ferrell,3,http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1
Fiona Shaw,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,Verne Troyer,4,http://www.imdb.com/title/tt0241527/?ref_=fn_tt_tt_1
Jeff Bridges,Ryan Reynolds,R.I.P.D. ,Stephanie Szostak,2,http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1
Shin'ya Tsukamoto,Mark Chinnery,Godzilla Resurgence ,Atsuko Maeda,0,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1
Orlando Bloom,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,Jack Davenport,3,http://www.imdb.com/title/tt0325980/?ref_=fn_tt_tt_1
Toby Jones,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,Alfred Enoch,1,http://www.imdb.com/title/tt1571403/?ref_=fn_tt_tt_1
Philip Seymour Hoffman,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1 ,Josh Hutcherson,1,http://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1
Seth Gabel,Tom Hanks,The Da Vinci Code ,Jürgen Prochnow,2,http://www.imdb.com/title/tt0382625/?ref_=fn_tt_tt_1
Rachel Crow,Miguel Ferrer,Rio 2 ,Jeffrey Garcia,0,http://www.imdb.com/title/tt2357291/?ref_=fn_tt_tt_1
Bruce Davison,Hugh Jackman,X-Men 2 ,Aaron Stanford,4,http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1
Vin Diesel,Paul Walker,Fast Five ,Dwayne Johnson,3,http://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1
Eddie Marsan,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows ,Paul Anderson,2,http://www.imdb.com/title/tt1515091/?ref_=fn_tt_tt_1
Jason Flemyng,Liam Neeson,Clash of the Titans ,Alexa Davalos,0,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1
Rachel Ticotin,Ronny Cox,Total Recall ,Marshall Bell,0,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1
Vladimir Kulich,Tony Curran,The 13th Warrior ,Clive Russell,1,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1
Scott Glenn,Jeremy Renner,The Bourne Legacy ,Stacy Keach,0,http://www.imdb.com/title/tt1194173/?ref_=fn_tt_tt_1
Vivica A. Fox,Michael Gough,Batman & Robin ,John Glover,3,http://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1
T.J. Thyne,Clint Howard,How the Grinch Stole Christmas ,Molly Shannon,0,http://www.imdb.com/title/tt0170016/?ref_=fn_tt_tt_1
Dennis Quaid,Jake Gyllenhaal,The Day After Tomorrow ,Sela Ward,0,http://www.imdb.com/title/tt0319262/?ref_=fn_tt_tt_1
Dougray Scott,Tom Cruise,Mission: Impossible II ,Richard Roxburgh,0,http://www.imdb.com/title/tt0120755/?ref_=fn_tt_tt_1
Mary Elizabeth Mastrantonio,Karen Allen,The Perfect Storm ,Bob Gunton,0,http://www.imdb.com/title/tt0177971/?ref_=fn_tt_tt_1
Ioan Gruffudd,Chris Evans,Fantastic 4: Rise of the Silver Surfer ,Andre Braugher,3,http://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1
