director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,title_year,movie_facebook_likes
Robert Iscove,67,94,7,3000,Alyson Hannigan,Boys and Girls ,13661,3451,Tsianina Joelson,best friend|break up|friendship|graduation|male in underwear,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,English,2000,487
Peter Kosminsky,103,109,7,835,Patrick Fugit,White Oleander ,25549,2572,Marc Donato,california|foster home|love|oleander|prison,http://www.imdb.com/title/tt0283139/?ref_=fn_tt_tt_1,English,2002,0
Karyn Kusama,300,107,45,24000,J.K. Simmons,Jennifer's Body ,92712,24805,Cynthia Stevenson,cannibalism|cheerleader|condom|hook for hand|satanic ritual,http://www.imdb.com/title/tt1131734/?ref_=fn_tt_tt_1,English,2009,6000
Nick Gomez,84,96,22,8000,Will Ferrell,Drowning Mona ,11768,11078,Tracey Walter,crying woman|plot|suspect|waitress|younger man older woman relationship,http://www.imdb.com/title/tt0186045/?ref_=fn_tt_tt_1,English,2000,492
Woody Allen,64,88,11000,854,Mike Starr,Radio Days ,24256,1653,Julie Kavner,beach|cigarette girl|radio|woman holding a baby|working class,http://www.imdb.com/title/tt0093818/?ref_=fn_tt_tt_1,English,1987,0
Vic Armstrong,169,110,179,12000,Nicolas Cage,Left Behind ,24854,15044,Quinton Aaron,bible quote|chaos|faith|riot|shrine,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,English,2014,31000
Allen Coulter,158,113,47,21000,Robert Pattinson,Remember Me ,113963,22088,Ruby Jerins,binge drinking|new york|new york city|september 11 2001|suicide,http://www.imdb.com/title/tt1403981/?ref_=fn_tt_tt_1,English,2010,24000
Clare Kilner,46,101,6,812,Dylan Baker,How to Deal ,8215,1882,Trent Ford,best friend|high school|mother|sister|wedding,http://www.imdb.com/title/tt0319524/?ref_=fn_tt_tt_1,English,2003,371
Richard Benjamin,15,105,121,11000,Jon Lovitz,My Stepmother Is an Alien ,21079,14677,Tony Jay,alien|earth|female alien|mission|secret,http://www.imdb.com/title/tt0095687/?ref_=fn_tt_tt_1,English,1988,818
Jonathan Demme,68,125,438,18000,Denzel Washington,Philadelphia ,178731,33865,Jason Robards,aids|city name in title|gay|homophobia|lawyer,http://www.imdb.com/title/tt0107818/?ref_=fn_tt_tt_1,English,1993,0
