director_facebook_likes,actor_2_name,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,language,actor_2_facebook_likes
38,Collette Wolfe,496,Hot Tub Time Machine ,139184,8,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,English,390
188,Taylor Blackwell,11000,Dolphin Tale 2 ,6069,0,dolphin|latex gloves|medical scrubs|purple gloves|turtle,English,641
287,James Frain,9000,Reindeer Games ,31113,0,casino|christmas|christmas season|girlfriend|release from prison,English,1000
473,Jeff Kober,14000,A Man Apart ,38348,0,bust|dea|drug cartel|justice|tragic hero,English,919
488,Bradley Cooper,15000,Aloha ,39778,1,box office flop|critically bashed|hawaii|one word title|written by director,English,14000
0,Virginia Madsen,2000,Ghosts of Mississippi ,8531,0,activist|assassin|civil rights|trial|widow,English,912
96,Reeve Carney,746,Snow Falling on Cedars ,12375,1,fisherman|japanese|love|trial|washington state,English,602
101,Colin O'Donoghue,12000,The Rite ,75864,1,demon|exorcism|exorcist|faith|seminary,English,3000
487,Xander Berkeley,685,Gattaca ,220591,2,accident|future|genetics|mission|police,English,485
31,Nathan Lane,944,Isn't She Great ,1977,0,autistic son|cancer|female protagonist|new york city|son,English,886
16,Kenan Thompson,541,Space Chimps ,8860,0,astronaut|attacked by a plant|planet|senator|space travel,English,521
0,Dylan Baker,1000,Head of State ,15046,1,alderman|party|president|presidential candidate|washington d.c.,English,812
480,Rob Riggle,14000,The Hangover ,583341,3,drunkenness|female nudity|hangover|hedonism|morning after,English,839
25,Lynn Hung,461,Ip Man 3 ,21912,0,1950s|cancer|hong kong|martial arts school|wing chun,Cantonese,79
116,Verne Troyer,45000,Austin Powers: The Spy Who Shagged Me ,181225,1,penis joke|phallic image|sexy agent|spy|volcano hideout,English,645
13000,Jack Palance,920,Batman ,269033,0,city|dc comics|gotham|pantyhose|police,English,549
596,Dougray Scott,877,There Be Dragons ,3865,0,dying|forgiveness|saint|spanish civil war|starts with narration,English,794
503,Nick Chinlund,808,Lethal Weapon 3 ,128010,2,gangster|gun|internal affairs|police|police officer,English,277
102,Quinton Aaron,768,The Blind Side ,223127,0,american football|based on true story|football star|high school football|left tackle,English,734
,Aimee Garcia,778,Rush Hour             ,2185,2,,English,618
0,Cheech Marin,2000,Spy Kids ,84325,0,brother sister relationship|espionage|rescue|secret agent|spy,English,843
91,Lindsay Sloane,18000,Horrible Bosses ,353442,5,black comedy|boss|chemical company|dental assistant|murder,English,464
1000,Jeff Bridges,13000,True Grit ,240962,0,arkansas|murder|sheriff|texas ranger|u.s. marshal,English,12000
64,Anne Hathaway,11000,The Devil Wears Prada ,286178,0,fashion|fashion industry|magazine|new york city|publishing,English,11000
338,Nichelle Nichols,12000,Star Trek: The Motion Picture ,63330,2,alien|space|space station|spacecraft|warp speed,English,664
91,Eric Stonestreet,4000,Identity Thief ,97664,2,bounty hunter|credit card|cross country|identity|police,English,904
17000,Robert Mitchum,22000,Cape Fear ,127503,0,lawyer|neo noir|prison|rapist|southern gothic,English,1000
126,Jim Sturgess,18000,21 ,191470,2,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,English,5000
0,Randall Park,492,Trainwreck ,94241,1,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,English,392
8,Nicole Sullivan,1000,Guess Who ,33887,2,argument|engagement|family relationships|love|undressing,English,358
333,Kristin Scott Thomas,14000,The English Patient ,142067,0,church|english|flashback|nurse|patient,English,1000
161,Matt McCoy,18000,L.A. Confidential ,414219,2,1950s|call girl|corruption|murder|police detective,English,398
31,Kelly Preston,947,Sky High ,61321,3,coming of age|friend|high school|sidekick|superpower,English,742
0,Wilford Brimley,19000,In & Out ,32416,0,academy award|gay|high school|reporter|teacher,English,957
79,Marg Helgenberger,900,Species ,61018,0,alien|interspecies sex|scientist|sexual attraction|train,English,759
0,Lin Shaye,40000,A Nightmare on Elm Street ,149285,1,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,English,852
763,Jake Weber,812,The Cell ,79877,1,coma|fbi|race against time|serial killer|strong female lead,English,551
130,Anne Parillaud,29000,The Man in the Iron Mask ,125219,1,france|musketeer|three musketeers|twin|twin brother,English,130
130,Kevin Connolly,826,Secretariat ,20827,0,eccentric|horse racing|newspaper clipping|stallion|triple crown,English,638
14,Sarah Michelle Gellar,11000,TMNT ,53786,0,martial arts master|monster|new york city|turtle|warrior,English,4000
19,Riley Smith,1000,Radio ,32370,1,coach|football|football coach|high school|radio,English,762
87,Justin Timberlake,15000,Friends with Benefits ,270228,2,blow job|female rear nudity|girl in panties|male objectification|no panties,English,3000
89,Ike Barinholtz,17000,Neighbors 2: Sorority Rising ,28041,0,bare chested male|gay|gay best friend|gay man|gay marriage proposal,English,329
102,Ruth Wilson,15000,Saving Mr. Banks ,117719,2,author|disney|loss of father|reference to walt disney|suppression of emotion,English,2000
0,Delroy Lindo,18000,Malcolm X ,63923,0,african american|black history|civil rights|ku klux klan|nation of islam,English,848
0,Maude Apatow,529,This Is 40 ,104005,2,40th birthday|aging|birthday|sex|viagra,English,130
12,Bernie Mac,49000,Old Dogs ,31191,2,best friend|business deal|impulse|public relations|twin,English,1000
148,Kevin Grevioux,978,Underworld: Rise of the Lycans ,119974,1,battle|slave|vampire|warrior|werewolf,English,593
42,Christine Taylor,49000,License to Wed ,32157,3,box office flop|church|kissing|usa|wedding,English,838
221,Jon Heder,11000,The Benchwarmers ,40651,2,baseball|baseball team|bully|millionaire|team,English,970
30,Victor Webster,944,Must Love Dogs ,25883,2,date|dating|dog|love|teacher,English,940
179,Al Pacino,40000,Donnie Brasco ,225122,2,fbi|mafia|money|racial slur|singer,English,14000
545,Jaymes Butler,14000,Resident Evil ,198701,0,amnesia|quarantine|special forces|virus|zombie,English,2000
365,Zelda Rubinstein,887,Poltergeist ,105446,0,ghost|haunted|haunting|house|paranormal investigator,English,770
1000,Tom Hanks,24000,The Ladykillers ,84131,1,casino|irony of fate|landlady|professor|remake,English,15000
212,Beau Bridges,15000,Max Payne ,107772,1,corporation|death|ex partner|hallucination|police detective,English,552
487,Olivia Wilde,20000,In Time ,304318,2,currency|future|murder|on the run|time,English,10000
16,Noureen DeWulf,1000,The Back-up Plan ,40654,0,artificial insemination|baby|cheese|chick flick|pet shop,English,700
42,Steve Howey,969,Something Borrowed ,48019,4,best friend|crush|law school|lawyer|loud sex,English,826
,Kimberly Elise,897,Hit the Floor             ,1641,4,affair|hip hop|sex scene,English,637
19,Marsha Thomason,1000,Black Knight ,30771,1,14th century|king|knight|sword duel|time travel,English,691
23,Vic Morrow,288,The Bad News Bears ,16323,1,baseball|california|coach|little league|swimming pool,English,257
133,Raul Julia,2000,Street Fighter ,53115,1,guile|hostage|ransom|soldier|united nations,English,1000
2000,Frank Finlay,396,The Pianist ,497946,0,ghetto|holocaust|jewish|piano|warsaw ghetto,English,338
117,Jason Flemyng,40000,From Hell ,124765,1,freemason|jack the ripper|opium|prostitute|victorian era,English,1000
308,Hiam Abbass,446,The Nativity Story ,8143,0,angel|bethlehem|journey|nazareth|virgin,English,224
174,Paris Hilton,730,House of Wax ,94456,0,brother sister relationship|group of friends|male nudity|twin|wax,English,716
0,Julia Roberts,20000,Closer ,168314,2,cheating wife|film camera|hasselblad camera|leica camera|medium format camera,English,8000
16000,Naomi Watts,29000,J. Edgar ,102728,0,agent|fbi|federal bureau of investigation|gay relationship|secret,English,6000
192,Cameron Boyce,1000,Mirrors ,86205,0,estranged wife|evil|fire|medication|mirror,English,915
48,Lena Olin,775,Queen of the Damned ,43991,2,fatal attraction|interspecies romance|queen|supernatural power|vampire,English,541
81,Robert Davi,2000,Predator 2 ,105478,0,alien|drug lord|gang|hunter|predator,English,683
40,Jesse Tyler Ferguson,2000,Untraceable ,40964,1,cat|fbi agent|murder|serial killer|website,English,648
37,Sissy Spacek,3000,Blast from the Past ,48621,0,1960s|bomb shelter|cuban missile crisis|food|naive man,English,874
24,William Hootkins,591,Flash Gordon ,38017,1,american football|cult film|emperor|flash gordon|mind reading,English,488
0,Mike Starr,939,Jersey Girl ,54346,5,baby|childbirth|death|karma|publicist,English,854
357,Chad Lindberg,907,Alex Cross ,28257,0,assassin|detective|partner|police|serial killer,English,445
16000,Bob Gunton,18000,Midnight in the Garden of Good and Evil ,31751,2,graveyard|murder|murder trial|reporter|trial,English,461
8,Joshua Mikel,22000,Heist ,16193,1,bus|die hard scenario,English,1000
24,Bill Bailey,287,Nanny McPhee Returns ,19230,5,farm|magic|mother daughter relationship|overalls|title directed by female,English,175
0,J.T. Walsh,436,Hoffa ,17124,2,labor|labor union|leader|mafia|union,English,263
251,Callum Rennie,826,The X Files: I Want to Believe ,78256,0,fbi|priest|psychic|psychic vision|staff physician,English,716
13,Steve Coogan,11000,Ella Enchanted ,47800,1,curse|fairy|obedience|prince|strong female character,English,1000
15,Eddie Marsan,10000,Concussion ,44788,0,chronic traumatic encephalopathy|concussion|football|football player|pathologist,English,979
309,Benjamin J. Cain Jr.,327,Abduction ,65044,1,assassin|high school|on the run|teenager|website,English,73
2,Olivia Williams,1000,Valiant ,15788,0,dove|falcon|nursing|pigeon|psychological torture,English,766
161,Rip Torn,21000,Wonder Boys ,54643,5,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor,English,826
82,Tracy Morgan,1000,Superhero Movie ,52052,6,dragonfly|hero|high school|soaking wet|supervillian origin,English,642
90,James Ransone,1000,Broken City ,63548,3,election|father son relationship|fellatio|gay slur|title spoken by character,English,412
0,Portia de Rossi,1000,Cursed ,26126,0,creature|death|party|rescue|werewolf,English,573
192,Dania Ramirez,23000,Premium Rush ,95274,0,chase|courier|delivery|envelope|police,English,1000
