actor_3_facebook_likes,gross,movie_title,cast_total_facebook_likes,language,country,title_year,imdb_score,aspect_ratio
388,,Henry & Me ,2509,English,USA,2014,6.7,
541,,Christmas Eve ,3514,English,USA,2015,5.1,
601,,We Have Your Husband ,3059,English,USA,2011,5.5,1.78
179,,Dying of the Light ,12676,English,Bahamas,2014,4.4,2.35
126,,Born of War ,1681,English,UK,2014,4.4,
826,,Capricorn One ,5191,English,USA,1977,6.8,2.35
723,,Should've Been Romeo ,4991,English,USA,2012,6.7,
668,,Running Forever ,3021,English,USA,2015,8.6,
1000,,Yoga Hosers ,46115,English,USA,2016,4.8,
538,,Navy Seals vs. Zombies ,2849,English,USA,2015,3.4,
4,617228,I Served the King of England ,92,Czech,Czech Republic,2006,7.4,1.85
269,274385,Soul Kitchen ,1519,German,Germany,2009,7.3,1.85
263,24475416,Sling Blade ,3967,English,USA,1996,8.0,1.85
537,,The Awakening ,2363,English,UK,2011,6.5,2.35
581,47277326,Hostel ,2990,English,USA,2005,5.9,2.35
427,1247453,Tristram Shandy: A Cock and Bull Story ,3690,English,UK,2005,6.8,2.35
41,1729969,Take Shelter ,1520,English,USA,2011,7.4,2.35
339,1705139,Lady in White ,2545,English,USA,1988,6.7,1.85
621,238774,Driving Lessons ,11703,English,UK,2006,6.8,1.85
316,,Let's Kill Ward's Wife ,2469,English,USA,2014,5.4,
14,8025872,The Texas Chainsaw Massacre 2 ,302,English,USA,1986,5.5,1.85
372,,Pat Garrett & Billy the Kid ,2409,English,USA,1973,7.4,2.35
428,778565,Only God Forgives ,34779,English,Denmark,2013,5.7,1.85
20,,Camping sauvage ,286,French,France,2005,5.4,
329,,Without Men ,2006,English,USA,2011,3.2,
0,,Barfi ,5,Kannada,India,2013,7.1,
16,1340891,Dear Frankie ,18105,English,UK,2004,7.8,1.85
413,,All Hat ,2668,English,Canada,2007,5.3,2.35
9,513836,The Names of Love ,143,French,France,2010,7.2,1.85
140,,Treading Water ,1795,English,Mexico,2013,6.2,
577,434417,Savage Grace ,15093,English,Spain,2007,5.9,1.85
3,728,Out of the Blue ,122,English,New Zealand,2006,7.3,1.85
542,81200000,Police Academy ,3113,English,USA,1984,6.7,1.85
83,,The Blue Lagoon ,1662,English,USA,1980,5.7,1.85
239,52700832,Four Weddings and a Funeral ,1862,English,UK,1994,7.1,1.66
811,,Fast Times at Ridgemont High ,5002,English,USA,1982,7.2,1.85
68,,Moby Dick ,588,English,USA,1956,7.4,1.66
346,13060843,25th Hour ,26050,English,USA,2002,7.7,2.35
298,,Secrets and Lies             ,1587,English,USA,,7.7,16.0
126,3798532,Bound ,3668,English,USA,1996,7.4,1.85
167,3609278,Requiem for a Dream ,2235,English,USA,2000,8.4,1.37
37,,State Fair ,496,English,USA,1945,7.1,1.37
4,1687311,Tango ,371,Spanish,Spain,1998,7.2,2.0
491,,Salvador ,2762,English,UK,1986,7.5,1.85
402,10429707,Moms' Night Out ,2705,English,USA,2014,5.4,2.35
701,727883,Donnie Darko ,17040,English,USA,2001,8.1,2.35
122,1391770,Saving Private Perez ,793,Spanish,Mexico,2011,6.0,2.35
3,713413,Character ,48,Dutch,Netherlands,1997,7.8,1.85
391,410241,Spun ,2110,English,USA,2002,6.8,1.85
844,278821,Life During Wartime ,5041,English,USA,2009,6.5,1.85
38,211667,Lady Vengeance ,907,Korean,South Korea,2005,7.7,2.35
9,706622,Mozart's Sister ,53,French,France,2010,6.4,1.85
798,92191,Mean Machine ,29325,English,UK,2001,6.5,1.85
76,49413,Exiled ,398,Cantonese,Hong Kong,2006,7.3,2.35
327,199652,Blackthorn ,1950,English,Spain,2011,6.6,2.35
0,181655,Lilya 4-Ever ,131,Russian,Sweden,2002,7.9,1.85
329,108229,After.Life ,15860,English,USA,2009,5.9,2.35
62,,Fugly ,496,Hindi,India,2014,4.7,
425,112000000,One Flew Over the Cuckoo's Nest ,2176,English,USA,1975,8.7,1.85
212,,R.L. Stine's Monsterville: The Cabinet of Souls ,20397,English,USA,2015,5.9,1.78
753,,Silent Movie ,2951,,USA,1976,6.7,1.85
12,,Airlift ,151,Hindi,India,2016,8.5,2.35
505,,Anne of Green Gables             ,2667,English,Canada,,8.4,1.33
261,8691,Falcon Rising ,3089,English,USA,2014,5.8,
422,26345,The Sweeney ,4810,English,UK,2012,6.1,2.35
100,6940281,Sexy Beast ,1291,English,UK,2000,7.3,2.35
93,188870,Easy Money ,857,Swedish,Sweden,2010,6.7,2.35
8,20772796,Whale Rider ,497,English,New Zealand,2002,7.6,2.35
106,199228,Paa ,1045,Hindi,India,2009,7.2,2.35
7,,Cargo ,61,German,Switzerland,2009,6.2,2.35
394,34964818,Pan ,21404,English,USA,2015,5.8,2.35
578,,High School Musical ,2553,English,USA,2006,5.2,1.33
551,,Animal Kingdom             ,3026,English,USA,,8.1,16.0
130,2542264,Love and Death on Long Island ,938,English,UK,1997,7.1,1.85
16,1487477,Night Watch ,206,Russian,Russia,2004,6.5,1.85
327,62549000,The Crying Game ,2412,English,UK,1992,7.3,2.35
95,105500000,Porky's ,582,English,Canada,1981,6.2,1.85
231,101055,Survival of the Dead ,1951,English,USA,2009,5.0,2.35
56,,Night of the Living Dead ,403,English,USA,1968,8.0,1.85
11,44566004,Lost in Translation ,32015,English,USA,2003,7.8,1.85
629,39200000,Annie Hall ,12691,English,USA,1977,8.1,1.37
132,36000000,The Greatest Show on Earth ,825,English,USA,1952,6.7,1.37
748,65007045,Exodus: Gods and Kings ,26489,English,UK,2014,6.1,2.35
80,31252964,Monster's Ball ,13707,English,USA,2001,7.1,2.35
428,131175,Maggie ,1885,English,USA,2015,5.6,2.35
687,31968347,Leaving Las Vegas ,14823,English,USA,1995,7.6,1.66
555,,Hansel & Gretel Get Baked ,2634,English,USA,2013,4.3,1.78
358,,The Return of the Living Dead ,2020,English,USA,1985,7.3,1.85
116,,The Front Page ,1218,English,USA,1974,7.3,2.35
326,35385560,The Boy Next Door ,4807,English,USA,2015,4.6,2.35
69,,Trapeze ,986,English,USA,1956,6.8,2.35
904,,Saving Grace             ,5203,English,USA,,7.5,1.78
712,20803237,The Kids Are All Right ,18645,English,USA,2010,7.1,1.85
133,13008928,They Live ,837,English,USA,1988,7.3,2.35
145,,The Great Escape ,1785,English,USA,1963,8.3,2.35
428,10941801,What the #$*! Do We (K)now!? ,2649,English,USA,2004,5.4,1.85
400,15152879,The Last Exorcism Part II ,46868,English,France,2013,4.0,2.35
127,25359200,Boyhood ,673,English,USA,2014,8.0,1.85
405,10515579,Scoop ,20132,English,UK,2006,6.7,1.85
567,180011740,Planet of the Apes ,2776,English,USA,2001,5.7,2.35
69,10097096,The Wash ,955,English,USA,2001,4.6,1.85
585,9821335,3 Strikes ,3354,English,USA,2000,4.0,1.85
407,8243880,The Cooler ,3086,English,USA,2003,7.0,2.35
268,,The Misfits ,1652,English,USA,1961,7.4,1.66
710,7825820,The Night Listener ,50831,English,USA,2006,5.9,1.85
27,7557877,The Jerky Boys ,1002,English,USA,1995,4.6,1.85
255,14637490,My Soul to Take ,2537,English,USA,2010,4.8,2.35
143,7159147,The Orphanage ,954,Spanish,Spain,2007,7.5,2.35
511,17314483,A Haunted House 2 ,4073,English,USA,2014,4.7,1.85
968,6525762,The Rules of Attraction ,19928,English,USA,2002,6.7,1.85
148,,Topaz ,753,English,USA,1969,6.3,1.85
242,4613815,Let's Go to Prison ,1566,English,USA,2006,6.0,1.85
960,4301331,Four Rooms ,7921,English,USA,1995,6.7,1.85
296,4046737,Secretary ,2251,English,USA,2002,7.1,1.85
0,3713002,The Real Cancun ,972,English,USA,2003,2.7,1.85
237,3468572,Talk Radio ,1966,English,USA,1988,7.3,1.85
611,2892582,Waiting for Guffman ,3559,English,USA,1996,7.6,1.85
545,2800000,Love Stinks ,2662,English,USA,1999,5.8,1.85
90,2426851,You Kill Me ,776,English,USA,2007,6.5,2.55
71,1325073,Thumbsucker ,1208,English,USA,2005,6.6,2.35
939,,Red State ,4777,English,USA,2011,6.2,1.85
161,864959,Mirrormask ,1215,English,UK,2005,6.9,1.85
0,2601847,Samsara ,48,None,USA,2011,8.5,2.35
324,800000,The Barbarians ,1700,English,USA,1987,4.8,1.85
322,1429260,The Art of Getting By ,2353,English,USA,2011,6.6,2.35
842,,Zipper ,3408,English,USA,2015,5.7,2.35
