director_name,duration,gross,genres,actor_1_name,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Brad Bird,115,261437578,Action|Adventure|Animation|Family,Holly Hunter,The Incredibles ,0,http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1,815,723,8.0,2.35,0
Renny Harlin,124,11000000,Action|Adventure|Comedy,Christopher Masterson,Cutthroat Island ,3,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1,169,903,5.6,2.35,1000
Chris Columbus,118,88761720,Adventure|Family|Fantasy,Logan Lerman,Percy Jackson & the Olympians: The Lightning Thief ,0,http://www.imdb.com/title/tt0814255/?ref_=fn_tt_tt_1,419,3000,5.9,2.35,9000
Barry Sonnenfeld,98,250147615,Adventure|Comedy|Family|Mystery|Sci-Fi,Will Smith,Men in Black ,0,http://www.imdb.com/title/tt0119654/?ref_=fn_tt_tt_1,289,826,7.3,1.85,0
John Lasseter,82,245823397,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 2 ,2,http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1,515,1000,7.9,1.85,0
Tony Scott,98,81557479,Action|Thriller,Denzel Washington,Unstoppable ,1,http://www.imdb.com/title/tt0477080/?ref_=fn_tt_tt_1,326,3000,6.8,2.35,18000
Brett Ratner,90,226138454,Action|Comedy|Crime|Thriller,Mei Melançon,Rush Hour 2 ,2,http://www.imdb.com/title/tt0266915/?ref_=fn_tt_tt_1,394,165,6.6,2.35,0
Robert Zemeckis,130,155370362,Drama|Fantasy|Horror|Mystery|Thriller,Harrison Ford,What Lies Beneath ,0,http://www.imdb.com/title/tt0161081/?ref_=fn_tt_tt_1,683,627,6.6,2.35,0
Phil Lord,90,124870275,Animation|Comedy|Family|Sci-Fi,Will Forte,Cloudy with a Chance of Meatballs ,1,http://www.imdb.com/title/tt0844471/?ref_=fn_tt_tt_1,156,526,7.0,2.35,0
Carlos Saldanha,94,196573705,Action|Adventure|Animation|Comedy|Family,Denis Leary,Ice Age: Dawn of the Dinosaurs ,0,http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1,132,256,7.0,1.85,0
Ben Stiller,114,58229120,Adventure|Comedy|Drama|Fantasy|Romance,Adam Scott,The Secret Life of Walter Mitty ,1,http://www.imdb.com/title/tt0359950/?ref_=fn_tt_tt_1,515,806,7.3,2.35,70000
McG,94,125305545,Action|Adventure|Comedy|Crime|Thriller,Bill Murray,Charlie's Angels ,0,http://www.imdb.com/title/tt0160127/?ref_=fn_tt_tt_1,643,1000,5.5,2.35,0
Martin Scorsese,151,132373442,Crime|Drama|Thriller,Leonardo DiCaprio,The Departed ,0,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,2054,13000,8.5,2.35,29000
Tony Bancroft,88,120618403,Adventure|Animation|Family|Fantasy|Musical|War,Ming-Na Wen,Mulan ,0,http://www.imdb.com/title/tt0120762/?ref_=fn_tt_tt_1,222,500,7.5,1.66,12000
Ben Stiller,121,110416702,Action|Comedy,Robert Downey Jr.,Tropic Thunder ,3,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1,577,1000,7.0,2.35,0
David Fincher,158,102515793,Crime|Drama|Mystery|Thriller,Robin Wright,The Girl with the Dragon Tattoo ,1,http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1,632,1000,7.8,2.35,54000
John McTiernan,128,100012500,Action|Adventure|Thriller,Bruce Willis,Die Hard with a Vengeance ,1,http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1,346,559,7.6,2.35,0
Guy Ritchie,128,209019489,Action|Adventure|Crime|Mystery|Thriller,Robert Downey Jr.,Sherlock Holmes ,3,http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1,621,979,7.6,1.85,20000
Timur Bekmambetov,141,,Adventure|Drama|History,Morgan Freeman,Ben-Hur ,2,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,1,745,6.1,2.35,0
Gary Trousdale,95,84037039,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Leonard Nimoy,Atlantis: The Lost Empire ,0,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,289,802,6.8,2.35,0
