num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,budget,imdb_score
57,Mark Duplass,793352,Dianne Wiest,Darling Companion ,Sam Shepard,1,dog|marriage|search|wedding|woods,http://www.imdb.com/title/tt1730687/?ref_=fn_tt_tt_1,USA,,5.1
69,Kate del Castillo,214202,Zack Ward,Trade ,Alicja Bachleda,0,friend|girl|mexico city|new jersey|sex,http://www.imdb.com/title/tt0399095/?ref_=fn_tt_tt_1,Germany,12000000,7.5
73,Péter Fancsikai,195888,Marcell Nagy,Fateless ,Bálint Péntek,0,bus|death|gay slur|hatred|jewish,http://www.imdb.com/title/tt0367082/?ref_=fn_tt_tt_1,Hungary,2500000000,7.1
42,Albert Finney,175370,Bruce Willis,Breakfast of Champions ,Omar Epps,1,breakfast|manitoba|science fiction writer|suicide|writer,http://www.imdb.com/title/tt0120618/?ref_=fn_tt_tt_1,USA,12000000,4.6
101,Ni Yan,190666,Honglei Sun,A Woman, a Gun and a Noodle Shop ,Dahong Ni,1,betrayal|husband wife relationship|murder|noodles|salary,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,China,,5.7
82,Jeremy Northam,,David Hewlett,Cypher ,Kari Matchett,2,brainwashing|corporate espionage|spy|suburb|surprise ending,http://www.imdb.com/title/tt0284978/?ref_=fn_tt_tt_1,USA,7500000,6.8
149,Yuanyuan Gao,119922,Ye Liu,City of Life and Death ,Ryu Kohata,0,atrocity|battle|chinese|horseback riding|martial arts,http://www.imdb.com/title/tt1124052/?ref_=fn_tt_tt_1,China,12000000,7.7
165,Matt Jones,177343675,Jim Parsons,Home ,April Winchell,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,USA,135000000,6.7
5,Tom Arnold,,Jon Heder,Legend of Kung Fu Rabbit ,Rebecca Black,0,anthropomorphic animal|china|furry|rabbit,http://www.imdb.com/title/tt1876517/?ref_=fn_tt_tt_1,China,,3.2
44,Meisa Kuroki,,Takuya Kimura,Space Battleship Yamato ,Hiroyuki Ikeuchi,0,alien|battleship|message|radiation|yamato,http://www.imdb.com/title/tt1477109/?ref_=fn_tt_tt_1,Japan,12000000,6.1
74,Kenneth Cranham,17149,Richard Coyle,5 Days of War ,Ana Imnadze,9,cameraman|epic battle|journalist|south ossetia|street shootout,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,Georgia,20000000,5.6
156,Michael Dorman,,Rachael Carpani,Triangle ,Emma Lung,1,deja vu|lost at sea|ship|time loop|trapped in a time loop,http://www.imdb.com/title/tt1187064/?ref_=fn_tt_tt_1,UK,12000000,6.9
1,Kelly LeBrock,14616,Christopher Lambert,10 Days in a Madhouse ,Alexandra Callas,1,,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,USA,12000000,7.5
82,Connor Corum,91443253,Jacob Vargas,Heaven Is for Real ,Rob Moran,,based on true story|christ|christian|near death experience|pastor,http://www.imdb.com/title/tt1929263/?ref_=fn_tt_tt_1,USA,12000000,5.8
151,Brad Pitt,30093107,Jason Statham,Snatch ,Jason Flemyng,6,boxer|boxing|diamond|fight|gypsy,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,UK,6000000,8.3
3,Matt Marr,,Gary Daniels,Dancin' It's On ,Ginger Jensen,6,,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,USA,12000000,2.8
98,Fred Gwynne,57469179,Miko Hughes,Pet Sematary ,Denise Crosby,0,cat|cemetery|maine|secret|woods,http://www.imdb.com/title/tt0098084/?ref_=fn_tt_tt_1,USA,11500000,6.6
25,Tetsu Watanabe,48856,Tatsuo Matsumura,Madadayo ,Akira Terao,0,air raid|beer|birthday|japan|professor,http://www.imdb.com/title/tt0107474/?ref_=fn_tt_tt_1,Japan,11900000,7.5
35,Caroline Dhavernas,,Paddy Considine,The Cry of the Owl ,Charlotte Sullivan,2,isolated house|promotion|river|small town|stalking,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,UK,11500000,6.0
6,Ching Wan Lau,,Wei Tang,A Tale of Three Cities ,Hailu Qin,1,,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,China,12000000,6.2
183,Harry Carey Jr.,148170000,Phoebe Cates,Gremlins ,Zach Galligan,0,bright light|midnight|pet|small town|water,http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1,USA,11000000,7.2
282,Peter Cushing,460935665,Harrison Ford,Star Wars: Episode IV - A New Hope ,Kenny Baker,1,death star|empire|galactic war|princess|rebellion,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,USA,11000000,8.7
158,Zoey Deutch,35537564,Robert De Niro,Dirty Grandpa ,Jason Mantzoukas,1,female removes her clothes|fondling|voyeur|voyeurism|white panties,http://www.imdb.com/title/tt1860213/?ref_=fn_tt_tt_1,USA,11500000,6.0
