director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,country,content_rating,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
David Lean,181,227,767,87,607,192775,Jack Hawkins,8,arab|british military|desert|ottoman empire|t.e. lawrence,English,UK,PG,202,8.4,2.2,11000
Rob Zombie,220,119,0,593,908,36372,Margot Kidder,0,halloween|hospital|michael myers|rampage|vomiting,English,USA,R,764,4.9,1.85,3000
Jean-Marc Vallée,349,115,212,612,2000,86664,Gaby Hoffmann,1,female protagonist|grief|hiking|loss of mother|mother daughter relationship,English,USA,R,820,7.1,2.35,38000
Dennis Iliadis,241,114,29,616,956,67822,Martha MacIsaac,0,kidnapping|lake|microwave oven|psychopath|woods,English,USA,R,878,6.6,1.85,0
Clare Kilner,103,90,6,458,1000,38248,Holland Taylor,0,chick flick|escort|male escort|wedding|wedding date,English,USA,PG-13,650,6.1,1.85,0
Rick Rosenthal,151,94,28,731,2000,26905,Bianca Kajlich,5,cult film|halloween|killer|michael myers|serial killer,English,USA,R,864,4.1,2.35,0
Louis Leterrier,344,106,255,850,14000,229687,Alexa Davalos,0,famous line|hand to hand combat|kraken|rape|zeus,English,USA,PG-13,1000,5.8,2.35,15000
Rob Reiner,185,98,0,594,18000,294163,André the Giant,0,fairy tale|giant|pirate|princess|true love,English,USA,PG,636,8.1,1.85,33000
Denzel Washington,112,126,18000,697,18000,47626,John Heard,1,college|debate|student|texas|wiley college,English,USA,PG-13,2000,7.6,2.35,0
Nicolas Winding Refn,676,100,0,228,33000,431578,Russ Tamblyn,0,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,English,USA,R,745,7.8,2.35,81000
Sara Sugarman,74,89,10,231,811,23408,Glenne Headly,8,band|friend|new york city|suburb|teenager,English,Germany,PG,636,4.6,1.85,810
Nicholas Hytner,65,111,13,106,818,15582,Kali Rocha,0,baby|dancing|gay|name calling|penis slur,English,USA,R,511,6.0,1.85,849
Juan Carlos Fresnadillo,274,100,35,306,10000,212167,Catherine McCormack,1,paris france|rage|sniper|u.s. army|zombie apocalypse,English,UK,R,1000,7.0,1.85,0
Thomas Carter,50,115,49,100,116,12596,Ser'Darius Blain,0,coach|high school football,English,USA,PG,110,6.7,1.85,0
Wayne Wang,96,106,61,649,907,8427,Eva Marie Saint,5,10 year old|dog|florida|girl|supermarket,English,USA,PG,807,6.4,1.85,1000
Gina Prince-Bythewood,68,124,107,865,1000,14322,Omar Epps,0,basketball movie|female basketball player|high school|nba|title directed by female,English,USA,PG-13,886,7.2,1.85,0
George Armitage,111,107,5,141,893,73347,Mitchell Ryan,1,assassin|high school|high school reunion|reunion|suburb,English,USA,R,822,7.4,1.85,0
Phil Traill,128,99,3,628,14000,33088,Beth Grant,3,blind date|crossword puzzle|eccentric|fall|mine shaft,English,USA,PG-13,982,4.8,1.85,0
Joe Berlinger,160,90,31,162,193,28964,Kurt Loder,0,convenience store|digit in title|punctuation in title|violence|witch,English,USA,R,184,4.0,1.85,949
Andrew Fleming,93,101,26,266,838,57140,Brenda Strong,0,coven|occult|outcast|spell|witch,English,USA,R,328,6.2,1.85,6000
Woody Allen,278,119,11000,400,19000,166269,Penelope Wilton,3,extramarital affair|infidelity|irony of fate|surprise ending|tennis,English,UK,R,567,7.7,1.85,0
Elizabeth Allen Rosenbaum,81,103,20,125,512,13874,Jason Spevack,2,aunt|cat|death of pet|girl|no opening credits,English,USA,G,316,6.7,2.35,0
James Ivory,58,134,133,258,12000,45703,Ben Chaplin,1,butler|housekeeper|manor|servant|service,English,UK,PG,310,7.9,2.35,0
Paul Thomas Anderson,153,155,0,170,3000,189032,Nina Hartley,15,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,English,USA,R,360,7.9,2.35,0
Robert Harmon,25,94,11,232,1000,17074,Joss Ackland,0,business|escaped convict|farm|motorcycle|widow,English,USA,R,605,5.5,1.85,466
Michael Mayer,46,95,15,461,1000,6095,Tim McGraw,0,father son relationship|horse|horse ranch|ranch|wild mustang,English,USA,PG,786,6.2,2.35,1000
Martin Weisz,161,89,7,399,919,49721,Jacob Vargas,0,desert|fight|hill|murder|mutant,English,USA,R,557,5.1,2.35,0
John Ottman,108,97,83,579,912,13048,Jacinda Barrett,2,film set|movie set|sequel|slow motion|urban legend,English,USA,R,786,4.1,2.35,243
Jay Russell,69,90,13,613,882,17983,Jonathan Jackson,2,fountain of youth|immortality|secret|woods|young man,English,USA,PG,874,6.7,2.35,0
John Bonito,78,92,8,129,472,27486,Drew Powell,1,beating|marine|muscleman|tied up|tough guy,English,USA,PG-13,239,4.7,1.85,0
Peter Atencio,129,100,10,415,826,15385,Keegan-Michael Key,2,car chase|gangsta|gun fight|hitman|kitten,English,USA,R,622,6.4,2.35,0
Shana Feste,135,117,19,461,3000,14814,Tim McGraw,4,country music|panties|pink panties|relapse|songwriter,English,Official site,PG-13,646,6.3,2.35,0
David Nutter,96,84,119,918,989,17328,Katharine Isabelle,3,blue ribbon|high school|jacket|jock|yogurt,English,Australia,R,982,5.5,1.85,673
Derek Cianfrance,417,140,310,619,33000,187170,Angelo Anthony Pizza,3,bank|carnival|motorcycle|police|rookie cop,English,USA,R,748,7.3,2.35,47000
Roger Donaldson,172,108,79,537,775,50056,Will Patton,2,critically bashed|premarital sex|sex scene|sex standing up|stripper,English,USA,R,614,6.3,2.35,0
Stephan Elliott,88,109,11,159,471,13320,Geneviève Bujold,1,chicago illinois|false identity|femme fatale|new york city|spying,English,Canada,R,308,4.9,2.35,327
Kathryn Bigelow,388,131,0,383,10000,332065,Brian Geraghty,0,army|bomb|dangerous job|death|iraq,English,USA,R,602,7.6,1.85,16000
Mark L. Lester,45,114,73,563,695,22797,David Keith,1,captain|experiment|fire|psychic|secret government agency,English,USA,R,654,6.0,2.35,0
Andrew Dominik,414,97,181,748,11000,111625,Ben Mendelsohn,1,exploding car|hit by a car|poker game|punched in the face|shot to death,English,USA,R,820,6.2,2.35,20000
Anton Corbijn,291,122,210,123,22000,57210,Homayoun Ershadi,3,intelligence|intelligence agency|secret service|surveillance camera|war on terror,English,UK,R,164,6.8,2.35,13000
Tom Green,97,87,374,484,826,39788,Eddie Kaye Thomas,1,animator|bamboo cane|cartoonist|sausage|slacker,English,USA,R,503,4.5,1.85,0
Mike Nawrocki,37,85,12,23,354,2037,Phil Vischer,0,17th century|king|pirate|vegetable|waiter,English,USA,G,173,5.7,1.85,175
Catherine Owens,68,85,0,44,468,2673,Larry Mullen Jr.,0,3d in title|digit in title|rock band|rocker|u2,English,USA,G,67,8.4,1.78,116
Douglas Aarniokoski,90,101,36,377,1000,16340,Adam Copeland,1,battle|explosion|immortal|revenge|sequel to cult film,English,USA,R,786,4.6,2.35,356
Bryan Barber,81,121,16,526,907,4603,Bobb'e J. Thompson,4,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,English,USA,R,585,6.2,2.35,489
Lone Scherfig,221,107,92,358,11000,106111,Rafe Spall,0,23 year time span|accidental death|best friend|loss of loved one|male female friendship,English,USA,PG-13,5000,7.0,2.35,49000
Drew Barrymore,230,111,0,727,796,55665,Alia Shawkat,1,beauty pageant|friend|pageant|roller derby|texas,English,USA,PG-13,787,6.9,2.35,10000
Brian Koppelman,57,92,34,366,14000,19768,Kevin Gage,1,mob|mobster|money|montana|sheriff,English,USA,R,442,6.1,2.35,566
James Foley,119,97,164,308,436,30643,Leland Orser,3,con|grifter|lap dance|organized crime|shot in the forehead,English,USA,R,324,6.7,2.35,622
Albert Brooks,97,97,745,745,12000,9294,Albert Brooks,2,directed by star|muse|satire|screenwriter|tiffany's,English,USA,PG-13,821,5.6,1.37,251
Irwin Winkler,119,125,34,65,427,9649,Sandra Nelson,7,cole porter|composer|love|party|tears,English,USA,PG-13,66,6.6,2.35,1000
Woody Allen,42,124,11000,563,11000,13692,Mia Farrow,0,12 year old|artist|hotel|three word title|written and directed by cast member,English,USA,PG,860,6.4,1.85,877
Steve Gomer,24,76,9,47,595,2724,Shirley Douglas,0,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,English,Canada,G,417,2.8,1.85,436
RZA,208,107,561,353,746,53471,Daniel Wu,3,blacksmith|box office flop|chop socky|critically bashed|village,English,USA,R,561,5.4,2.35,29000
Dean Parisot,42,91,23,629,925,7159,Shelley Duvall,2,baby|infidelity|pilot|pregnant|waitress,English,USA,PG-13,660,5.0,1.85,247
Mark Piznarski,44,96,4,670,989,7403,Elaine Hendrix,1,diner|love|private school|school|small town,English,USA,PG-13,841,5.1,1.85,648
Terry Gilliam,230,142,0,1000,22000,152306,Jim Broadbent,0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,English,UK,R,5000,8.0,1.85,16000
Sean McNamara,46,103,80,782,1000,22649,Jason Ritter,0,music school|scholarship|small town|stage fright|three word title,English,USA,PG,872,5.9,2.35,1000
,18,60,,186,443,7122,Chris Bruno,1,psychic|psychic power|psychometry|spin off|supernatural power,English,Canada,TV-14,319,7.5,,576
Joel Coen,249,117,0,12000,22000,537419,Steve Buscemi,1,death|drug|nihilism|rug|white russian,English,USA,R,12000,8.2,1.85,35000
Craig Brewer,197,116,153,539,3000,52421,S. Epatha Merkerson,0,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,English,USA,R,788,7.0,2.35,0
Ron Shelton,71,118,41,274,556,17261,Michael Michele,1,corrupt|criminal|investigation|lapd|police,English,USA,R,463,6.6,2.35,455
Michael Winterbottom,190,108,187,254,11000,24150,Dan Futterman,0,fbi|journalist|missing|pakistan|reporter,English,USA,R,883,6.7,2.35,923
David Raynr,50,94,9,612,11000,8055,Marla Sokoloff,4,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,English,USA,PG-13,897,5.5,1.85,816
Mort Nathan,63,97,2,461,890,26598,Bob Gunton,4,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,English,USA,R,852,4.9,1.85,1000
Oliver Parker,104,97,32,692,14000,18966,Rupert Everett,5,comedy of manners|false identity|farce|love|period drama,English,UK,PG,1000,6.9,2.35,0
Dan Curtis,,99,45,224,1000,1465,Estelle Parsons,1,antique|desk|letter|love|time travel,English,USA,Unrated,393,7.4,1.33,515
Wil Shriner,49,91,6,596,8000,6562,Tim Blake Nelson,0,fight|florida|montana|owl|school,English,USA,PG,625,5.6,1.85,647
Martin McDonagh,300,107,454,39,65,307639,Eric Godon,1,bruges|bullet|hope|irish|tourist,English,UK,R,49,8.0,2.35,32000
Tina Gordon Chism,43,95,24,426,931,4065,Diahann Carroll,6,african american,English,USA,PG-13,539,5.3,2.35,0
Peter Cattaneo,132,102,11,1000,15000,32311,Josh Gad,4,20 years later|drummer|hdtv|rock band|rock star,English,USA,PG-13,14000,6.2,1.85,0
Vicky Jenson,97,88,96,360,24000,11498,Bobby Coleman,1,graduation|graduation speech|title directed by female|tv studio|unemployment,English,USA,PG-13,971,5.3,1.85,0
Gus Van Sant,242,106,835,363,13000,30284,Terry Kinney,1,corporate greed|corporation|natural gas|salesman|small town,English,USA,R,826,6.6,1.85,10000
Woody Allen,218,92,11000,386,860,58967,Conleth Hill,1,atheist|limp|quantum mechanics|religion|runaway,English,USA,PG-13,658,7.2,1.85,10000
