director_name,actor_3_facebook_likes,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country
Gilles Paquet-Brenner,121,Kristin Scott Thomas,2140,2,http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1,73,France
Peter Cousens,124,Sharon Leal,994,2,http://www.imdb.com/title/tt2584018/?ref_=fn_tt_tt_1,13,USA
Clint Eastwood,638,Clint Eastwood,28544,1,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,495,USA
Lars von Trier,236,Bryce Dallas Howard,4211,1,http://www.imdb.com/title/tt0342735/?ref_=fn_tt_tt_1,81,Denmark
Danny Boyle,40,Anil Kapoor,820,0,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,1017,UK
Adrian Lyne,249,Fred Gwynne,1639,0,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,201,USA
Garry Marshall,700,Julia Roberts,11135,2,http://www.imdb.com/title/tt0100405/?ref_=fn_tt_tt_1,271,USA
John Blanchard,176,Martin Short,1125,2,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1,,Canada
John Cornell,57,Paul Hogan,717,1,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,62,Australia
Vidhu Vinod Chopra,277,María Valverde,2055,0,http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1,20,USA
Oliver Stone,560,Tom Cruise,12098,0,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,173,USA
Jon Turteltaub,496,Doug E. Doug,2496,1,http://www.imdb.com/title/tt0106611/?ref_=fn_tt_tt_1,97,USA
Patrick Lussier,725,Jensen Ackles,14159,0,http://www.imdb.com/title/tt1179891/?ref_=fn_tt_tt_1,268,USA
Ole Bornedal,309,Kyra Sedgwick,2348,0,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,162,USA
Ted Kotcheff,535,Sylvester Stallone,15192,1,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,376,USA
Sylvain White,748,Chris Brown,3544,0,http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1,162,USA
Lewis Gilbert,238,Caroline Munro,1326,2,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,275,UK
