duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes
99,455,16000,2812029,664719,28994,931,R,1992,12000
83,51,94,,1047,293,25,Approved,1940,62
142,24,16000,6100000,503509,16089,780,Approved,1966,34
112,4,61,375723,7025,76,26,R,2015,9
108,274,1000,594904,2582,1805,89,PG-13,2012,330
88,3,268,58936,91,318,4,R,2001,44
97,,,24784,591,0,10,Not Rated,2011,
85,924,49000,7826,132,54484,2,,2007,931
103,24,34,,4068,114,16,,2011,29
110,0,3,3830,27,5,1,,2013,2
88,95,690,,2953,1438,38,PG-13,2003,316
76,227,387,,9560,1190,35,R,2008,295
100,94,843,,3418,1621,52,Approved,1936,490
99,5,721,,652,862,11,R,2011,134
84,63,380,,1321,630,51,R,2012,91
91,117,584,2850263,5061,1218,70,PG,1993,399
97,148,586,,1172,1581,27,R,1970,434
84,475,10000,,742,11257,7,R,2015,500
100,312,498,,71,1810,2,,2015,350
94,804,16000,16101109,76467,19957,236,R,2005,1000
90,68,680,6013,39929,1311,207,,2004,404
,206,511,,726,1617,6,,,457
92,147,448,1400000,1324,1329,37,R,1987,426
105,,,247740,285,0,8,,2002,
73,3,14,39659,1555,21,32,,2002,4
116,25,412,,2050,521,36,PG,2006,48
110,48,434,56129,6555,645,82,R,2010,95
102,60,1000,4105123,148221,1445,316,R,2011,342
89,252,1000,,737,2510,15,R,2010,745
76,0,12,,332,12,10,R,2013,0
82,269,2000,,387508,3442,1123,PG,1942,607
89,5,12,,9465,29,85,R,2008,5
150,20,964,,11010,1052,35,,2009,22
89,42,844,,20678,1080,199,GP,1972,184
145,794,13000,117235247,375240,16094,542,PG,1976,1000
91,9,321,,512,622,2,Not Rated,2014,287
89,606,2000,21378000,46493,4878,335,R,1980,826
121,69,883,,8508,1371,56,Unrated,1963,269
83,142,707,31537320,44329,1565,309,R,2014,305
110,595,22000,,507063,23525,881,R,1976,745
91,725,1000,17986000,22773,4438,195,R,1981,823
110,177,650,16067035,116642,1421,389,Approved,1962,275
86,300,1000,18112929,52642,2665,271,R,2012,466
86,100,266,14564027,76407,673,335,R,1987,209
120,295,634,20773070,4501,1810,102,PG,2016,420
90,683,1000,10042266,23021,3155,220,PG-13,2005,989
99,3,43,10037390,5442,53,140,PG,1999,3
112,616,33000,9701559,141425,35941,283,R,2010,2000
103,226,2000,9013113,36321,3192,230,R,2005,508
83,128,403,53245055,30570,988,290,R,2012,169
109,44,503,9000000,7584,731,137,X,1970,46
89,102,356,,2636,831,36,,1956,110
96,,861,23808111,67654,929,504,PG,2006,68
109,88,183,,7346,510,69,Approved,1949,102
122,184,543,5355376,9638,1218,67,PG-13,2008,426
100,389,640,7186670,21468,2082,164,R,2013,550
109,30,202,,162,283,5,,2015,47
95,365,422,5997134,36381,1899,126,R,2012,374
94,2,37,4417124,42389,42,183,PG,2008,3
107,245,544,5355847,6110,1147,82,PG-13,2011,264
104,458,22000,3386698,4195,23461,86,R,1998,472
96,973,24000,143492840,414345,28817,881,PG-13,2007,3000
93,180,3000,5283379,31254,3986,79,R,2014,439
102,287,321,2981638,40425,1263,186,R,2011,300
84,313,612,3122616,16594,1587,73,R,2014,457
97,229,496,2508841,21746,994,93,R,2008,238
91,13,130,4946250,9540,198,80,PG-13,2013,19
84,13,21000,1950218,5933,21124,102,R,1997,104
86,584,778,1277257,2629,2400,32,R,1996,695
91,121,1000,45857453,82232,2323,174,R,1997,891
92,5,783,1677838,11283,1447,155,PG,2006,659
94,428,1000,1744858,6084,3085,120,R,2000,826
92,124,1000,,38893,1587,366,R,2002,282
103,543,2000,80021740,47988,5497,154,PG,2015,1000
100,6,245,982214,1976,295,51,R,1998,38
119,25,957,798341,983,1107,63,PG-13,2001,81
167,97,353,610991,2715,773,19,,2000,186
92,842,1000,,36559,3931,131,R,1981,898
92,194,406,582024,30396,904,168,NC-17,1997,203
108,463,11000,548712,9233,12385,126,R,2003,552
97,301,611,464655,1524,1692,29,R,1997,394
88,275,638,464126,3142,1641,68,R,2002,400
100,268,844,428535,505,2289,32,R,2000,625
100,145,11000,750100,19752,12234,61,R,2013,733
124,7,20,621240,4999,42,32,,2009,13
88,772,1000,104077,46076,4720,88,R,2006,835
106,11,7000,334658,75633,7098,160,R,2014,71
79,551,855,279282,3806,2489,49,PG-13,2003,577
135,310,873,43982842,125114,2369,593,PG-13,2009,559
96,0,3,484221,23836,6,107,Not Rated,2012,3
53,23,141,274661,10564,313,40,R,2007,125
97,5,102,144431,1290,118,13,PG-13,2006,7
120,0,12,227241,56,15,2,Unrated,2004,3
90,679,978,112521,455,3258,16,PG-13,2000,922
91,9,53,287761,2482,86,16,PG,2013,24
93,0,20,100240,1220,28,11,G,2014,8
112,891,260000,96734,606,263584,5,PG-13,2012,984
160,219,724,49000,1524,2024,30,,2005,668
95,725,969,100659,30160,3833,193,R,2009,962
93,271,443,48430,20176,1452,73,R,2010,298
88,117,499,21210,2735,1141,52,R,1998,230
105,73,590,,1434,1042,43,R,1999,231
98,14,96,22434,334,196,17,R,1996,71
82,490,2000,12996,1938,3905,54,R,2000,571
89,256,386,,397,1647,6,,2009,261
78,61,262,10018,3228,509,31,Not Rated,2006,163
97,150,446,62480,1048,928,7,R,2015,171
81,394,975,6387,4862,2694,37,R,2006,645
90,422,491,5494,377,2633,13,R,1997,490
97,94,639,,534,1188,9,R,2005,361
88,176,563,721,783,1284,12,R,2006,288
96,4,474,703,480,920,21,R,2001,436
105,8,327,,3499,351,15,Not Rated,2013,9
,4,7,,876,19,15,,2015,5
76,228,442,,9190,1635,75,Not Rated,2006,403
96,396,782,,1359,2607,8,,2014,490
99,131,363,,1420,997,26,R,2006,275
90,106,984,,1612,1752,28,R,2009,157
94,47,694,,340,964,7,,1965,196
87,149,767,,275,1593,22,PG,2004,282
93,904,34000,,3943,52113,24,R,2008,17000
90,171,1000,,33,1996,,R,2008,618
89,23,199,,3650,292,39,R,2009,37
83,317,458,,634,1549,14,PG-13,2012,383
96,0,90,,955,90,7,Unrated,2014,0
90,360,898,,982,2116,12,,2011,395
138,110,592,,293,1350,1,PG-13,2009,207
84,402,10000,,93,11466,6,PG-13,2014,854
83,37,224,,6531,344,47,R,2012,59
96,177,335,,6513,1226,41,Not Rated,2012,334
94,0,92,,425,109,24,,2006,17
90,36,57,,137,231,16,,2014,40
95,253,677,,6256,1825,19,R,2015,366
93,115,214,,2057,656,30,Not Rated,2013,211
111,426,657,,207,2677,1,PG,2014,608
101,888,3000,2319187,92640,5056,212,R,2013,1000
103,113,754,,4998,1567,55,PG,1968,605
87,302,696,,6265,1618,56,R,2013,371
30,223,775,,954,1713,14,,,275
100,354,529,,7870,2468,64,Not Rated,2014,413
90,558,1000,,443,2504,4,,2007,569
83,17,56,,265,104,3,,2014,28
108,279,10000,9600000,100890,11094,281,Not Rated,1954,416
100,501,945,20186,6025,2924,15,R,2011,756
113,27,131,1185783,44763,264,172,Not Rated,2007,60
97,76,1000,,139,1343,3,,2015,171
104,0,109,1007962,131969,117,651,R,2005,8
91,659,982,381186,13485,3299,90,R,2005,796
107,127,144,439958,6277,509,43,R,2011,127
85,88,282,16097842,53919,687,168,R,2013,270
101,727,975,6643,11965,4184,39,R,2012,947
70,8,16,102797150,94225,63,136,Approved,1942,12
88,102,465,442638,5489,897,23,R,2007,140
112,874,12000,42919096,64748,15800,122,PG-13,2013,1000
107,522,23000,819939,14580,26017,252,R,2003,813
78,0,0,,19,0,2,,2011,0
90,734,904,,122,5435,3,R,2013,782
88,567,938,1243961,13421,3770,34,R,2012,904
92,172,904,3094687,24391,1751,61,R,2012,517
95,221,284,15278,1742,1185,158,PG,2002,234
85,141,418,,7308,926,72,R,2006,146
86,175,489,,2706,1278,23,,2015,207
90,487,1000,,169,3336,6,,2015,806
123,620,786,7098492,151812,2501,264,PG-13,2011,712
93,10,49,,190,81,6,,2009,11
88,236,529,4771000,26513,1502,174,R,1995,502
114,86,159,1001437,2039,423,28,R,1993,143
88,68,302,2073984,4743,663,135,R,2002,270
110,3,426,9950,7431,455,84,Not Rated,1929,20
95,167,940,,59,1484,1,,2008,188
83,0,24,,772,29,11,Unrated,2004,5
104,501,574,144583,2256,1983,79,R,1999,573
94,181,262,,3480,991,30,R,2003,262
87,258,1000,58163,122,2359,3,R,2000,749
93,152,247,35688,4167,954,72,Not Rated,2014,217
91,13,35,41709,54601,116,200,Not Rated,2009,16
90,69,214,1310270,17725,587,157,PG-13,2003,115
14,37,134,,292,315,3,,2012,93
112,425,11000,115000000,63839,14954,238,PG,1973,2000
75,0,25,,1477,25,24,,2006,0
86,357,2000,5518918,12160,3071,73,R,2007,424
86,522,934,4007792,101287,2714,260,R,2012,830
89,95,312,7705974,3543,548,8,R,2011,135
95,246,513,26297,25750,1269,209,Not Rated,2011,257
101,74,969,77501,27260,1252,247,R,2011,128
89,389,10000,42638165,42183,12183,230,PG-13,2009,787
106,48,319,,17813,500,101,R,1970,90
88,21,108,47329,1661,243,31,R,2002,72
99,201,1000,18378,9376,1558,74,R,2008,233
90,280,935,,25951,2170,129,R,2006,611
95,118,717,,851,1117,30,R,2009,134
85,433,998,,80193,2496,333,PG,1952,575
170,2,7,7830611,18980,15,74,PG-13,1994,6
86,14,262,3278611,2877,321,46,PG-13,2005,23
,567,22000,,3089,26578,11,,2014,4000
97,36,80,1141829,8509,209,109,NC-17,2001,67
104,195,601,,1354,1581,17,PG-13,2014,524
88,311,618,,551,2476,10,PG-13,2009,592
201,84,6000,218051260,316027,7122,2618,PG-13,2005,918
108,324,730,32048809,94463,2160,576,R,2005,716
106,71,33000,2694973,70885,33734,189,R,2006,519
107,236,752,10508,103,1763,6,PG-13,1998,282
84,48,465,2301777,819,714,36,R,1997,170
91,137,696,,514,1210,1,,2015,320
90,432,977,169719,7384,2483,79,Not Rated,2013,511
103,442,628,,474,1683,8,,2009,474
71,21,1000,,5,1359,1,,2014,338
90,258,523,,3699,1553,27,PG-13,2012,385
67,2000,260000,,344,283939,5,,2013,21000
94,912,956,,1432,4767,19,,2015,945
81,23,610,3000000,13269,824,98,Approved,1935,172
81,39,170,140530114,186786,399,3400,R,1999,170
215,136,262,13300000,12631,778,63,R,1970,227
83,11,119,,13915,190,109,R,1977,29
106,254,602,171988,448,1281,16,PG-13,2000,266
103,20,23,23616,94,85,4,PG-13,2007,20
90,218,919,13493,531,2288,19,R,1998,711
88,359,601,79043,85,2241,,Not Rated,2013,371
105,0,0,,74,0,2,,2015,0
115,0,0,,204,0,13,,2002,0
90,271,595,,6,1754,1,PG-13,2014,412
102,2,541,,389,553,1,,2016,8
98,233,587,,719,1707,9,,2013,448
87,704,785,515005,31429,2538,219,Approved,1964,725
80,,,2245,57,0,2,,2011,
88,221,2000,,487,2996,9,R,1983,433
83,0,0,,86,0,2,,2015,0
122,150,848,33451479,17068,1164,215,PG,2008,153
115,0,0,,113,0,3,,2013,0
86,142,407,39552600,3411,1090,36,G,1974,189
79,7,48,30500882,42256,67,916,R,2003,10
87,201,833,,1305,2295,3,R,2011,523
97,22,423,17000000,3274,516,84,PG,1977,23
105,0,0,8044906,3156,0,65,PG,2005,0
89,587,22000,5739376,58260,24419,286,R,2003,833
120,234,984,3773863,4583,2563,55,PG-13,2009,801
94,2,196,3117666,3394,382,43,PG,2006,184
108,43,54,2047570,6790,194,80,R,1999,44
102,15,69,1250798,1099,161,53,PG,2002,24
83,0,30,1127331,7559,30,77,PG-13,2003,0
93,59,399,906666,154,660,5,Unrated,2011,169
86,17,328,1114943,3562,407,74,R,2000,27
101,17,69,1111615,651,155,34,PG,2003,34
111,482,980,985341,3479,3166,87,R,1999,505
90,595,710,603943,26407,2655,154,R,2004,634
86,474,659,334041,1038,2322,21,R,1997,529
98,658,22000,295468,709,24382,34,R,2001,1000
91,469,597,243347,553,2555,24,R,2002,485
91,213,778,154077,6884,1440,53,R,2005,327
90,243,10000,342936,45928,20480,106,R,2013,10000
88,49,342,151389,774,483,7,,2012,79
202,4,304,269061,229012,338,596,Unrated,1954,8
89,8,14,133778,3086,44,9,Not Rated,2012,9
97,329,11000,,3013,11839,24,R,1991,422
84,143,239,52850,1656,734,12,Not Rated,2007,172
82,196,353,98017,26185,1498,170,R,2010,248
94,183,17000,177343675,70136,17883,214,PG,2015,523
100,325,396,31937,1358,2310,10,R,2007,326
112,699,33000,13134,2004,35294,32,R,2002,1000
94,113,660,237301,75669,1118,451,R,2010,280
87,347,584,,299,1924,11,PG,2005,507
91,170,472,12055,739,1047,10,PG-13,2007,185
87,445,552,1332,2038,2251,20,Not Rated,2012,533
98,0,4,,2097,8,9,,2006,4
95,25,30,,1006,119,11,,2006,27
87,637,991,,601,3309,10,R,2000,946
102,118,991,316842,15756,2099,68,R,2014,943
127,0,2,,16,2,3,,2005,0
96,205,387,,38,1235,3,,2014,244
103,680,25000,,26863,26999,54,PG-13,2012,766
104,238,685,,2012,2102,28,R,2012,492
90,569,970,,22,3359,,,2015,812
122,152,358,,292,1038,16,R,2015,317
93,135,1000,37188667,34219,1531,578,PG-13,2002,188
90,120,322,,5025,630,45,R,2011,178
101,15,159,,197,206,1,R,2012,15
94,212,918,,60,2091,2,PG-13,2016,402
97,303,636,,259,2438,20,,2016,456
90,33,84,,30,254,1,R,2014,41
108,317,466,,62,1628,4,PG,2016,431
82,0,0,21199,40,0,10,,2014,0
84,53,385,,15,683,1,,2016,169
130,11000,44000,234903076,175413,73441,511,PG,2013,15000
91,10,488,,19253,553,147,Unrated,1984,11
91,10,353,2712293,475,380,11,R,1991,12
107,80,773,768045,19732,976,120,R,2002,89
82,237,472,,53,1752,5,R,2015,251
84,446,10000,379122,10143,12496,54,R,2005,651
103,49,907,23000,5931,1411,58,Unrated,2006,365
86,304,873,,64,2830,3,,2013,469
89,45,610,2300000,7921,995,97,Unrated,1933,105
52,0,8,,78,10,10,G,2014,2
98,3,88,2938208,7143,173,52,PG-13,1990,74
133,19,690,9910,13543,774,94,,2004,24
