num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,num_user_for_reviews,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score
67,533,Sean Pertwee,933,Connie Nielsen,Soldier ,2542,373,R,75000000,1998,722,6.0
130,394,Kiernan Shipka,3000,Christopher Meloni,Carriers ,4368,119,PG-13,,2009,552,6.0
74,637,Bridget Fonda,3000,Brendan Fraser,Monkeybone ,5580,171,PG-13,75000000,2001,889,4.7
114,568,Tony Curran,2000,Dennis Quaid,Flight of the Phoenix ,4397,222,PG-13,45000000,2004,845,6.1
294,963,Bruce Willis,18000,Robin Wright,Unbreakable ,33645,1344,PG-13,75000000,2000,13000,7.2
308,1000,Jon Hamm,7000,Steve Carell,Minions ,13616,275,PG,74000000,2015,4000,6.4
435,826,Abbie Cornish,4000,Jon Hamm,Sucker Punch ,7067,918,PG-13,82000000,2011,2000,6.1
117,697,Mike Starr,12000,Nicolas Cage,Snake Eyes ,15269,241,R,69000000,1998,854,5.9
108,215,James Pickens Jr.,548,Peter Coyote,Sphere ,1044,274,PG-13,75000000,1998,270,6.0
141,415,Josh Gad,22000,Peter Dinklage,The Angry Birds Movie ,24350,126,PG,73000000,2016,1000,6.3
176,715,Ray Winstone,11000,Matthew McConaughey,Fool's Gold ,13827,138,PG-13,70000000,2008,1000,5.6
230,130,RZA,11000,Adam Sandler,Funny People ,11852,301,R,75000000,2009,561,6.4
234,461,Frances Fisher,3000,Jennifer Garner,The Kingdom ,5187,289,R,70000000,2007,638,7.1
164,989,Leslie Bibb,8000,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby ,12410,437,PG-13,73000000,2006,1000,6.6
91,574,Jeffrey Jones,1000,Raven-Symoné,Dr. Dolittle 2 ,3287,79,PG,72000000,2001,692,4.6
132,403,Patrick McGoohan,906,Mhairi Calvey,Braveheart ,1976,1065,R,72000000,1995,466,8.4
262,210,Brian Geraghty,15000,Jake Gyllenhaal,Jarhead ,15850,657,R,70000000,2005,383,7.1
299,433,Yeardley Smith,745,Albert Brooks,The Simpsons Movie ,3086,763,PG-13,75000000,2007,440,7.4
128,745,Hal Holbrook,940,Martin Landau,The Majestic ,4310,376,PG,72000000,2001,826,6.9
109,462,Estella Warren,13000,Sylvester Stallone,Driven ,14780,346,PG-13,72000000,2001,658,4.5
88,8,Jean-Claude Dreyfus,21,David Gant,Two Brothers ,55,124,PG,59660000,2004,17,7.1
261,882,Judy Greer,3000,Bryce Dallas Howard,The Village ,7273,2003,PG-13,60000000,2004,2000,6.5
73,595,Raven-Symoné,1000,Oliver Platt,Doctor Dolittle ,4166,98,PG-13,71500000,1998,1000,5.3
208,242,Merritt Wever,710,Rory Culkin,Signs ,1675,2335,PG-13,72000000,2002,529,6.7
205,48,Jennifer Saunders,692,Rupert Everett,Shrek 2 ,1148,483,PG,150000000,2004,309,7.2
