actor_1_facebook_likes,country,aspect_ratio
1000,USA,2.35
907,USA,2.35
11000,USA,2.35
796,USA,2.35
14000,USA,2.35
436,USA,2.35
12000,USA,1.37
427,USA,2.35
11000,USA,1.85
595,Canada,1.85
746,USA,2.35
925,USA,1.85
989,USA,1.85
22000,UK,1.85
1000,USA,2.35
443,Canada,
22000,USA,1.85
3000,USA,2.35
556,USA,2.35
11000,USA,2.35
11000,USA,1.85
890,USA,1.85
14000,UK,2.35
1000,USA,1.33
8000,USA,1.85
65,UK,2.35
931,USA,2.35
15000,USA,1.85
24000,USA,1.85
13000,USA,1.85
860,USA,1.85
477,USA,1.85
572,France,2.35
49000,France,1.85
21000,USA,2.35
890,USA,1.85
6000,France,1.85
837,USA,2.35
12000,USA,1.85
10000,UK,2.35
857,USA,1.78
918,Spain,2.35
876,USA,2.35
783,USA,2.35
6000,USA,1.85
192,Cambodia,2.35
5000,Canada,2.35
136,Germany,1.33
510,France,2.35
12000,USA,1.85
1000,Taiwan,1.37
936,UK,2.35
20,Russia,1.85
64,Thailand,2.35
13000,UK,2.35
825,Canada,2.35
14000,USA,2.35
549,South Africa,
17000,USA,2.35
776,Germany,2.35
1000,USA,1.85
735,Slovakia,2.35
14000,South Africa,
1000,Bulgaria,2.35
179,Germany,1.78
61,Italy,
556,Hong Kong,2.35
631,UK,
13000,USA,1.85
20000,USA,2.35
29000,USA,2.35
1000,France,2.35
467,USA,
16000,USA,2.35
3000,Denmark,2.35
668,UK,2.35
886,USA,1.85
8000,USA,1.85
770,Canada,1.33
442,Australia,2.35
892,USA,2.35
10000,USA,2.35
953,USA,1.85
10000,USA,1.85
941,USA,2.35
13000,USA,2.35
997,USA,2.35
456,UK,2.35
155,USA,
975,USA,2.35
18000,USA,1.85
849,USA,2.35
327,USA,1.85
8000,USA,1.85
11000,UK,2.35
23,USA,1.85
592,USA,1.85
706,USA,2.35
723,USA,1.85
931,USA,1.85
874,UK,2.35
869,USA,1.85
26000,USA,2.35
953,USA,2.35
3000,USA,1.85
718,Italy,1.85
1000,USA,1.85
22000,USA,1.66
1000,USA,1.85
12000,USA,1.85
1000,USA,1.85
934,USA,1.85
12000,USA,2.35
878,USA,2.35
962,USA,2.35
413,France,1.85
14000,USA,2.35
12000,USA,2.35
10000,USA,1.85
543,France,2.35
159,USA,1.85
423,France,1.85
14000,UK,2.35
