actor_2_name,facenumber_in_poster
Mila Kunis,4
Mark Torgl,0
George T. Odom,4
Nicholas Farrell,0
Dennis L.A. White,6
Thomas Lennon,0
Lloyd Kaufman,0
Cheyenne Jackson,1
Dick Powell,2
Jack Canfield,0
Taylor Nichols,1
Frida Hallgren,15
Ace Marrero,0
Diedrich Bader,0
Eve Plumb,0
Ashley Palmer,0
Jay Adams,0
Michael Palin,0
Jesse Garcia,1
Sue Corcoran,2
Masi Oka,4
Jonathan Caouette,3
Chris Cox,0
Paul Elia,3
David Warbeck,0
Ron Lynch,0
Andrew Daly,2
Jeff Seymour,0
Roshan Seth,1
Adam LeFevre,0
Michelle Nolden,0
Ingrid Thulin,0
Mae Marsh,1
DeForest Kelley,1
Bessie Love,8
Betsy Baker,0
Nora Arnezeder,0
,0
Joe Bishop,1
Steve James,0
Ellen Block,2
Tracy Spiridakos,6
Natalie Welch,2
Donald Pleasence,0
Lee J. Cobb,1
Peter Gerety,0
Alan Hale,1
Mary Tsoni,0
Gary Coleman,0
Janet McTeer,1
Adam Goldberg,0
Zinedine Soualem,7
Adrian Martinez,3
Mark Caven,0
Lucy,2
Lucy,1
Edie Falco,0
Anna Karina,1
Beatrice Ntuba,1
,0
Gloria Foster,1
Eli Marienthal,0
Eddie Jones,0
Alexander Wraith,0
T.V. Carpio,0
Elizabeth Stenholt,0
David Carradine,0
Ricky Schroder,3
Wilhelm von Homburg,0
Joanna Cassidy,7
Pierre Prieur,0
Carmen Argenziano,0
Barry Bostwick,2
Matt Servitto,0
Ethan Suplee,5
Brenda Blethyn,3
Robert Miano,2
Jason Tobin,1
Laurel Holloman,0
Mike White,0
Rizwan Manji,2
Nicholas Simmons,0
Julian Richings,0
Frances O'Connor,1
Bill Martone,0
Anne Archer,1
Charlie Bewley,1
Steffinnie Phrommany,0
Rosanna Arquette,2
Clint Jordan,1
Gus Van Sant,0
James Norton,1
Flaco Navaja,3
Natalie Canerday,0
Luke Mably,0
Samantha Buck,0
Mark Hengst,0
Lorne Cardinal,1
Marty Lindsey,0
Derek Brandon,2
Kate Flannery,5
June Lockhart,0
Steve Duin,2
Brit Morgan,1
Campbell Scott,1
Dana Blackstone,6
Robert Davi,0
Renée Adorée,0
Jacob Zachar,0
Brock Baker,3
James Lance,0
Vivian Lamolli,0
Donald Austin,0
Josh Hamilton,1
Nancy Ison,0
Cecil Kellaway,0
Robert J. Wilke,0
Steve Bisley,0
Alex Désert,0
Gian Maria Volontè,1
Gilbert Roland,1
Jasper Johal,0
Chris Thomas,7
David Oyelowo,2
Sebastian Schipper,0
Leo Rossi,0
Natasha Bedingfield,3
David Costabile,0
Stevan Mena,0
Adam Rifkin,0
Ryan Kennedy,0
Jennifer Lafleur,0
Victoria Lachelle,0
Bertrand Cantat,0
Sylvia Eckhausen,0
Martin Starr,0
John Billingsley,0
Evelyn Jefferson,0
Jordan Bridges,1
Chase Masterson,3
Robert Turano,0
Robin Bartlett,0
Alex Emanuel,1
Amir Farrokh Hashemian,0
Chris New,0
Joie Lee,0
Stacie Evans,0
Ana Maria Guran,1
William Mapother,1
Ellen Burstyn,2
Mario Van Peebles,1
Joe Lev,3
Aaron Stanford,2
Markéta Irglová,0
Eugene Roche,0
Rowan Isaacson,0
Martin Compston,0
Bill Allen,0
Edwin Neal,0
Bill Melendez,0
Hugh Ducklow,0
Jesse Jane,0
Xinhua Jiang,0
Pat Boone,0
Ruby Dee,1
Hassan Johnson,0
James Urbaniak,0
,1
,1
Mike Birbiglia,2
Valentine,2
David Hewlett,2
David Hewlett,2
Duane Jones,5
Macha Méril,0
Nate Parker,1
Frank Gerrish,0
Erin Bethea,0
Cassidy Gifford,0
Jack Nance,1
Johnnie Walker,1
Keenen Ivory Wayans,1
Elden Henson,4
Chuck Mitchell,2
Brian Howe,1
Gabriela Castillo,0
Ethan Embry,3
Edmund McMillen,0
Adam Rayner,1
John Ireland,3
Hugh Mun,2
Trevor Howard,1
Dottie Alexander,0
Monica Potter,0
Seth Ackerman,3
Clint Mansell,0
Meredith Scott Lynn,1
Tom Ardavany,0
Steve Diasparra,0
Amanda Kearsan,2
Sean Whalen,0
Lena Dunham,3
Jason Evers,1
Vincent Duvall,2
Kevin Corrigan,0
Courtney Bell,0
Michael McGlone,0
Shailene Garnett,0
