duration,gross,genres,actor_1_name,num_voted_users,plot_keywords,country,budget
106,6262942,Action|Adventure|Drama,Robert Redford,59545,boat|container|sea|shipping container|storm,USA,9000000
126,1997807,Adventure|Drama|Thriller,Mary Elizabeth Mastrantonio,5158,alaska|island|motorboat|singer|wilderness,USA,8000000
128,1207007,Comedy|Drama|Romance,Katrina Kaif,13577,india|london england|marriage|stereotype|sugarcane,India,
127,1829142,Drama|War,Padraic Delaney,36846,civil war|colonialism|hatred|independence|rural ireland,Ireland,
160,3827466,Comedy|Drama|Musical|Romance,Ranbir Kapoor,25122,jealousy|jumping into sea|love|swimming pool|wet clothes,India,
126,90800000,Action|Drama|Family|Sport,Martin Kove,126916,apartment|bully|fight|karate|master,USA,8000000
171,,Biography|Drama|History|Romance,Peter Ustinov,9808,christian|emperor|general|hostage|nero,USA,7623000
150,140244,Horror|Musical|Sci-Fi,Alexa PenaVega,20419,future|murder|opera|repossession|surgery,USA,8500000
122,,Action|Adventure,Necati Sasmaz,14486,abu ghraib|bomb|christian|explosion|iraq,Turkey,8300000
178,107930000,Crime|Drama,Bruce Willis,1324680,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,USA,8000000
95,76657000,Adventure|Comedy|Family|Musical,Madeline Kahn,25498,friend|frog leg|on the road|restaurant|the muppets,UK,
117,32279955,Crime|Drama|Thriller,Jake Gyllenhaal,293304,employer employee relationship|ethics|journalism|sociopath|tv news,USA,8500000
119,4992159,Comedy|Horror|Thriller,Brittany Daniel,23823,beach|island|party|resort|serial killer,USA,8550000
174,163214286,Biography|Drama|Family|Musical|Romance,Eleanor Parker,148172,austria|children|governess|love|orchestral music score,USA,8200000
111,69800000,Comedy|Fantasy|Romance,Tom Hanks,54723,cmnf|cmnf scene|mermaid|new york city|public nudity,USA,8000000
101,59889948,Comedy|Drama,Steve Carell,355810,gay|graduate student|sister sister relationship|sprite|uncle nephew relationship,USA,8000000
89,52287414,Adventure|Drama,Marshall Bell,271794,friendship|summertime|treehouse|walking on train tracks|woods,USA,8000000
113,45063889,Drama|Horror|Sci-Fi|Thriller,Noah Huntley,297250,laboratory|london england|military|virus|zombie apocalypse,UK,8000000
95,40066497,Drama|Music,Jennifer Freeman,23671,competition|dance contest|friend|money|street dancing,USA,8000000
112,36500000,Biography|Crime|Drama,Clint Eastwood,87090,alcatraz|escape|inmate|island|prison,USA,8000000
