director_facebook_likes,actor_1_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,country
3,859,Michael Richards,1,198,USA
4,2000,Shirley Jones,0,202,USA
84,1000,Jessica Walter,0,79,USA
0,973,Jack Elam,1,565,Italy
4000,4000,Jonathan Silverman,2,165,USA
0,18000,Benedict Wong,0,485,UK
7,2000,Carter Jenkins,0,41,USA
0,55,Chloe Hollings,0,4,UK
460,990,Simon Baker,0,196,Canada
22,186,Olivier Rabourdin,0,89,France
19,25000,Greg Collins,0,89,USA
3,922,Bess Armstrong,0,32,USA
0,14000,Liz Mullane,2,265,New Zealand
35,4000,Cynthia Barrett,0,29,USA
7,8000,Stephen Root,1,86,USA
52,624,Angela Featherstone,2,151,USA
122,23000,Reg E. Cathey,0,458,Spain
261,722,David Clennon,0,39,USA
52,10000,Robert Pralgo,1,99,USA
263,967,Tammy Blanchard,0,144,USA
13,3000,Marilyn Manson,1,158,USA
57,727,Joe Cole,0,125,USA
0,740,Winter Ave Zoli,0,56,USA
0,578,Kristoffer Polaha,0,56,USA
0,387,Lumi Cavazos,0,184,USA
18000,10000,Faye Dunaway,3,69,USA
0,75,Darshan Jariwala,0,25,India
239,6,Ken Davis,0,22,USA
0,311,Jim Byrnes,1,27,Canada
27,948,Chelan Simmons,1,200,Canada
6,3000,Martin Landau,0,15,USA
5,197,Laraine Day,1,23,USA
204,1000,Sara Gilbert,3,28,USA
