actor_1_facebook_likes,gross,country
23000,125320003,USA
26000,350034110,USA
17000,202351611,USA
34000,233914986,USA
19000,228756232,USA
979,65171860,USA
29000,144812796,Australia
15000,90755643,USA
16000,101785482,USA
894,352358779,USA
11000,317011114,USA
275,123070338,USA
2000,237282182,USA
998,130468626,USA
1000,223806889,USA
268,140080850,USA
1000,166112167,USA
18000,137850096,USA
17000,47375327,USA
11000,124051759,USA
1000,291709845,USA
34000,154985087,USA
23000,533316061,USA
1000,292979556,USA
1000,198332128,USA
21000,318298180,USA
17000,73820094,USA
10000,113745408,USA
5000,102176165,USA
10000,161087183,USA
87000,100289690,USA
10000,100189501,USA
711,88246220,USA
23000,150167630,USA
1000,356454367,USA
19000,362645141,UK
21000,312057433,USA
26000,155111815,USA
11000,241407328,USA
10000,208543795,USA
622,,Belgium
18000,38297305,USA
19000,259746958,USA
4000,238371987,USA
2000,93417865,USA
756,222487711,USA
975,189412677,USA
15000,665426,USA
890,102315545,USA
18000,217387997,USA
648,150350192,USA
14000,333130696,USA
11000,187991439,USA
29000,292568851,USA
544,,Japan
5000,303001229,USA
23000,144512310,USA
11000,127490802,USA
34000,146405371,USA
34000,281666058,USA
12000,63143812,USA
87000,60655503,USA
40000,76846624,USA
3000,320706665,USA
3000,46978995,USA
24000,89732035,USA
531,104383624,USA
3000,198539855,USA
662,318759914,USA
12000,34293771,Germany
21000,292000866,UK
21000,289994397,UK
10000,227946274,USA
10000,256386216,USA
40000,206456431,USA
1000,206435493,USA
23000,205343774,USA
1000,179982968,USA
49000,177243721,USA
20000,179883016,USA
309,139259759,Australia
1000,400736600,USA
234,281492479,USA
26000,206360018,USA
27000,153629485,Australia
15000,133375846,USA
26000,181015141,USA
17000,114053579,USA
730,119420252,USA
14000,83640426,USA
40000,79711678,USA
10000,195000874,China
12000,61937495,USA
11000,124051759,USA
2000,126597121,USA
11000,165230261,USA
1000,131564731,USA
22000,133382309,USA
17000,73103784,USA
921,21379315,USA
20000,64459316,UK
20000,34964818,USA
3000,111505642,USA
11000,133228348,USA
851,216366733,USA
769,160201106,UK
783,118099659,USA
13000,201573391,USA
10000,190418803,USA
18000,82161969,USA
24000,143523463,USA
10000,209364921,USA
20000,103400692,USA
957,110332737,USA
10000,111110575,USA
23000,65007045,UK
26000,257704099,USA
24000,403706375,USA
18000,176997107,USA
18000,31141074,USA
820,31704416,USA
986,107503316,USA
5000,129734803,USA
820,132122995,USA
17000,122512052,USA
11000,68642452,UK
12000,32131830,USA
11000,176636816,USA
766,126930660,UK
613,93926386,USA
21000,292298923,USA
49000,63992328,Australia
