director_facebook_likes,actor_2_name,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,aspect_ratio
25,Dan Fogler,21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Mars Needs Moms ,17590,2652,Tom Everett Scott,boy|martian|rescue|robot|sexism,112,150000000,2011,562,2.35
42,Kate Winslet,64459316,Adventure|Animation|Comedy|Family,Flushed Away ,85086,35161,David Suchet,boat|frog|rat|sewer|toad,122,149000000,2006,14000,1.85
456,Cara Delevingne,34964818,Adventure|Family|Fantasy,Pan ,39956,21393,Nonso Anozie,1940s|child hero|fantasy world|orphan|reference to peter pan,186,150000000,2015,548,2.35
50,Zach Callison,111505642,Adventure|Animation|Comedy|Family|Sci-Fi,Mr. Peabody & Sherman ,47900,5810,Karan Brar,dog|father son relationship|inventor|talking dog|time travel,130,145000000,2014,1000,1.85
249,Orlando Bloom,133228348,Adventure,Troy ,381672,17944,Julian Glover,greek|mythology|prince|trojan|troy,1694,175000000,2004,5000,2.35
35,Martin Short,216366733,Adventure|Animation|Comedy|Family,Madagascar 3: Europe's Most Wanted ,119213,2444,Cedric the Entertainer,animal|circus|island name in title|lemur|penguin,154,145000000,2012,770,1.85
93,Colin Salmon,160201106,Action|Adventure|Thriller,Die Another Day ,169914,2538,Rick Yune,catfight|clinic|colonel|diamond|patricide,1185,142000000,2002,766,2.35
176,Kate McKinnon,118099659,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters ,69757,2097,Zach Woods,ghost|ghostbuster|ghostbusters|male objectification|reboot,1211,144000000,2016,370,2.35
0,Steve Buscemi,201573391,Action|Adventure|Sci-Fi|Thriller,Armageddon ,322395,26029,Will Patton,asteroid|astronaut|bomb|meteorite|outer space,1171,140000000,1998,12000,2.35
188,Rosario Dawson,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Men in Black II ,270207,14823,Rip Torn,alien|lingerie|lingerie model|m.i.b.|pug,606,140000000,2002,3000,1.85
0,Anthony Hopkins,82161969,Action|Adventure|Animation|Fantasy,Beowulf ,142440,31523,Sebastian Roché,creature|demon|king|reward|warrior,505,150000000,2007,12000,2.35
5,Angelina Jolie Pitt,143523463,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 3 ,64322,36095,Wayne Knight,china|kung fu|panda|pig|village,145,145000000,2016,11000,2.35
663,Jeremy Renner,209364921,Action|Adventure|Thriller,Mission: Impossible - Ghost Protocol ,365104,21768,Michael Nyqvist,dubai|kremlin|race against time|russian|terrorist,512,145000000,2011,10000,2.35
52,Kamil McFadden,103400692,Adventure|Animation|Family|Fantasy,Rise of the Guardians ,123553,20645,Khamani Griffin,belief|box office hit|children|new york city|tooth,174,145000000,2012,315,1.85
23,Richard Burgi,110332737,Comedy|Crime,Fun with Dick and Jane ,110788,1997,David Herman,animal abuse|ceo|heist|suburb|unemployment,258,100000000,2005,550,2.35
380,Tony Goldwyn,111110575,Action|Drama|History|War,The Last Samurai ,317166,11945,Chad Lindberg,captain|emperor|honor|japan|samurai,928,140000000,2003,956,2.35
0,María Valverde,65007045,Action|Adventure|Drama,Exodus: Gods and Kings ,128682,26490,Ben Mendelsohn,egypt|exodus|moses|pharaoh|plague,657,140000000,2014,893,2.35
14000,Leonard Nimoy,257704099,Action|Adventure|Sci-Fi,Star Trek ,504419,39284,Bruce Greenwood,box office hit|future|lifted by the throat|star trek|vulcan,1559,150000000,2009,12000,2.35
0,James Franco,403706375,Action|Adventure|Fantasy|Romance,Spider-Man ,544665,40484,Kirsten Dunst,evil|goblin|spider|spider man|superhero,2012,139000000,2002,11000,1.85
255,Djimon Hounsou,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,How to Train Your Dragon 2 ,221128,23378,America Ferrera,dragon|father son relationship|husband wife relationship|mother son relationship|viking,343,145000000,2014,3000,2.35
295,Elodie Yung,31141074,Action|Adventure|Fantasy,Gods of Egypt ,51892,19769,Bryan Brown,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,273,140000000,2016,934,2.35
357,Joe Morton,31704416,Action|Adventure|Sci-Fi|Thriller,Stealth ,45455,2705,Richard Roxburgh,artificial intelligence|box office flop|fighter jet|navy|pilot,388,135000000,2005,780,2.35
0,Billy Crudup,107503316,Action|Drama|Mystery|Sci-Fi,Watchmen ,392474,2530,Stephen McHattie,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,1229,130000000,2009,745,2.35
503,Rene Russo,129734803,Action|Crime|Thriller,Lethal Weapon 4 ,127497,6171,Darlene Love,kung fu|lapd|martial arts|private investigator|triad,287,140000000,1998,808,2.35
0,Regi Davis,132122995,Action|Sci-Fi,Hulk ,212106,1814,Celia Weston,1980s|c 130 hercules|monster|panzer|san francisco california,1445,137000000,2003,300,1.85
209,Dwayne Johnson,122512052,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: Retaliation ,146352,31958,Elodie Yung,general|gi joe|martial arts|ninja|president,288,130000000,2013,12000,2.35
42,Rainn Wilson,68642452,Action|Adventure|Comedy|Thriller,Sahara ,77673,13073,Delroy Lindo,beach|civil war|desert|dictator|ship,463,130000000,2005,973,2.35
6,Ming-Na Wen,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Final Fantasy: The Spirits Within ,72259,15015,Jean Simmons,general|military|scientist|soldier|year 2065,788,137000000,2001,2000,1.85
394,Dominic Cooper,176636816,Action|Adventure|Sci-Fi,Captain America: The First Avenger ,508818,19761,Hayley Atwell,arctic|captain america|scientist|tesseract|war bond,679,140000000,2011,3000,2.35
150,Maria Grazia Cucinotta,126930660,Action|Adventure|Thriller,The World Is Not Enough ,157519,2037,Desmond Llewelyn,british|oil|scientist|terrorist|tycoon,683,135000000,1999,536,2.35
608,Lee Ingleby,93926386,Action|Adventure|Drama|History|War,Master and Commander: The Far Side of the World ,168207,1205,David Threlfall,1800s|napoleonic wars|pursuit|royal navy|ship,684,150000000,2003,172,2.35
386,Kristen Stewart,292298923,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,Taylor Lautner,battle|friend|super strength|vampire|vision,329,120000000,2012,17000,2.35
750,Brad Pitt,63992328,Animation|Comedy|Family|Musical,Happy Feet 2 ,32399,62644,Common,3d|antarctica|krill|penguin|sequel,79,135000000,2011,11000,2.35
255,Peter Mensah,134518390,Action|Adventure|Sci-Fi,The Incredible Hulk ,326286,5811,William Hurt,antidote|cure|hulk|marvel cinematic universe|opening action scene,643,150000000,2008,1000,2.35
,Philip Michael Thomas,,Action|Crime|Drama|Mystery|Thriller,Miami Vice             ,16769,1687,John Diehl,cult tv|detective|drugs|police|undercover,74,1500000,,321,1.33
14000,Penelope Wilton,52792307,Adventure|Family|Fantasy,The BFG ,12572,1950,Rafe Spall,cannibal|evil brother|giant|london england|queen,106,140000000,2016,400,2.35
0,Tom Hardy,183635922,Adventure|Drama|Thriller|Western,The Revenant ,406020,57108,Lukas Haas,bear attack|cauterizing a wound|native american|revenge|survival,1188,135000000,2015,27000,2.35
13,Snoop Dogg,83024900,Adventure|Animation|Comedy|Family|Sport,Turbo ,62424,17416,Ben Schwartz,accident|freak accident|race|snail|underdog,90,135000000,2013,881,2.35
563,Ray Winstone,123207194,Adventure|Animation|Comedy|Family|Western,Rango ,183208,43291,Stephen Root,chameleon|lizard|sheriff|water|western town,337,135000000,2011,1000,2.35
35,Annet Mahendru,83348920,Adventure|Animation|Comedy|Family,Penguins of Madagascar ,60230,19963,Andy Richter,little girl|park|spy|statue of liberty|television van,118,132000000,2014,411,1.85
521,Edgar Ramírez,227137090,Action|Mystery|Thriller,The Bourne Ultimatum ,491077,17369,Albert Finney,action hero|cia|dark past|flashback|memory,820,110000000,2007,897,2.35
54,Wayne Knight,215395021,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda ,307029,12754,Dan Fogler,kung fu|kung fu master|master|panda|snow leopard,360,130000000,2008,967,2.35
235,Hayley Atwell,180191634,Action|Adventure|Comedy|Sci-Fi,Ant-Man ,313866,5730,T.I.,ant|chinatown san francisco|heist|sabotage|vault,549,130000000,2015,2000,1.85
508,Josh Hutcherson,424645577,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire ,498397,49355,Sandra Ellis Lafferty,president|snow|television|tour|uprising,706,130000000,2013,14000,2.35
386,Kristen Stewart,292298923,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,Taylor Lautner,battle|friend|super strength|vampire|vision,329,120000000,2012,17000,2.35
12,Matt Jones,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home ,70121,17883,April Winchell,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,135000000,2015,523,1.85
14000,Lisa Ann Walter,234277056,Adventure|Sci-Fi|Thriller,War of the Worlds ,334345,12758,Rick Gonzalez,alien|fight|storm|survival|tripod,2741,132000000,2005,1000,1.85
0,Henry Rollins,138396624,Action|Comedy|Crime|Thriller,Bad Boys II ,178126,12954,Jordi Mollà,cuba|dea|drugs|money|undercover,511,130000000,2003,898,2.35
50,Constance Marie,149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,Puss in Boots ,114287,5046,Amy Sedaris,betrayal|egg|friend|goose|hero,137,130000000,2011,442,2.35
176,Andre Braugher,118311368,Action|Crime|Mystery|Thriller,Salt ,245621,12406,August Diehl,cia|on the run|russian|russian spy|strong female lead,514,110000000,2010,702,2.35
0,Emma Watson,101160529,Action|Adventure|Drama,Noah ,200022,32355,Logan Lerman,ark|flood|noah's ark|water|wrath of god,1240,125000000,2014,9000,1.85
14000,Mackenzie Crook,77564037,Action|Adventure|Family|Mystery,The Adventures of Tintin ,177383,4631,Tony Curran,captain|morocco|ship|tintin|treasure,447,135000000,2011,871,2.35
0,Gary Oldman,249358727,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban ,382255,33284,Rupert Grint,magic|muggle|serial killer|traitor|wizard,1504,130000000,2004,10000,2.35
1000,Bryan Brown,49551662,Adventure|Drama|Romance|War,Australia ,102338,921,Eddie Baroo,australia|cattle|darwin|drover|japanese,450,130000000,2008,284,2.35
0,Zoë Kravitz,60522097,Action|Adventure|Sci-Fi,After Earth ,158720,14168,Glenn Morshower,box office flop|father son team|fear|race against time|real life father and son playing father and son,744,130000000,2013,943,2.35
0,D.B. Sweeney,137748063,Adventure|Animation|Family|Thriller,Dinosaur ,38438,2945,Della Reese,egg|iguanodon|lemur|meteor|nesting grounds,241,127500000,2000,558,1.85
0,Dave Legeno,,Action|Fantasy,Harry Potter and the Deathly Hallows: Part II ,381,11036,Ralph Ineson,,2,,2011,570,
189,Rami Malek,113733726,Adventure|Comedy|Family|Fantasy,Night at the Museum: Secret of the Tomb ,67223,53587,Steve Coogan,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,126,127000000,2014,3000,1.85
96,Brad Pitt,148337537,Action|Animation|Comedy|Family|Sci-Fi,Megamind ,172754,46120,Will Ferrell,battle|city|planet|prison|superhero,187,130000000,2010,11000,2.35
0,Fiona Shaw,317557891,Adventure|Family|Fantasy,Harry Potter and the Sorcerer's Stone ,444683,13191,Verne Troyer,based on novel|birthday|evil wizard|quidditch|wizard,1571,125000000,2001,687,2.35
124,Jeff Bridges,33592415,Action|Comedy|Fantasy,R.I.P.D. ,91640,31549,Stephanie Szostak,drug dealer|gold|partner|police|undead,210,130000000,2013,12000,2.35
