director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,title_year,imdb_score
Michael Rymer,137,48,531,30307804,Aaliyah,Queen of the Damned ,43991,3001,Bruce Spence,http://www.imdb.com/title/tt0238546/?ref_=fn_tt_tt_1,695,English,R,35000000,2002,5.2
Stephen Hopkins,119,81,636,30669413,Adam Baldwin,Predator 2 ,105478,4722,Kevin Peter Hall,http://www.imdb.com/title/tt0100403/?ref_=fn_tt_tt_1,291,English,R,35000000,1990,6.2
Gregory Hoblit,195,40,398,28687835,Billy Burke,Untraceable ,40964,3612,Joseph Cross,http://www.imdb.com/title/tt0880578/?ref_=fn_tt_tt_1,245,English,R,35000000,2008,6.2
Hugh Wilson,95,37,480,26494611,Brendan Fraser,Blast from the Past ,48621,5709,Douglas Smith,http://www.imdb.com/title/tt0124298/?ref_=fn_tt_tt_1,239,English,PG-13,35000000,1999,6.6
Mike Hodges,100,24,455,,Brian Blessed,Flash Gordon ,38017,2603,Sam J. Jones,http://www.imdb.com/title/tt0080745/?ref_=fn_tt_tt_1,247,English,PG,20000000,1980,6.4
Kevin Smith,164,0,769,25266129,Stephen Root,Jersey Girl ,54346,3592,George Carlin,http://www.imdb.com/title/tt0300051/?ref_=fn_tt_tt_1,358,English,PG-13,35000000,2004,6.2
Rob Cohen,211,357,374,25863915,Cicely Tyson,Alex Cross ,28257,2471,Carmen Ejogo,http://www.imdb.com/title/tt1712170/?ref_=fn_tt_tt_1,151,English,PG-13,35000000,2012,5.1
Clint Eastwood,91,16000,229,25078937,Kevin Spacey,Midnight in the Garden of Good and Evil ,31751,19689,Leon Rippy,http://www.imdb.com/title/tt0119668/?ref_=fn_tt_tt_1,216,English,R,30000000,1997,6.6
Scott Mann,44,8,558,,Robert De Niro,Heist ,16193,24154,D.B. Sweeney,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,57,English,R,19000000,2015,6.1
Susanna White,97,24,167,28995450,Daniel Mays,Nanny McPhee Returns ,19230,855,Eros Vlahos,http://www.imdb.com/title/tt1415283/?ref_=fn_tt_tt_1,59,English,PG,35000000,2010,6.1
Danny DeVito,32,0,210,24276500,Frank Whaley,Hoffa ,17124,1394,Paul Guilfoyle,http://www.imdb.com/title/tt0104427/?ref_=fn_tt_tt_1,68,English,R,35000000,1992,6.6
Chris Carter,270,251,296,20981633,Mitch Pileggi,The X Files: I Want to Believe ,78256,2351,Nicki Aycox,http://www.imdb.com/title/tt0443701/?ref_=fn_tt_tt_1,492,English,PG-13,30000000,2008,5.9
Tommy O'Haver,89,13,973,22913677,Anne Hathaway,Ella Enchanted ,47800,17292,Joanna Lumley,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,244,English,PG,35000000,2004,6.3
Peter Landesman,219,15,745,34531832,Will Smith,Concussion ,44788,13371,Albert Brooks,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,138,English,PG-13,35000000,2015,7.1
John Singleton,180,309,63,28064226,Ken Arnold,Abduction ,65044,561,Richard Cetrone,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,173,English,PG-13,35000000,2011,5.0
Gary Chapman,93,2,72,19447478,Jim Broadbent,Valiant ,15788,1908,Pip Torrens,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,80,English,G,35000000,2005,5.6
Curtis Hanson,173,161,549,19389454,Robert Downey Jr.,Wonder Boys ,54643,22974,Richard Thomas,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,335,English,R,55000000,2000,7.4
Craig Mazin,121,82,418,25871834,Drake Bell,Superhero Movie ,52052,3266,Marion Ross,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,173,English,PG-13,35000000,2008,4.5
Allen Hughes,298,90,344,19692608,Alona Tal,Broken City ,63548,2073,Michael Beach,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,134,English,R,35000000,2013,6.2
Wes Craven,158,0,520,19294901,Shannon Elizabeth,Cursed ,26126,2535,Derek Mears,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,325,English,PG-13,35000000,2005,5.0
David Koepp,248,192,346,20275446,Joseph Gordon-Levitt,Premium Rush ,95274,24669,Aasif Mandvi,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,178,English,PG-13,35000000,2012,6.5
Anne Fletcher,155,98,253,34507079,Jim Gaffigan,Hot Pursuit ,34948,1679,Michael Mosley,http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1,118,English,PG-13,35000000,2015,5.1
Shekhar Kapur,105,159,39,18306166,Djimon Hounsou,The Four Feathers ,28130,3142,Alex Jennings,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,215,English,PG-13,35000000,2002,6.5
Taylor Hackford,224,138,458,17609982,Jason Statham,Parker ,90046,28479,Wendell Pierce,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,141,English,R,35000000,2013,6.2
Richard Loncraine,129,12,663,16831505,Kirsten Dunst,Wimbledon ,51842,9330,Austin Nichols,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,173,English,PG-13,31000000,2004,6.3
Roger Kumble,101,16,734,17596256,Brendan Fraser,Furry Vengeance ,12399,6327,Matt Prokop,http://www.imdb.com/title/tt0492389/?ref_=fn_tt_tt_1,84,English,PG,35000000,2010,3.8
Kimble Rendall,145,0,174,,Alex Russell,Bait ,11482,1361,Richard Brancatisano,http://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,82,English,R,30000000,2012,5.2
Peter Yates,57,170,136,,Liam Neeson,Krull ,23351,14744,Lysette Anthony,http://www.imdb.com/title/tt0085811/?ref_=fn_tt_tt_1,178,English,PG,27000000,1983,6.0
Robert Redford,227,0,10000,14998070,Meryl Streep,Lions for Lambs ,41170,32875,Andrew Garfield,http://www.imdb.com/title/tt0891527/?ref_=fn_tt_tt_1,298,English,R,35000000,2007,6.2
John Milius,13,468,150,14587732,Rosanna Arquette,Flight of the Intruder ,4795,1290,Christopher Rich,http://www.imdb.com/title/tt0099587/?ref_=fn_tt_tt_1,39,English,PG-13,35000000,1991,5.7
Jake Kasdan,171,52,134,18317151,Tim Meadows,Walk Hard: The Dewey Cox Story ,55630,1082,Matt Price,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,200,English,R,35000000,2007,6.7
Lasse Hallström,119,529,505,11405825,Kevin Spacey,The Shipping News ,28542,19805,Jason Behr,http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1,208,English,R,35000000,2001,6.8
Les Mayfield,44,10,141,13264986,Gregory Smith,American Outlaws ,12077,1668,Harris Yulin,http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,162,English,PG-13,35000000,2001,6.0
Jean-Marc Vallée,188,212,919,10991381,Michiel Huisman,The Young Victoria ,44931,5890,Thomas Kretschmann,http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1,100,English,PG,35000000,2009,7.3
Dominic Sena,166,57,230,10268846,Tom Skerritt,Whiteout ,31918,1947,Shawn Doyle,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,142,English,R,35000000,2009,5.5
Terrence Malick,584,0,687,13303319,Brad Pitt,The Tree of Life ,136367,13021,Fiona Shaw,http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1,975,English,PG-13,32000000,2011,6.7
Hark Tsui,67,85,105,10076136,Paul Sorvino,Knock Off ,11512,1352,Ray Nicholas,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,141,English,R,35000000,1998,4.8
David Ayer,233,453,120,10499968,Mireille Enos,Sabotage ,47498,1458,Maurice Compte,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,212,English,R,35000000,2014,5.7
Brian Helgeland,112,241,127,7659747,Heath Ledger,The Order ,14962,14165,Benno Fürmann,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,204,English,R,38000000,2003,5.1
Lexi Alexander,151,189,766,7948159,Julie Benz,Punisher: War Zone ,48999,6563,Colin Salmon,http://www.imdb.com/title/tt0450314/?ref_=fn_tt_tt_1,280,English,R,35000000,2008,6.0
Peter Hewitt,63,12,690,11631245,Kevin Zegers,Zoom ,15015,5022,Thomas F. Wilson,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,113,English,PG,35000000,2006,4.2
Robert Zemeckis,335,0,6,10137502,Joseph Gordon-Levitt,The Walk ,77394,23031,Jade Kindar-Martin,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,195,English,PG,35000000,2015,7.4
Ronny Yu,24,31,448,6448817,Marley Shelton,Warriors of Virtue ,2189,1993,Angus Macfadyen,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,31,English,PG,35000000,1997,4.6
Ridley Scott,147,0,567,7458269,Archie Panjabi,A Good Year ,70698,3611,Richard Coyle,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,196,English,PG-13,35000000,2006,6.9
,51,,256,,Ruth Wilson,Luther             ,70568,3823,Warren Brown,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,105,English,TV-MA,,,8.6
Richard Donner,10,503,697,4651977,Adam Baldwin,Radio Flyer ,10410,4334,John Heard,http://www.imdb.com/title/tt0105211/?ref_=fn_tt_tt_1,71,English,PG-13,35000000,1992,6.9
Taylor Hackford,12,138,672,4496583,Delroy Lindo,"Blood In, Blood Out ",23181,3227,Raymond Cruz,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,129,English,R,35000000,1993,8.0
Bille August,50,55,918,2221994,Jim Broadbent,Smilla's Sense of Snow ,11747,3125,Julia Ormond,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,99,English,R,35000000,1997,6.4
Brian De Palma,149,0,115,6592103,Peter Coyote,Femme Fatale ,28584,1005,Rie Rasmussen,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,232,English,R,35000000,2002,6.3
Moustapha Akkad,24,278,249,,Oliver Reed,Lion of the Desert ,9852,1573,John Gielgud,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,55,English,PG,35000000,1980,8.4
Jean-Paul Rappeneau,28,22,45,1877179,Olivier Martinez,The Horseman on the Roof ,4885,1508,Isabelle Carré,http://www.imdb.com/title/tt0113362/?ref_=fn_tt_tt_1,25,French,R,,1995,7.1
Ang Lee,95,0,0,630779,Jeremy W. Auman,Ride with the Devil ,11101,5,Tobey Maguire,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,159,English,R,35000000,1999,6.8
Alejandro G. Iñárritu,288,0,7,5100937,Maricel Álvarez,Biutiful ,68885,50,Eduard Fernández,http://www.imdb.com/title/tt1164999/?ref_=fn_tt_tt_1,127,Spanish,R,,2010,7.5
