director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,language,budget,title_year,imdb_score,aspect_ratio
Tim Burton,13000,488,Jack Palance,Action|Adventure,Michael Gough,2725,William Hootkins,city|dc comics|gotham|pantyhose|police,English,35000000,1989,7.6,1.85
Roland Joffé,596,785,Dougray Scott,Biography|Drama|War,Jordi Mollà,3497,Lily Cole,dying|forgiveness|saint|spanish civil war|starts with narration,English,36000000,2011,5.9,2.35
Richard Donner,503,94,Nick Chinlund,Action|Crime|Thriller,Rene Russo,1446,Stuart Wilson,gangster|gun|internal affairs|police|police officer,English,35000000,1992,6.7,2.35
John Lee Hancock,102,624,Quinton Aaron,Biography|Drama|Sport,Catherine Dyer,3389,Kim Dickens,american football|based on true story|football star|high school football|left tackle,English,29000000,2009,7.7,1.85
,,452,Aimee Garcia,Action|Comedy|Crime,Jon Foo,2255,Wendie Malick,,English,,,5.8,16.0
Robert Rodriguez,0,640,Cheech Marin,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,4499,Daryl Sabara,brother sister relationship|espionage|rescue|secret agent|spy,English,35000000,2001,5.4,1.85
Seth Gordon,91,64,Lindsay Sloane,Comedy|Crime,Kevin Spacey,18669,Reginald Ballard,black comedy|boss|chemical company|dental assistant|murder,English,35000000,2011,6.9,2.35
Ethan Coen,1000,538,Jeff Bridges,Adventure|Drama|Western,Matt Damon,25964,Bruce Green,arkansas|murder|sheriff|texas ranger|u.s. marshal,English,38000000,2010,7.7,2.35
David Frankel,64,505,Anne Hathaway,Comedy|Drama|Romance,Meryl Streep,23923,Rebecca Mader,fashion|fashion industry|magazine|new york city|publishing,English,35000000,2006,6.8,2.35
Robert Wise,338,643,Nichelle Nichols,Adventure|Mystery|Sci-Fi,Leonard Nimoy,16007,Walter Koenig,alien|space|space station|spacecraft|warp speed,English,35000000,1979,6.4,2.35
Seth Gordon,91,680,Eric Stonestreet,Comedy|Crime,Jon Favreau,5826,T.I.,bounty hunter|credit card|cross country|identity|police,English,35000000,2013,5.7,2.35
Martin Scorsese,17000,387,Robert Mitchum,Crime|Thriller,Robert De Niro,24006,Joe Don Baker,lawyer|neo noir|prison|rapist|southern gothic,English,35000000,1991,7.3,2.35
Robert Luketic,126,1000,Jim Sturgess,Crime|Drama|Thriller,Kevin Spacey,25661,Josh Gad,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,English,35000000,2008,6.8,2.35
Judd Apatow,0,213,Randall Park,Comedy|Romance,Amy Schumer,1450,Josh Segarra,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,English,35000000,2015,6.3,2.35
Kevin Rodney Sullivan,8,278,Nicole Sullivan,Comedy|Romance,Bernie Mac,2689,Sherri Shepherd,argument|engagement|family relationships|love|undressing,English,35000000,2005,5.9,1.85
Anthony Minghella,333,362,Kristin Scott Thomas,Drama|Romance|War,Colin Firth,15912,Jürgen Prochnow,church|english|flashback|nurse|patient,English,27000000,1996,7.4,1.85
Curtis Hanson,161,210,Matt McCoy,Crime|Drama|Mystery|Thriller,Kevin Spacey,19129,Paul Guilfoyle,1950s|call girl|corruption|murder|police detective,English,35000000,1997,8.3,2.35
Mike Mitchell,31,591,Kelly Preston,Adventure|Comedy|Family|Sci-Fi,Michael Angarano,2968,Nicholas Braun,coming of age|friend|high school|sidekick|superpower,English,35000000,2005,6.2,2.35
Frank Oz,0,945,Wilford Brimley,Comedy,Tom Selleck,23504,Lauren Ambrose,academy award|gay|high school|reporter|teacher,English,35000000,1997,6.3,1.85
Roger Donaldson,79,25,Marg Helgenberger,Action|Horror|Sci-Fi|Thriller,Natasha Henstridge,1715,Jordan Lund,alien|interspecies sex|scientist|sexual attraction|train,English,35000000,1995,5.8,2.35
Wes Craven,0,574,Lin Shaye,Horror,Johnny Depp,42918,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,English,1800000,1984,7.5,1.85
Tarsem Singh,763,311,Jake Weber,Horror|Sci-Fi|Thriller,Dylan Baker,2474,James Gammon,coma|fbi|race against time|serial killer|strong female lead,English,33000000,2000,6.3,2.35
Randall Wallace,130,80,Anne Parillaud,Action|Adventure,Leonardo DiCaprio,29265,Judith Godrèche,france|musketeer|three musketeers|twin|twin brother,English,35000000,1998,6.4,1.85
Randall Wallace,130,426,Kevin Connolly,Biography|Drama|Family|History|Sport,Scott Glenn,2259,Dylan Walsh,eccentric|horse racing|newspaper clipping|stallion|triple crown,English,35000000,2010,7.2,2.35
Kevin Munroe,14,691,Sarah Michelle Gellar,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Chris Evans,16571,Mako,martial arts master|monster|new york city|turtle|warrior,English,34000000,2007,6.3,2.35
Michael Tollin,19,568,Riley Smith,Biography|Drama|Sport,Alfre Woodard,4231,Debra Winger,coach|football|football coach|high school|radio,English,35000000,2003,6.9,1.85
Will Gluck,87,923,Justin Timberlake,Comedy|Romance,Mila Kunis,20956,Masi Oka,blow job|female rear nudity|girl in panties|male objectification|no panties,English,35000000,2011,6.6,2.35
Nicholas Stoller,89,190,Ike Barinholtz,Comedy,Chloë Grace Moretz,17860,Kiersey Clemons,bare chested male|gay|gay best friend|gay man|gay marriage proposal,English,35000000,2016,6.0,2.35
John Lee Hancock,102,825,Ruth Wilson,Biography|Comedy|Drama|History|Music,Tom Hanks,19809,B.J. Novak,author|disney|loss of father|reference to walt disney|suppression of emotion,English,35000000,2013,7.5,2.35
Spike Lee,0,318,Delroy Lindo,Biography|Drama|History|Romance,Denzel Washington,20143,Al Freeman Jr.,african american|black history|civil rights|ku klux klan|nation of islam,English,33000000,1992,7.7,1.85
Judd Apatow,0,120,Maude Apatow,Comedy,Charlyne Yi,1050,Mackenzie Aladjem,40th birthday|aging|birthday|sex|viagra,English,35000000,2012,6.2,2.35
Walt Becker,12,931,Bernie Mac,Comedy|Family,Robin Williams,53370,Ann-Margret,best friend|business deal|impulse|public relations|twin,English,35000000,2009,5.4,1.85
Patrick Tatopoulos,148,227,Kevin Grevioux,Action|Adventure|Fantasy|Sci-Fi|Thriller,Craig Parker,2184,Steven Mackintosh,battle|slave|vampire|warrior|werewolf,English,35000000,2009,6.6,2.35
Ken Kwapis,42,766,Christine Taylor,Comedy|Romance,Robin Williams,52566,Mindy Kaling,box office flop|church|kissing|usa|wedding,English,35000000,2007,5.3,2.35
Dennis Dugan,221,553,Jon Heder,Comedy|Romance|Sport,Jon Lovitz,13125,Tim Meadows,baseball|baseball team|bully|millionaire|team,English,33000000,2006,5.6,1.85
Gary David Goldberg,30,664,Victor Webster,Comedy|Romance,Stockard Channing,4879,Elizabeth Perkins,date|dating|dog|love|teacher,English,30000000,2005,5.9,2.35
Mike Newell,179,646,Al Pacino,Biography|Crime|Drama,Johnny Depp,56014,Anne Heche,fbi|mafia|money|racial slur|singer,English,35000000,1997,7.8,2.35
Paul W.S. Anderson,545,766,Jaymes Butler,Action|Horror|Sci-Fi,Milla Jovovich,17902,Colin Salmon,amnesia|quarantine|special forces|virus|zombie,English,33000000,2002,6.7,1.85
Tobe Hooper,365,723,Zelda Rubinstein,Fantasy|Horror,Heather O'Rourke,3876,Craig T. Nelson,ghost|haunted|haunting|house|paranormal investigator,English,10700000,1982,7.4,2.35
Ethan Coen,1000,939,Tom Hanks,Comedy|Crime|Thriller,J.K. Simmons,41701,Stephen Root,casino|irony of fate|landlady|professor|remake,English,35000000,2004,6.2,1.85
John Moore,212,248,Beau Bridges,Action|Crime|Drama|Mystery|Thriller,Mila Kunis,16249,Jamie Hector,corporation|death|ex partner|hallucination|police detective,English,35000000,2008,5.4,2.35
Andrew Niccol,487,3000,Olivia Wilde,Action|Sci-Fi|Thriller,Matt Bomer,34011,Justin Timberlake,currency|future|murder|on the run|time,English,40000000,2011,6.7,2.35
Alan Poul,16,584,Noureen DeWulf,Comedy|Romance,Danneel Ackles,3356,Tom Bosley,artificial insemination|baby|cheese|chick flick|pet shop,English,35000000,2010,5.3,2.35
Luke Greenfield,42,196,Steve Howey,Comedy|Drama|Romance,Ashley Williams,2371,Kirsten Day,best friend|crush|law school|lawyer|loud sex,English,35000000,2011,5.9,1.85
,,628,Kimberly Elise,Drama|Romance,Jodi Lyn O'Keefe,3438,Logan Browning,affair|hip hop|sex scene,English,,,7.0,
Gil Junger,19,447,Marsha Thomason,Adventure|Comedy|Fantasy,Tom Wilkinson,2643,Vincent Regan,14th century|king|knight|sword duel|time travel,English,50000000,2001,4.8,2.35
