director_name,director_facebook_likes,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,content_rating
Leos Carax,227,1298,Denis Lavant,0,http://www.imdb.com/title/tt2076220/?ref_=fn_tt_tt_1,France,Not Rated
David Gordon Green,234,13607,Ronnie Gene Blevins,2,http://www.imdb.com/title/tt2382396/?ref_=fn_tt_tt_1,USA,R
Stefan Schwartz,13,975,Ralph Ineson,3,http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1,UK,PG
Renny Harlin,212,11083,Hal Landon Jr.,0,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,USA,R
Robert Lee King,0,2282,Beth Broderick,1,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,Australia,Unrated
Kevin Allen,8,2805,Mary McCormack,1,http://www.imdb.com/title/tt0156639/?ref_=fn_tt_tt_1,UK,R
Jorge Ramírez Suárez,45,824,Arcelia Ramírez,0,http://www.imdb.com/title/tt2876428/?ref_=fn_tt_tt_1,Mexico,PG-13
David Schwimmer,0,916,Zoe Levin,0,http://www.imdb.com/title/tt1529572/?ref_=fn_tt_tt_1,USA,R
Barry Levinson,272,1403,Pauline McLynn,4,http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1,USA,R
Sam Miller,12,643,Rob Jarvis,1,http://www.imdb.com/title/tt0122906/?ref_=fn_tt_tt_1,UK,R
Anne Fontaine,105,25269,Ben Mendelsohn,0,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1,Australia,R
Dan Ireland,137,5796,Olivia d'Abo,0,http://www.imdb.com/title/tt0120878/?ref_=fn_tt_tt_1,USA,R
Fernando León de Aranoa,58,387,Aida Folch,1,http://www.imdb.com/title/tt0319769/?ref_=fn_tt_tt_1,Spain,R
Jim Mickle,53,1038,Nick Damici,1,http://www.imdb.com/title/tt1464580/?ref_=fn_tt_tt_1,USA,R
,,915,Brandon Mychal Smith,1,http://www.imdb.com/title/tt1252374/?ref_=fn_tt_tt_1,USA,TV-G
Stephen Kay,19,20135,Gretchen Mol,1,http://www.imdb.com/title/tt0119502/?ref_=fn_tt_tt_1,USA,R
Karim Aïnouz,19,629,Jesuíta Barbosa,2,http://www.imdb.com/title/tt2199543/?ref_=fn_tt_tt_1,Brazil,Unrated
Sam Levinson,8,10984,Demi Moore,4,http://www.imdb.com/title/tt1719071/?ref_=fn_tt_tt_1,USA,R
Julian Gilbey,7,2631,Sean Harris,1,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1,UK,R
Vincenzo Natali,165,1298,Marie-Josée Croze,0,http://www.imdb.com/title/tt0298482/?ref_=fn_tt_tt_1,Canada,R
Aleksandr Veledinskiy,0,183,Eugenia Khirivskaya,0,http://www.imdb.com/title/tt3155604/?ref_=fn_tt_tt_1,Russia,
Peter H. Hunt,0,1541,Howard Caine,0,http://www.imdb.com/title/tt0068156/?ref_=fn_tt_tt_1,USA,PG
Ruba Nadda,55,242,Fadia Nadda,3,http://www.imdb.com/title/tt1844203/?ref_=fn_tt_tt_1,Canada,R
Howard Hughes,177,457,James Hall,1,http://www.imdb.com/title/tt0020960/?ref_=fn_tt_tt_1,USA,Passed
Edward Burns,0,1585,Peter Jacobson,5,http://www.imdb.com/title/tt0491109/?ref_=fn_tt_tt_1,USA,
Phil Joanou,21,2651,Kira McLean,2,http://www.imdb.com/title/tt3533916/?ref_=fn_tt_tt_1,USA,R
Sean Byrne,18,644,Victoria Thaine,1,http://www.imdb.com/title/tt1316536/?ref_=fn_tt_tt_1,Australia,R
Chris Stokes,548,609,Black Thomas,0,http://www.imdb.com/title/tt1854582/?ref_=fn_tt_tt_1,USA,R
Mark Griffiths,4,1932,Brooke D'Orsay,2,http://www.imdb.com/title/tt2395247/?ref_=fn_tt_tt_1,USA,TV-G
Bruce Macdonald,103,1150,Diana Vickers,1,http://www.imdb.com/title/tt2414822/?ref_=fn_tt_tt_1,South Africa,PG
Timur Bekmambetov,335,13391,Moises Arias,2,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,USA,PG-13
Fred Zinnemann,160,1238,Paul Scofield,0,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1,UK,Approved
Sidney Lumet,0,5987,William Holden,0,http://www.imdb.com/title/tt0074958/?ref_=fn_tt_tt_1,USA,R
Victor Fleming,149,1862,Thomas Mitchell,1,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,USA,G
Richard Raymond,10,1281,Marama Corlett,0,http://www.imdb.com/title/tt2403393/?ref_=fn_tt_tt_1,UK,PG-13
Sam Peckinpah,541,2888,Warren Oates,2,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,USA,Approved
Alan Jacobs,2,3229,Nicholas Gonzalez,3,http://www.imdb.com/title/tt1056477/?ref_=fn_tt_tt_1,USA,R
George Sidney,24,731,Betty Hutton,0,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,USA,Passed
Christopher Morris,69,1269,Alex Macqueen,0,http://www.imdb.com/title/tt1341167/?ref_=fn_tt_tt_1,UK,R
Andrucha Waddington,6,222,Fernanda Torres,1,http://www.imdb.com/title/tt0373747/?ref_=fn_tt_tt_1,Brazil,R
