facenumber_in_poster,aspect_ratio
0,1.85
4,1.85
1,1.85
1,1.85
1,1.85
3,1.85
2,1.85
1,1.85
2,1.85
1,1.85
0,2.35
0,2.35
0,2.35
0,2.35
2,2.35
0,1.85
0,2.35
1,2.35
2,2.35
2,2.35
3,1.85
0,2.35
0,2.35
0,2.2
0,1.85
0,2.35
1,1.85
2,
3,
5,
0,1.85
1,2.35
4,1.85
2,1.85
3,2.35
0,1.85
1,1.85
1,1.85
1,2.35
2,1.85
0,1.85
0,1.85
0,2.35
4,1.85
1,1.85
3,2.35
8,1.85
0,1.85
1,1.85
0,1.85
6,2.35
1,2.35
3,2.35
0,1.85
2,2.35
0,1.85
0,2.35
0,2.35
0,1.85
0,2.35
1,1.85
6,1.85
0,1.85
2,1.85
8,2.35
2,2.35
0,1.85
1,2.35
2,1.85
0,2.35
2,1.85
4,1.85
0,2.35
0,2.35
0,1.85
0,2.35
7,2.35
1,2.35
0,2.35
8,2.35
1,1.85
1,1.85
0,2.35
2,2.35
0,2.35
6,2.35
1,1.85
3,1.85
1,1.85
1,2.35
0,1.85
1,1.85
0,1.85
2,2.35
1,2.35
2,1.85
11,1.85
5,1.85
0,1.85
1,2.35
0,2.35
0,1.85
1,2.35
3,2.35
1,2.35
0,1.85
0,1.85
3,1.85
0,1.85
9,1.85
0,1.85
3,2.35
1,1.85
10,1.85
0,2.35
0,2.35
2,2.35
1,1.85
2,1.78
2,1.85
0,2.35
0,1.85
3,1.85
0,2.35
1,2.35
0,2.35
0,2.35
0,2.35
2,2.35
2,1.85
0,1.85
0,
5,1.85
1,1.85
0,2.35
1,1.85
0,1.85
0,2.35
0,2.35
4,1.85
1,2.35
1,1.85
0,1.85
1,1.85
0,2.35
2,1.85
0,1.85
0,1.78
0,1.85
1,2.35
1,1.85
0,1.33
0,2.35
2,1.85
0,1.85
4,2.35
1,2.35
2,1.85
3,2.35
0,1.85
0,1.85
3,1.78
2,1.85
0,1.66
0,1.66
0,1.85
1,2.35
0,2.35
2,2.35
2,1.85
1,1.85
0,1.85
1,1.85
3,1.85
0,1.85
0,2.35
1,
0,2.35
0,1.85
2,2.35
2,1.85
1,1.85
3,1.85
0,2.39
2,1.85
1,1.85
4,2.35
0,2.35
6,1.85
0,2.35
0,2.35
1,2.35
0,
2,2.35
0,2.35
1,2.35
4,1.85
2,2.35
5,
0,2.35
0,2.35
1,2.35
6,1.85
0,1.85
1,1.85
1,
0,2.35
7,
1,1.85
0,1.85
0,1.78
0,2.76
1,2.35
0,1.37
7,
3,2.35
4,1.85
0,
1,2.35
0,2.35
4,2.35
0,2.35
0,1.85
2,2.35
0,2.35
1,2.35
2,2.35
9,2.35
4,2.35
6,1.85
0,1.85
1,1.85
0,2.35
1,1.85
2,1.85
0,1.85
3,1.85
2,1.85
0,2.35
1,2.35
1,1.85
0,1.85
3,1.85
4,1.85
1,2.35
3,1.85
2,1.85
0,1.78
4,1.85
1,2.35
3,2.35
1,1.85
3,1.85
0,2.35
0,1.85
3,1.85
1,1.85
1,2.35
0,1.85
3,2.35
0,1.85
1,2.35
1,2.35
4,2.35
0,1.85
1,2.35
1,2.35
1,2.35
0,1.85
2,2.35
12,2.35
1,1.85
0,2.35
0,2.35
5,2.35
3,2.35
0,2.35
0,1.85
9,1.85
2,2.35
2,2.35
0,2.35
1,1.85
4,2.35
1,2.35
0,2.35
0,2.35
0,1.85
2,2.35
0,1.85
0,2.35
0,1.85
2,
1,1.85
2,
0,1.85
0,1.37
1,1.85
3,1.85
1,2.35
0,1.85
1,2.35
2,2.35
3,2.35
2,1.85
1,2.35
2,1.85
0,1.85
0,1.85
0,1.85
1,1.85
2,2.35
2,1.85
1,1.85
0,1.85
3,2.35
1,1.85
,
0,1.85
2,2.35
2,16.0
0,1.85
2,1.85
0,2.35
0,1.85
1,1.85
0,2.35
1,2.35
3,1.85
2,2.35
0,2.35
1,1.85
2,1.85
1,1.85
0,1.85
1,2.35
0,1.85
2,1.85
2,1.85
0,2.35
3,2.35
0,16.0
0,2.35
0,2.35
1,1.85
2,1.85
1,1.85
3,1.85
6,2.35
2,2.35
2,1.66
0,1.85
0,1.85
1,1.85
2,2.35
3,2.35
2,16.0
2,1.85
3,2.35
1,2.35
4,2.35
4,2.35
0,2.35
2,
5,2.35
0,1.66
1,2.35
0,1.85
2,2.35
0,2.35
6,
2,2.35
0,2.35
0,2.35
0,1.85
2,2.35
