actor_1_facebook_likes,plot_keywords,country
18000,computer|contract|earth|moon|solitude,UK
2000,bar mitzvah|carried in a chair|hebrew|party|rite of passage,USA
55,3d|imax|plesiosaur|sea|water,UK
990,anger|bus|child|lawyer|school,Canada
186,catholic church|community|monastery|monk|terrorist,France
25000,airport|california|flat tire|overalls|wine,USA
922,breasts growing|coors light|drugs|hospital|spinning in grave,USA
14000,fantasy life|friend|friendship|love|teenage crush,New Zealand
4000,heaven|hospital|praying|pronounced dead|recovery,USA
8000,alcoholic|beer|bicycle|new neighbor|yard sale,USA
624,blackmail|client|private detective|private investigator|tycoon,USA
23000,alienation|conscience|insomnia|paranoia|urban gothic,Spain
722,bare breasts|drugs|existentialism|new york city|redemption,USA
10000,based on true story|cia|cocaine|journalist|smear campaign,USA
967,car|comic book|comic book artist|iphone|memory,USA
3000,drug dealer|drugs|gay|homosexual|party,USA
727,murder|neo nazi|punk band|skinhead|suspense,USA
740,marriage|orgasm|school|sex|swimming,USA
578,box office flop|critically bashed|economy|individual versus society|rescue,USA
387,caper|escapade|motel|robbery|texas,USA
10000,bar|box office flop|hostage|new orleans louisiana|police,USA
75,africa|hindu|india|muslim|south africa,India
6,abu ghraib|abuse|prison|slow motion|torture,USA
311,explosion|hitchhiking|punk|trauma|truck driver,Canada
948,cabin|chainsaw|college kid|hillbilly|vacation,Canada
3000,christmas|fable|old man,USA
197,engineer|ethics|mountain|railroad|south america,USA
1000,cola|desert|ice cream cone|teenage girl|vomiting,USA
889,breasts|campus|college|tentacle|virginity,Canada
432,farm|handheld camera|impostor|rap|rock paper scissors,USA
343,blood splatter|iraq|murder|rape|soldier,USA
811,death|love|marriage|secret|suspicion,Germany
1000,catholic|death row|inmate|oklahoma city|sexual promiscuity,USA
46,alien|alien abduction|conspiracy|secret base|ufo,USA
331,apartment|concierge|girl|hitchcockian|stalking,Spain
570,countryside|deformed|farmer|gangster|kidnapping,UK
866,african american policeman|police|policeman|policewoman|vomiting,USA
3000,flatulence|march|penguin|south pole|spoof,USA
695,,USA
1000,best friend|friend|police|police department|psychic,USA
745,demo tape|directed by cast member|grieving father|guitar|guitar player,USA
979,bare butt|baseball|children|new york yankees|surrealism,USA
989,,USA
708,abduction|based on true story|mexico,USA
12000,cia|individualism|mental illness|religion|revenge,Bahamas
1000,fight|mina|murder|revenge|terrorist,UK
1000,astronaut|hoax|journalist|mission|nasa,USA
975,,USA
784,,USA
40000,part of trilogy|second part,USA
741,building|infection|navy seal|shot through the head|zombie,USA
61,hotel|legs|lingerie|waiter|wealth,Czech Republic
595,2000s|burglar|chef|cook|restaurant,Germany
3000,friend|mental institution|murder|repair shop|small town,USA
874,boarding school|boy|british horror|ghost|school,UK
1000,bratislava|hostel|sadistic horror|torture|travel,USA
1000,actor playing himself|battle|boots|penis|womb,UK
982,ambiguous ending|firefly|mysterious event|schizophrenia|storm,USA
968,1960s|boy|ghost|murder|small town,USA
10000,actress|coming of age|retired actress|teenage boy|vomiting,UK
927,apology|death|group of friends|sex|toilet,USA
237,chainsaw|chainsaw murder|human monster|music score composed by director|obscene finger gesture,USA
773,bare breasts|flogging|human branding|man slaps a woman|manhunt,USA
33000,brutal cop|drug dealer|punishment|thai boxing|vengeance,Denmark
226,cabin|girl fight|jealousy|sailing boat|tent,France
571,bare chested male|journalist|passion|pregnancy|woman in underwear,USA
5,,India
18000,boy|dock|letter|seaside|stranger,UK
584,contemporary west|cowboy|horse|jockey|neo western,Canada
74,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,France
943,,Mexico
13000,incest|male nudity|older man younger woman relationship|orgasm|son murders mother,Spain
109,true crime,New Zealand
801,misfit|police|police academy|police cadet|police officer,USA
1000,coming of age|island|poison|teenage boy|teenage girl,USA
1000,1990s|chick flick|funeral|gay relationship|wedding,UK
1000,break up|california|high school|surfer|teacher,USA
232,obsession|revenge|ship|whale|whaling,USA
22000,bar|dream|drug dealing|nightclub|widower,USA
562,,USA
3000,gangster|lesbian|mafia|money|neo noir,USA
1000,addiction|diet pill|drug addiction|fast motion scene|heroin,USA
188,fair|farm|iowa|newspaper|state fair,USA
341,dancer|director|love|musical filmmaking|tango,Spain
854,1980s|el salvador|political thriller|reagan administration|war journalism,UK
589,blogger|pastor|reference to the shawshank redemption|taser|tasered,USA
15000,1980s|death|insanity|parallel universe|time travel,USA
274,conflicted hero|flashback|mission|rescue|rescue mission,Mexico
25,bailiff|lawyer|office|police|school,Netherlands
835,male nudity|meth|meth lab|nudity|speed freak,USA
1000,forgiveness|ghost|new jersey|pedophile|three sisters,USA
717,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,South Korea
24,mozart|musical prodigy|royal court|singer|talent,France
26000,inmate|prison|prison guard|soccer|soccer star,UK
155,baby|friendship|macau|practical joke|selfie,Hong Kong
820,assumed identity|bolivia|butch cassidy|doctor|thief,Spain
129,abandoned by mother|poverty|sex trade|teenage prostitution|unpaid bill,Sweden
14000,breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer,USA
327,,India
888,1960s|escape|mental institution|nurse|sexuality,USA
19000,cabinet|carnival|halloween|soul|temptress,USA
898,black comedy|friend|modern silent movie|silent movie|two word title,USA
85,1990s|businessman|evacuation|historical fiction|kuwait,India
662,girl|heroine|kindred spirit|orphan|rural setting,Canada
2000,,USA
2000,bank|criminal|detective|flying squad|policewoman,UK
1000,boulder|gangster|one last job|spain|villa,UK
309,double life|drugs|financial crisis|first part|serbian,Sweden
446,girl|maori|new zealand|tradition|whale,New Zealand
464,adult actor playing minor|politician|progeria|reference to spiderman|school,India
29,23rd century|lucid dream|outer space|space travel|trapped in space,Switzerland
20000,1940s|child hero|fantasy world|orphan|reference to peter pan,USA
755,audition|basketball|high school|singing|teenager,USA
1000,based on film|brother brother relationship|crime family|remake|southern california,USA
471,actor|love|obsession|obsessive love|star,UK
114,battle|bridge|mother son relationship|supernatural power|vampire,Russia
1000,androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love,UK
110,female full frontal nudity|revenge|school|sheriff|virginity,Canada
648,delaware|feud|island|undead|zombie,USA
125,cemetery|farmhouse|radiation|running out of gas|zombie,USA
19000,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship,USA
11000,breaking the fourth wall|comedian|jewish|neurosis|singer,USA
232,circus|clown|elephant trainer|trapeze|trapeze artist,USA
23000,egypt|exodus|moses|pharaoh|plague,UK
13000,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex,USA
584,father daughter relationship|playing against type|post apocalypse|protective father|zombie apocalypse,USA
12000,alcoholic|bar|love|prostitute|sex,USA
707,hansel and gretel|lesbian kiss|marijuana|witch|witchcraft,USA
431,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,USA
597,1920s|communist|escape from jail|newspaper|reporter,USA
3000,adultery|argument|older woman younger man relationship|oral sex|sex scene,USA
746,acrobat|circus|cripple|trapeze|trapeze artist,USA
1000,catholic|death row|inmate|oklahoma city|sexual promiscuity,USA
14000,biological father|college|motorcycle|sperm|sperm donor,USA
355,alien|brainwashing|construction worker|sunglasses|teleportation,USA
773,digging|escape|escape attempt|prisoner|tunnel,USA
847,consciousness|photographer|radical|science|scientist,USA
45000,car fire|evil|hospital|hotel|prophecy,France
230,12 year time span|coming of age|domestic abuse|growing up|separated parents,USA
19000,english garden|fake drowning|fake parent|musical instrument|poker the card game,UK
1000,astronaut|cage|planet|wilhelm scream|year 2029,USA
522,african american stereotype|car wash|rent|roommate|threatening telephone call,USA
939,adult diaper|diaper|digit in title|dream|sawed off shotgun,USA
658,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed,USA
862,cowboy|divorce|horse|sexy|wild horse,USA
49000,boy|radio show|social worker|telephone|wisconsin,USA
584,critically bashed|mafia|police|telephone|unemployment,USA
798,evil|killer|murder|psychopath|serial killer,USA
382,dead children|ghost|missing child|orphan|orphanage,Spain
986,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm,USA
16000,bisexual|college|drug dealer|drugs|student,USA
204,1960s|agent|cuba|intelligence|spy,USA
812,illinois|judge|male full back nudity|revenge|wine tasting,USA
4000,bellhop|coven|gangster|hotel|new year's eve,USA
769,bdsm|employer employee relationship|hospital|mental hospital|secretary,USA
960,cancun mexico|mexico|spring break|vacation|wisconsin,USA
721,listener|neo nazi|radio|radio station|radio talk show,USA
925,amateur theater|dentist|missouri|small town|travel agent,USA
834,black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman,USA
497,alcoholic|buffalo new york|claim in title|embalming|mortuary,USA
730,attention deficit disorder|debate|drugs|psychologist|school,USA
1000,atf agent|ball gag|cult leader|pastor|pretending to be dead,USA
420,circus|dark fantasy|dream|dream world|fantasy world,UK
48,hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park,USA
721,bare breasts|comic relief|dragon|gladiator|harem,USA
947,art teacher|artist|high school|homework|principal,USA
1000,escort|f word|no opening credits|one word title|prosecutor,USA
979,beating|hustler|jail|money|revenge,USA
2000,1950s|italian|murder|tunisia|vomiting,USA
690,boudoir|death|insanity|male full frontal nudity|penis,France
12000,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,USA
419,con artist|money|orphan|scam|secretary,UK
10000,electric chair|haunting|prison|prisoner|revenge,USA
945,cliche|exchange student|slasher|spoof|surfing,Australia
759,competition|fake documentary|hairdresser|nudity|reference to liberace,UK
623,,Mexico
617,counselor|fbi|revenge motive|school|teenage girl,USA
736,alopecia|belfast northern ireland|ireland|irish republican army|scalper,USA
578,australian|female armpit hair|friend|sheffield|yorkshire,UK
18000,beach|friend|friendship|happiness|neighbor,Australia
4000,dying|hospital|parenthesis in title|punctuation in title|tears,USA
331,australia|bar|shipyard|siamese twins|tuna,Spain
530,canada|post apocalypse|road movie|vampire|vampire hunter,USA
254,cafeteria|female protagonist|rival|teenage girl|teenager,USA
18000,1940s|female bare foot|picket fence|tire|vomiting,USA
585,gay|male frontal nudity|male nudity|male rear nudity|nudity,Brazil
3000,countryside|marriage|maryland|usa|wedding,USA
762,kidnapper|mountaineering|scotland|scottish highlands|sniper,UK
686,imagination|one word title|part animation|surrealism|virtual reality,Canada
114,rafting|russia|school|student|teacher,Russia
713,continental congress|debate|declaration of independence|massachusetts|pennsylvania,USA
223,,Canada
431,bomb|bombing mission|munitions|oxford|royal flying corps,USA
650,directed by star|written and directed by cast member,USA
763,documentary crew|mass suicide|survivor|tied feet|tied up while barefoot,USA
399,escape|high school|high school prom|prom|prom king,Australia
166,motel|psychopath|psychopathic killer|road trip|vomiting,USA
637,,USA
544,boyfriend girlfriend relationship|friend|praying|surfing|wave,South Africa
11000,chariot race|epic|false accusation|jerusalem|slave,USA
559,catholic|chancellor|divorce|king henry viii|thomas more,UK
3000,media|monologue|television|television network|television news,USA
503,battle of the sexes|gallantry|honesty|indifference|scandal,USA
507,dance|dancer|dancing|desert|iran,UK
773,apache|apache indian|confederate|mexico|scout,USA
881,latina|south central los angeles,USA
277,girl|gun|love|sharpshooter|the end,USA
414,accidental shooting|bird|crow|exploding animal|muslim,UK
119,1910s|desert|dunes|goat|slave,Brazil
963,gun running|organized crime|pimp|superhero|vigilante,Canada
89,hoop|horseback riding|love|pirate|singer,USA
117,bar|bartender|death|heart attack|mentor protege relationship,Iceland
3000,gay|headmaster|oxford|school|teacher,UK
14000,agriculture|airport|amnesia|nurse|scientist,UK
443,colonel|doctor|korean war|major|nurse,USA
183,gay|homosexual|homosexuality|hustler|male rear nudity,USA
1000,dole|male stripper|northern england|steel worker|unemployment,UK
628,air traffic controller|airplane|airport|pilot|spoof,USA
2000,army|michael jai white|ohio|steve austin,USA
826,bully|drug dealer|first part|neighbor|neighborhood,USA
851,1990s|escape|graduation|hustler|street,USA
912,music business|new york city|record executive|record label|singer,USA
3000,anthology|hit and run|hit by a car|living statue|melting woman,USA
575,desert|partner|prostitute|stagecoach|water,USA
255,homoeroticism|kansas|murder|police|robbery,USA
157,belgium|congo|convent|nun|nurse,USA
606,kidnapping|los angeles california|neo noir|private detective|ransom,USA
195,penknife|police|rape|serial killer|united kingdom,UK
648,black magic|goat|isolation|naked woman|witch,USA
625,friend|obscenity|scam|vacant lot|van,USA
385,claim in title|infidelity|irish american|love|sex,USA
3000,friendship|gardener|gay interest|homosexual|memory,USA
827,investigation|justice|murder|suspect|tension,Argentina
1000,bunker|experiment|military|research|scientist,USA
430,blood splatter|heart ripped out|jock strap|train|vomiting,USA
634,cabin|cabin in the woods|demon|evil dead|woods,USA
560,based on sketch comedy|corporation|cult film|evil corporation|sex,USA
984,cult film|hurricane|school bus|shark|shark feature,USA
174,1520s|aztec|indian|spanish colonization|spanish conquest,Mexico
29,bear|cameraman|hunter|secret government agency|troll,Norway
827,erectile dysfunction|mugger|mugging|subway robbery|therapy,USA
622,alien|escape|manager|neighborhood watch|ohio,USA
11000,love|michigan|musician|novelist|student,USA
