actor_1_name,movie_title,actor_3_name,budget,imdb_score
Javier Botet,The Conjuring 2 ,Robin Atkin Downes,40000000,7.8
Andrew Garfield,The Social Network ,Marcella Lentz-Pope,40000000,7.7
Carmen Perez,He's Just Not That Into You ,Sachiko Ishida,40000000,6.4
Beau Mirchoff,Scary Movie 4 ,Regina Hall,45000000,5.1
Kelly Rutherford,Scream 3 ,Nancy O'Dell,40000000,5.5
Lea Thompson,Back to the Future Part III ,Thomas F. Wilson,40000000,7.4
Will Ferrell,Get Hard ,Craig T. Nelson,40000000,6.0
Keanu Reeves,Bram Stoker's Dracula ,Gary Oldman,40000000,7.5
Meryl Streep,Julie & Julia ,Vanessa Ferlito,40000000,7.0
Harrison Ford,42 ,Nicole Beharie,40000000,7.5
Philip Seymour Hoffman,The Talented Mr. Ripley ,Jack Davenport,40000000,7.3
Bill Murray,Dumb and Dumber To ,Rob Riggle,35000000,5.7
Paul Walker,Eight Below ,Wendy Crewson,40000000,7.3
Robert De Niro,The Intern ,Rene Russo,35000000,7.2
Olivia Munn,Ride Along 2 ,Bruce McGill,40000000,5.9
Wes Studi,The Last of the Mohicans ,Eric Schweig,40000000,7.8
Bokeem Woodbine,Ray ,Harry Lennix,40000000,7.7
Rosario Dawson,Sin City ,Jason Douglas,40000000,8.1
Dennis Quaid,Vantage Point ,William Hurt,40000000,6.6
J.K. Simmons,"I Love You, Man ",Jane Curtin,40000000,7.1
Jason Alexander,Shallow Hal ,Susan Ward,40000000,5.9
Sally Kirkland,JFK ,Cheryl Penland,40000000,8.0
Chloë Grace Moretz,Big Momma's House 2 ,Marisol Nichols,40000000,4.6
J.K. Simmons,The Mexican ,Julia Roberts,34000000,6.1
Finn Wittrock,Unbroken ,Alex Russell,65000000,7.2
Matthew Perry,17 Again ,Thomas Lennon,20000000,6.4
Don Johnson,The Other Woman ,David Thornton,40000000,6.0
Krista Allen,The Final Destination ,Shantel VanSanten,40000000,5.2
Tom Hanks,Bridge of Spies ,Amy Ryan,40000000,7.6
Joaquim de Almeida,Behind Enemy Lines ,Sam Jaeger,40000000,6.4
Pink,Get Him to the Greek ,Lino Facioli,,6.4
Lisa Ann Walter,Shall We Dance ,Omar Benson Miller,50000000,6.1
Kirsten Dunst,Small Soldiers ,Robert Picardo,40000000,6.1
Michael Jai White,Spawn ,Miko Hughes,40000000,5.2
Henry Cavill,The Count of Monte Cristo ,Michael Wincott,35000000,7.7
Matthew McConaughey,The Lincoln Lawyer ,Frances Fisher,40000000,7.3
Liam Neeson,Unknown ,Aidan Quinn,30000000,6.9
Christian Bale,The Prestige ,Scarlett Johansson,40000000,8.5
Kevin Spacey,Horrible Bosses 2 ,Lindsay Sloane,42000000,6.3
Brendan Fraser,Escape from Planet Earth ,Jonathan Morgan Heit,40000000,5.9
Rudy Youngblood,Apocalypto ,Jonathan Brewer,40000000,7.8
Joe Don Baker,The Living Daylights ,Art Malik,30000000,6.7
Topher Grace,Predators ,Derek Mears,40000000,6.4
Brian Dennehy,Legal Eagles ,Roscoe Lee Browne,40000000,5.9
Johnny Depp,Secret Window ,Timothy Hutton,40000000,6.6
Keanu Reeves,The Lake House ,Ebon Moss-Bachrach,40000000,6.8
Gena Rowlands,The Skeleton Key ,Joy Bryant,43000000,6.5
Jennifer Garner,The Odd Life of Timothy Green ,Common,25000000,6.6
Busy Philipps,Made of Honor ,Kevin Sussman,40000000,5.8
Johnny Cannizzaro,Jersey Boys ,Scott Vance,40000000,6.9
Matt Damon,The Rainmaker ,Virginia Madsen,40000000,7.1
Robert Downey Jr.,Gothika ,Bernard Hill,40000000,5.8
Anthony Hopkins,Amistad ,Matthew McConaughey,36000000,7.2
Lorraine Bracco,Medicine Man ,Sean Connery,40000000,6.0
Sam Trammell,Aliens vs. Predator: Requiem ,Ian Whyte,40000000,4.7
Macaulay Culkin,Ri¢hie Ri¢h ,Jonathan Hyde,40000000,5.2
J.K. Simmons,Autumn in New York ,Elaine Stritch,40000000,5.5
Brad Garrett,Music and Lyrics ,Haley Bennett,,6.5
Bobby Lee,Paul ,Jeremy Owen,40000000,7.0
Miriam Margolyes,The Guilt Trip ,Julene Renee,40000000,5.8
Alison Brie,Scream 4 ,Shenae Grimes-Beech,40000000,6.2
Nicolas Cage,8MM ,Anthony Heald,40000000,6.5
Michael Wincott,The Doors ,Kathleen Quinlan,38000000,7.2
James Wilcox,Sex Tape ,Nat Faxon,40000000,5.1
Adam Arkin,Hanging Up ,Jesse James,60000000,4.7
Emma Bell,Final Destination 5 ,Courtney B. Vance,40000000,5.9
Jeanne Tripplehorn,Mickey Blue Eyes ,Vincent Pastore,40000000,5.8
Kevin Spacey,Pay It Forward ,Angie Dickinson,40000000,7.2
Jimmy Fallon,Fever Pitch ,Ione Skye,30000000,6.2
Bruce Dinsmore,Arthur             ,Daniel Brochu,,7.4
Lisa Ann Walter,Drillbit Taylor ,Matt Walsh,40000000,5.7
Liam Neeson,A Million Ways to Die in the West ,Seth MacFarlane,40000000,6.1
Jonathan Winters,The Shadow ,John Kapelos,25000000,6.0
Tom Hanks,Extremely Loud & Incredibly Close ,Stephen Henderson,40000000,6.9
Noah Bean,Morning Glory ,Vanessa Aspillaga,40000000,6.5
50 Cent,Get Rich or Die Tryin' ,Marc John Jefferies,40000000,5.0
Michael Biehn,The Art of War ,Anne Archer,40000000,5.7
Rosario Dawson,Rent ,Jesse L. Martin,40000000,7.0
Rufus Sewell,Bless the Child ,Angela Bettis,40000000,5.1
Oliver Hudson,The Out-of-Towners ,Carlease Burke,40000000,5.3
Marlon Brando,The Island of Dr. Moreau ,Marco Hofschneider,40000000,4.4
Catherine Deneuve,The Musketeer ,Stephen Rea,40000000,4.7
Natalie Portman,The Other Boleyn Girl ,Benedict Cumberbatch,35000000,6.7
Keanu Reeves,Sweet November ,Frank Langella,40000000,6.7
Stephen Rea,The Reaping ,William Ragsdale,40000000,5.7
Robert De Niro,Mean Streets ,David Proval,500000,7.4
Ed Begley Jr.,Renaissance Man ,Lillo Brancato,40000000,6.1
Jordi Mollà,Colombiana ,Jesse Borrego,40000000,6.4
Gary Oldman,The Magic Sword: Quest for Camelot ,Eric Idle,40000000,6.2
Robert De Niro,City by the Sea ,John Doman,60000000,6.2
Mira Sorvino,At First Sight ,Steven Weber,60000000,5.9
Dane Cook,Torque ,Christina Milian,40000000,4.0
Al Pacino,City Hall ,Bridget Fonda,40000000,6.2
Bobbie Phillips,Showgirls ,Robert Davi,45000000,4.6
Kirsten Dunst,Marie Antoinette ,Rip Torn,40000000,6.4
Nicolas Cage,Kiss of Death ,Philip Baker Hall,40000000,5.9
Sylvester Stallone,Get Carter ,Lauren Lee Smith,40000000,5.1
Naomi Watts,The Impossible ,Oaklee Pendergast,45000000,7.6
Carol Kane,Ishtar ,Isabelle Adjani,51000000,4.2
Bill Murray,Fantastic Mr. Fox ,Helen McCrory,40000000,7.8
Angelina Jolie Pitt,Life or Something Like It ,James Gammon,40000000,5.8
Richard Epcar,Memoirs of an Invisible Man ,Patricia Heaton,40000000,5.9
Mathieu Kassovitz,Amélie ,Isabelle Nanty,77000000,8.4
Mary-Kate Olsen,New York Minute ,Riley Smith,30000000,4.8
Omar Epps,Alfie ,Jane Krakowski,60000000,6.2
Ted Danson,Big Miracle ,Andrew Daly,40000000,6.5
Alexa PenaVega,The Deep End of the Ocean ,Jonathan Jackson,40000000,6.3
Natascha McElhone,Feardotcom ,Udo Kier,42000000,3.3
Josh Hutcherson,Cirque du Freak: The Vampire's Assistant ,Patrick Fugit,40000000,5.9
Daniel Radcliffe,Victor Frankenstein ,Daniel Mays,40000000,6.0
Justin Theroux,Duplex ,Harvey Fierstein,40000000,5.8
Bernie Mac,Soul Men ,Mike Epps,,6.5
M. Emmet Walsh,Raise the Titanic ,Anne Archer,36000000,4.7
Michael Jai White,Universal Soldier: The Return ,Xander Berkeley,24000000,4.1
Norman Reedus,Pandorum ,Eddie Rouse,33000000,6.8
Gary Dourdan,Impostor ,Tim Guinee,40000000,6.2
Rufus Sewell,Extreme Ops ,Rupert Graves,40000000,4.5
Bridgette Wilson-Sampras,Just Visiting ,John Aylward,40000000,5.8
Chris Evans,Sunshine ,Troy Garity,26000000,7.3
John Gatins,A Thousand Words ,Greg Collins,40000000,5.9
Eric Idle,Delgo ,Kelly Ripa,40000000,4.4
Ray Winstone,The Gunman ,Jasmine Trinca,40000000,5.8
Alex Pettyfer,Alex Rider: Operation Stormbreaker ,Ashley Walters,40000000,5.1
Sarah Roemer,Disturbia ,Jose Pablo Cantillo,20000000,6.9
Angelina Jolie Pitt,Hackers ,Lorraine Bracco,20000000,6.2
James Brolin,The Hunting Party ,Ljubomir Kerekes,25000000,6.9
Jennifer Jason Leigh,The Hudsucker Proxy ,John Mahoney,30000000,7.3
Jet Li,The Warlords ,Andy Lau,40000000,7.1
Jay Hernandez,Nomad: The Warrior ,Jason Scott Lee,25000000,6.0
Chris Evans,Snowpiercer ,Kang-ho Song,39200000,7.0
Adam Goldberg,A Monster in Paris ,François Cluzet,25000000,6.8
Matthew Broderick,The Last Shot ,Tim Blake Nelson,,5.7
Michael Wincott,The Crow ,David Patrick Kelly,23000000,7.6
Tamannaah Bhatia,Baahubali: The Beginning ,Prabhas,18026148,8.4
Arliss Howard,The Time Traveler's Wife ,Michelle Nolden,39000000,7.1
Colin Ferguson,Because I Said So ,Tom Everett Scott,,5.6
Paul Walker,The Fast and the Furious ,Jordana Brewster,38000000,6.7
Martin Landau,Frankenweenie ,Atticus Shaffer,39000000,7.0
Adam Baldwin,Serenity ,Michael Hitchcock,40000000,8.0
Omar Epps,Against the Ropes ,Tim Daly,39000000,5.3
Margot Kidder,Superman III ,Jackie Cooper,39000000,4.9
Robert De Niro,Grudge Match ,Oscar Gale,40000000,6.4
Takeshi Kaneshiro,Red Cliff ,Wei Zhao,553632000,7.4
Ethan Embry,Sweet Home Alabama ,Courtney Gains,38000000,6.1
Gerard Butler,The Ugly Truth ,Eric Winter,38000000,6.5
Austin Pendleton,Sgt. Bilko ,Max Casella,39000000,5.7
Steve Buscemi,Spy Kids 2: Island of Lost Dreams ,Emily Osment,38000000,5.1
LeVar Burton,Star Trek: Generations ,Jonathan Frakes,35000000,6.6
