num_critic_for_reviews,actor_3_facebook_likes,movie_title,plot_keywords,content_rating,title_year
292,74,The Innkeepers ,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,R,2011
178,389,The Unborn ,babysitting|experiment|nightmare|possession|twin,PG-13,2009
120,48,The Conformist ,fascist|gun|italy|nudity|sexuality,R,1970
31,21,Interview with the Assassin ,conspiracy theory|kennedy assassination|mock documentary|paranoia,R,2002
114,201,Donkey Punch ,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,R,2008
233,280,All the Boys Love Mandy Lane ,drugs|female nudity|party|voyeur|voyeurism,R,2006
8,118,Bled ,artist|blood|drug|tree sap|vampire,R,2009
153,433,High Noon ,appeasement|frontier justice|justice|one against many|street shootout,PG,1952
53,2,Hoop Dreams ,athlete|basketball|high school|high school student|school,PG-13,1994
49,14,Rize ,clown|clowning|dance|gang|south central los angeles,PG-13,2005
4,567,Destiny ,first person shooter,,2014
64,36,L.I.E. ,ephebophile|pederasty|pedophilia|playing hooky|shaving,NC-17,2001
23,195,The Sisterhood of Night ,accused of witchcraft|based on short story,PG-13,2014
8,311,B-Girl ,brooklyn new york city|los angeles california|teacher|trauma|violence,PG-13,2009
446,84,King Kong ,animal name in title|ape abducts a woman|gorilla|island|king kong,PG-13,2005
228,324,House of Wax ,brother sister relationship|group of friends|male nudity|twin|wax,R,2005
208,71,Half Nelson ,bathroom|classroom|dialectics|drugs|student,R,2006
2,236,Naturally Native ,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,PG-13,1998
25,48,Hav Plenty ,friend|new year's eve|screwball|self discovery|social differences,R,1997
8,137,Adulterers ,cheating husband|female nudity|male nudity|male rear nudity|revenge,,2015
143,432,Escape from Tomorrow ,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,Not Rated,2013
21,442,Starsuckers ,celebrity|consumerism|fashion|media manipulation,,2009
1,21,The Hadza: Last of the First ,east africa|hunter gatherer|indigenous|rift valley|swahili,,2014
34,258,After ,coma|crash,PG-13,2012
5,2000,Treachery ,panties|white panties,,2013
10,912,Walter ,based on short film|based on short story,,2015
66,23,Top Hat ,dance|dancer|dancing|horse|tap dancing,Approved,1935
360,39,The Blair Witch Project ,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,R,1999
53,136,Woodstock ,drugs|hippie|music festival|the who|woodstock,R,1970
82,11,The Kentucky Fried Movie ,fake commercial|fake newscast|fake trailer|parody|spoof,R,1977
15,254,Mercy Streets ,church|cigarette smoking|deacon|twin brother|twins,PG-13,2000
,20,Arnolds Park ,,PG-13,2007
18,218,Broken Vessels ,independent film|katana sword|los angeles storm drain,R,1998
,359,Water & Power ,,Not Rated,2013
22,0,They Will Have to Kill Us First ,,,2015
15,0,Crop Circles: Quest for Truth ,crop circle|intelligence|paranormal|phenomenon|universe,,2002
,271,Light from the Darkroom ,china|faith|panama|photography|suspense,PG-13,2014
18,2,Irreplaceable ,doctor|hospital|mayor|no opening credits|title at the end,,2016
8,233,The Maid's Room ,,,2013
105,704,A Hard Day's Night ,boy|concert|drummer|manager|television,Approved,1964
3,,The Harvest/La Cosecha ,child labor|education|hispanic|labor|migration,,2011
4,221,Love Letters ,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,R,1983
2,0,Julija in alfa Romeo ,,,2015
50,150,Fireproof ,christian film|dare|firefighter|internet pornography|marriage,PG,2008
19,0,Faith Connections ,faith|ganja|kumbh mela|little boy|orphan,,2013
5,142,Benji ,animal abuse|cat|dog|dog movie|tween girl,G,1974
235,7,Open Water ,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,R,2003
8,201,High Road ,,R,2011
95,22,Kingdom of the Spiders ,death|farm|hotel|spider|tarantula,PG,1977
84,0,Mad Hot Ballroom ,ballroom dancing|new york city|poise|self confidence|teacher,PG,2005
154,587,The Station Agent ,abandoned|depot|dwarf|newfoundland new jersey|train,R,2003
20,234,To Save a Life ,basketball|beer pong|childhood friend|christian|suicide,PG-13,2009
88,2,Wordplay ,comedian|crossword puzzle|editor|new york times|puzzle,PG,2006
70,43,Beyond the Mat ,championship|drugs|three word title|wrestler|wrestling,R,1999
5,15,The Singles Ward ,church|love|marriage|mormon|single,PG,2002
105,0,Osama ,boy|girl|hair|school|taliban,PG-13,2003
29,59,Sholem Aleichem: Laughing in the Darkness ,jewish identity,Unrated,2011
46,17,Groove ,dj|ecstasy the drug|rave|raver|warehouse,R,2000
3,17,The R.M. ,latter day saints|missionary|pickup truck|police|video camera,PG,2003
54,482,Twin Falls Idaho ,conjoined twins|independent film|low budget film|separation|twin,R,1999
126,595,Mean Creek ,boat|bully|dare|friend|river,R,2004
17,474,Hurricane Streets ,gang|new mexico|prison|smuggling|theft,R,1997
25,658,Never Again ,bar|gay bar|love|mother son relationship|new york,R,2001
11,469,Civil Brand ,abuse of power|friendship|prison|prison guard|title directed by female,R,2002
81,213,Lonesome Jim ,bail|coma|dart board|indiana|ladder factory,R,2005
155,243,Drinking Buddies ,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,R,2013
39,49,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,stage magician,,2012
153,4,Seven Samurai ,16th century|battle|japan|practice|samurai,Unrated,1954
26,8,The Other Dream Team ,basketball|basketball team|grateful dead|lithuanian|olympics,Not Rated,2012
10,329,Johnny Suede ,idol|musician|vomiting|watching television|wyoming,R,1991
35,143,Finishing the Game: The Search for a New Bruce Lee ,bruce lee|jeet kune do|karate|satire|spoof,Not Rated,2007
230,196,Rubber ,desert|dump|show|spectator|tire,R,2010
165,183,Home ,alien friendship|alien invasion|australia|flying car|mother daughter relationship,PG,2015
9,325,Kiss the Bride ,best friend|high school|love|secret|wedding,R,2007
17,699,The Slaughter Rule ,cheerleader|father son relationship|football coach|loss of father|mother son relationship,R,2002
344,113,Monsters ,alien|alien invasion|destroyed building|destruction|mexico,R,2010
2,347,The Californians ,based on novel,PG,2005
28,170,The Living Wake ,artist|black comedy,PG-13,2007
29,445,Detention of the Dead ,based on play|blood|independent film|teenager|zombie,Not Rated,2012
11,0,Crazy Stone ,bankruptcy|crystal|father son relationship|heist|shower,,2006
48,25,Scott Walker: 30 Century Man ,avant garde|british pop|character name in title|musician|number in title,,2006
24,637,Everything Put Together ,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,R,2000
166,118,Good Kill ,cigarette butt|drone|funeral procession|nellis air force base|taliban,R,2014
,0,Insomnia Manica ,,,2005
9,205,The Outrageous Sophie Tucker ,,,2014
48,680,Now Is Good ,death|dying|leukemia|teenage girl|terminal illness,PG-13,2012
64,238,Girls Gone Dead ,mini skirt|party|spring break|voyeur|war hammer,R,2012
,569,America Is Still the Place ,,,2015
1,152,Subconscious ,military|submarine|suspense|time travel|world war two,R,2015
111,135,Crossroads ,audition|friendship|graduation|high school graduation|love,PG-13,2002
26,120,Enter Nowhere ,cabin|going in circles|pac man|stranger|woods,R,2011
1,15,The King of Najayo ,,R,2012
3,212,Fight to the Finish ,fighting|karate,PG-13,2016
10,303,Alleluia! The Devil's Carnival ,carnival|devil|redemption|reference to god,,2016
1,33,The Sound and the Shadow ,,R,2014
1,317,Rodeo Girl ,,PG,2016
10,0,Born to Fly: Elizabeth Streb vs. Gravity ,three word title,,2014
1,53,The Little Ponderosa Zoo ,,,2016
525,11000,Oz the Great and Powerful ,circus|magic|magician|oz|witch,PG,2013
96,10,The Toxic Avenger ,boy|health club|superhero|toxic waste|troma,Unrated,1984
8,10,Straight Out of Brooklyn ,domestic violence|housing project|new york city|poverty|racism,R,1991
92,80,Bloody Sunday ,civil rights|irish|march|northern ireland|protest march,R,2002
1,237,Diamond Ruff ,prison|prisoner|reverend|terminal illness|two word title,R,2015
365,446,Conversations with Other Women ,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,R,2005
88,49,Poultrygeist: Night of the Chicken Dead ,castration|chicken|fast food|indian burial ground|protest,Unrated,2006
