num_critic_for_reviews,director_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,num_user_for_reviews,actor_2_facebook_likes,imdb_score,aspect_ratio
357,0,Christian Bale,Biography|Crime|Drama|History|Romance,Johnny Depp,Public Enemies ,Stephen Graham,585,23000,7.0,2.35
300,0,Ruby Dee,Biography|Crime|Drama,Denzel Washington,American Gangster ,RZA,458,782,7.8,1.85
94,0,Tia Carrere,Action|Comedy|Thriller,Jamie Lee Curtis,True Lies ,Tom Arnold,351,1000,7.2,2.35
267,12000,Ramon Rodriguez,Action|Crime|Thriller,Denzel Washington,The Taking of Pelham 1 2 3 ,Michael Rispoli,285,464,6.4,2.35
180,80,Blythe Danner,Comedy|Romance,Robert De Niro,Little Fockers ,Teri Polo,152,713,5.5,1.85
265,285,Will Ferrell,Action|Comedy|Crime,Dwayne Johnson,The Other Guys ,Derek Jeter,316,8000,6.7,2.35
81,55,James Coburn,Action|Drama|Mystery|Thriller,Vanessa Williams,Eraser ,Roma Maffia,131,773,6.1,2.35
765,16000,Christoph Waltz,Drama|Western,Leonardo DiCaprio,Django Unchained ,Ato Essandoh,1193,11000,8.5,2.35
80,21,Jason Alexander,Animation|Drama|Family|Musical|Romance,Demi Moore,The Hunchback of Notre Dame ,Bill Fagerbakke,230,700,6.9,1.78
141,10,Wendie Malick,Adventure|Animation|Comedy|Family|Fantasy,Eartha Kitt,The Emperor's New Groove ,John Fiedler,297,452,7.3,1.66
383,165,Sylvester Stallone,Action|Adventure|Thriller,Jason Statham,The Expendables 2 ,Bruce Willis,474,13000,6.7,2.35
193,226,Armando Riesco,Action|Adventure|Comedy|Family|Mystery,Nicolas Cage,National Treasure ,Annie Parisse,692,625,6.9,2.35
170,14,Ed Speleers,Action|Adventure|Family|Fantasy,Djimon Hounsou,Eragon ,Gary Lewis,1690,762,5.1,2.35
333,0,Ryan Corr,Adventure|Drama|Family|Fantasy,Catherine O'Hara,Where the Wild Things Are ,Max Records,388,468,6.8,2.35
256,456,Cara Delevingne,Adventure|Family|Fantasy,Hugh Jackman,Pan ,Nonso Anozie,186,548,5.8,2.35
203,77,Emma Kenney,Adventure|Animation|Family|Fantasy,Josh Hutcherson,Epic ,Troy Evans,113,151,6.7,2.35
321,207,Angelina Jolie Pitt,Action|Romance|Thriller,Johnny Depp,The Tourist ,Rufus Sewell,374,11000,6.0,2.35
174,0,Mark Margolis,Action|Fantasy|Horror|Mystery,CCH Pounder,End of Days ,Udo Kier,524,1000,5.7,2.35
166,380,Djimon Hounsou,Adventure|Drama|Thriller,Leonardo DiCaprio,Blood Diamond ,Stephen Collins,657,3000,8.0,2.35
606,17000,Matthew McConaughey,Biography|Comedy|Crime|Drama,Leonardo DiCaprio,The Wolf of Wall Street ,Jon Favreau,1138,11000,8.2,2.35
144,541,Rene Auberjonois,Action|Adventure|Fantasy,Michael Gough,Batman Forever ,Debi Mazar,539,710,5.4,1.85
192,719,Patrick Muldoon,Action|Sci-Fi|War,Jake Busey,Starship Troopers ,Seth Gilliam,1049,475,7.2,1.85
511,670,Jim Sturgess,Drama|Sci-Fi,Tom Hanks,Cloud Atlas ,Jim Broadbent,828,5000,7.5,2.35
188,0,Richard Roxburgh,Action|Adventure|Animation|Family|Fantasy,Abbie Cornish,Legend of the Guardians: The Owls of Ga'Hoole ,Anthony LaPaglia,160,653,7.0,2.35
212,26,Christopher Heyerdahl,Action|Crime|Fantasy|Romance|Thriller,Frances Conroy,Catwoman ,Alex Borstein,660,825,3.3,2.35
245,420,Rufus Sewell,Action|Adventure,Dwayne Johnson,Hercules ,Ingrid Bolsø Berdal,269,3000,6.0,2.35
127,63,Martin Short,Adventure|Animation|Family|Sci-Fi,Joseph Gordon-Levitt,Treasure Planet ,Michael Wincott,217,770,7.1,1.5
167,52,Anna Friel,Adventure|Comedy|Sci-Fi,Will Ferrell,Land of the Lost ,Bobb'e J. Thompson,224,735,5.4,1.85
320,385,Sylvester Stallone,Action|Adventure|Thriller,Jason Statham,The Expendables 3 ,Harrison Ford,351,13000,6.1,2.35
163,19,Edgar Ramírez,Action|Crime|Sport|Thriller,Ray Winstone,Point Break ,Delroy Lindo,163,897,5.3,2.35
78,6,Traylor Howard,Comedy|Family|Fantasy,Jamie Kennedy,Son of the Mask ,Ben Stein,239,294,2.2,1.85
289,2000,Benjamin Walker,Action|Adventure|Biography|Drama|History|Thriller,Chris Hemsworth,In the Heart of the Sea ,Frank Dillane,161,911,7.0,1.85
66,31,Randy Quaid,Action|Comedy|Sci-Fi,Rosario Dawson,The Adventures of Pluto Nash ,Burt Young,164,695,3.8,1.85
266,521,Sean Huze,Action|Drama|Thriller|War,Matt Damon,Green Zone ,Igal Naor,261,537,6.9,2.35
208,20,Venus Schultheis,Adventure|Animation|Comedy|Family,Francesca Capaldi,The Peanuts Movie ,Bill Melendez,155,42,7.2,1.85
97,342,Felicity Huffman,Drama|Mystery|Thriller,Ben Gazzara,The Spanish Prisoner ,Campbell Scott,263,508,7.3,1.85
202,208,Brendan Fraser,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,The Mummy Returns ,Patricia Velasquez,890,3000,6.3,2.35
233,17000,Liam Neeson,Crime|Drama,Leonardo DiCaprio,Gangs of New York ,Jim Broadbent,1166,14000,7.5,2.35
136,611,Ni Ni,Drama|History|Romance|War,Christian Bale,The Flowers of War ,Shigeo Kobayashi,130,196,7.6,2.35
154,9,Zooey Deschanel,Animation|Comedy|Family|Sport,Jeff Bridges,Surf's Up ,Jon Heder,112,11000,6.8,1.85
169,0,Matthew Broderick,Comedy|Sci-Fi|Thriller,Jon Lovitz,The Stepford Wives ,Roger Bart,407,2000,5.2,1.85
200,0,Sam Shepard,Drama|History|War,Ioan Gruffudd,Black Hawk Down ,Ewen Bremner,1103,820,7.7,2.35
255,116,Thomas Middleditch,Comedy,Will Ferrell,The Campaign ,Katherine LaNasa,177,331,6.2,1.85
173,0,Bruce Willis,Action|Adventure|Sci-Fi,Milla Jovovich,The Fifth Element ,Gary Oldman,742,13000,7.7,2.35
221,127,Liza Minnelli,Comedy|Drama|Romance,Chris Noth,Sex and the City 2 ,Kristin Davis,293,740,4.3,1.85
82,10,Rosie Perez,Adventure|Animation|Comedy|Family|Romance,Frank Welker,The Road to El Dorado ,Elton John,139,919,6.9,1.85
233,20,Josh Gad,Adventure|Animation|Comedy|Family,Peter Dinklage,Ice Age: Continental Drift ,Drake,139,1000,6.6,2.35
343,0,Derek Jacobi,Drama|Family|Fantasy|Romance,Hayley Atwell,Cinderella ,Lily James,322,520,7.0,2.35
308,0,AJ Michalka,Drama|Fantasy|Thriller,Michael Imperioli,The Lovely Bones ,Tom McCarthy,593,560,6.7,2.35
301,475,Stephen Root,Adventure|Animation|Comedy|Family,Alexander Gould,Finding Nemo ,Brad Garrett,866,939,8.2,1.85
