actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,content_rating,actor_2_facebook_likes,aspect_ratio
Bradley Cooper,Case 39 ,60555,Vanesa Tomasino,1,R,716,2.35
Harry Lennix,Suspect Zero ,16555,William Mapother,0,R,489,1.33
Oliver Platt,Martian Child ,17436,Sophie Okonedo,0,PG,506,1.85
Alexa PenaVega,Spy Kids: All the Time in the World in 4D ,15866,Daryl Sabara,5,PG,734,1.85
Julia Roberts,Money Monster ,19611,Chris Bauer,1,R,698,2.35
Meat Loaf,Formula 51 ,42876,Paul Barber,2,R,132,2.35
Robert De Niro,Flawless ,14612,Chris Bauer,1,R,22000,1.85
LL Cool J,Mindhunters ,49405,Eion Bailey,0,R,968,2.35
Robert De Niro,What Just Happened ,23767,Kristen Stewart,1,R,18000,2.35
Charlotte Rampling,The Statement ,4257,John Neville,4,R,766,1.85
Kim-Marie Woodhouse,The Magic Flute ,926,Joseph Kaiser,1,,4,2.35
Erick Avari,Paul Blart: Mall Cop ,84209,Allen Covert,1,PG,402,1.85
Jamie Lee Curtis,Freaky Friday ,96693,Willie Garson,2,PG,528,1.85
Steve Carell,The 40-Year-Old Virgin ,313797,Gerry Bednob,1,R,966,1.85
Tom Wilkinson,Shakespeare in Love ,175524,Simon Callow,0,R,264,2.35
Liam Neeson,A Walk Among the Tombstones ,87950,David Harbour,0,R,439,2.35
Richard Tyson,Kindergarten Cop ,107801,Penelope Ann Miller,4,PG-13,394,1.85
James Franco,Pineapple Express ,255257,Rosie Perez,3,R,989,2.35
Anjelica Huston,Ever After: A Cinderella Story ,57958,Jeanne Moreau,1,PG-13,794,2.35
Robert Duvall,Open Range ,54096,Julian Richings,0,R,693,2.35
Julia Roberts,Flatliners ,62037,Hope Davis,5,R,1000,2.35
Rob McElhenney,It's Always Sunny in Philadelphia             ,133415,Glenn Howerton,5,TV-MA,547,1.33
Ryan O'Neal,A Bridge Too Far ,40277,Wolfgang Preiss,14,PG,232,2.35
Robert Pine,Red Eye ,94108,Suzie Plakson,0,PG-13,285,2.35
Sarah Carter,Final Destination 2 ,120786,Keegan Connor Tracy,0,R,439,1.85
Holly Hunter,"O Brother, Where Art Thou? ",225102,Daniel von Bargen,3,PG-13,596,2.35
Dennis Quaid,Legion ,80870,Charles S. Dutton,0,R,850,2.35
Dwayne Johnson,Pain & Gain ,161168,Michael Rispoli,4,R,412,2.35
Scarlett Johansson,In Good Company ,48973,Dennis Quaid,2,PG-13,3000,1.85
Michael Biehn,Clockstoppers ,11212,Jason George,0,PG,587,1.85
Scott Glenn,Silverado ,28247,Brad Leland,4,PG-13,130,2.35
Natalie Portman,Brothers ,88035,Bailee Madison,0,R,15000,2.35
Daniel Roebuck,Agent Cody Banks 2: Destination London ,11092,David Kelly,4,PG,934,2.35
Robert De Niro,New Year's Eve ,66579,Seth Meyers,15,PG-13,988,1.85
Angelina Jolie Pitt,Original Sin ,44913,Jack Thompson,1,R,216,2.35
Pam Ferris,The Raven ,72886,Kevin McNally,1,R,570,2.35
Rip Torn,Welcome to Mooseport ,10667,Maura Tierney,2,PG-13,590,1.85
Christopher Lambert,Highlander: The Final Dimension ,16194,Mario Van Peebles,0,PG-13,691,2.35
Harold Perrineau,Blood and Wine ,7772,Judy Davis,3,R,854,1.85
David Conrad,Snow White: A Tale of Terror ,8118,Monica Keena,2,R,638,1.85
Woody Allen,The Curse of the Jade Scorpion ,31798,Peter Gerety,0,PG-13,893,1.37
