director_name,actor_2_name,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score
Luc Besson,David Bailie,51,14131298,Adventure|Biography|Drama|History|War,144,Rab Affleck,cathedral|dauphin|france|trial|wartime rape,390,France,390000000,40,6.4
David Gordon Green,Zooey Deschanel,20000,21557240,Adventure|Comedy|Fantasy,45202,James Franco,knight|prince|quest|rescue|thong bikini,274,USA,49900000,11000,5.6
Jim Sheridan,Gregory Smith,6000,21283440,Drama|Mystery|Thriller,8018,Sarah Gadon,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,137,USA,55000000,694,6.0
Costa-Gavras,Blythe Danner,972,10556196,Crime|Drama|Thriller,2606,William Atherton,hostage|museum|natural history museum|news reporter|reporter,73,USA,50000000,713,6.2
Patrick Read Johnson,Lara Flynn Boyle,1000,16671505,Adventure|Comedy|Crime|Drama|Family,2949,Cynthia Nixon,baby|baby boy|kidnapping|kidnapping a child|taxi,78,USA,50000000,619,5.9
Roland Joffé,Robert Duvall,10000,10400000,Drama|Romance,15820,Demi Moore,17th century|adultery|letter|pubic hair|swimming,90,USA,50000000,3000,5.1
Doug Liman,Ty Burrell,6000,9528092,Biography|Drama|Thriller,10191,Brooke Smith,bush administration|cia|interview|iraq|new york times,127,USA,22000000,3000,6.8
,Tony Curran,3000,,Action|Drama|Sci-Fi,5381,Grant Bowler,alien|alien invasion|planet invasion|post apocalypse|year 2046,149,USA,,845,7.0
Tony Scott,Mo'Nique,984,10137232,Action|Biography|Crime|Drama|Thriller,5702,Edgar Ramírez,bounty hunter|fbi|female bounty hunter|female nudity|reality show,374,France,50000000,940,6.0
William Friedkin,Chazz Palminteri,2000,9795017,Crime|Drama|Thriller,5461,Linda Fiorentino,blackmail|investigation|murder|panties pulled down|prostitution,70,USA,50000000,979,5.1
Mark Neveldine,Logan Lerman,18000,20488579,Action|Sci-Fi|Thriller,29926,Alison Lohman,battle|convict|death|mind control|role playing,245,USA,50000000,8000,5.8
Richard LaGravenese,Zoey Deutch,1000,19445217,Drama|Fantasy|Romance,3580,Pruitt Taylor Vince,dream|escape|magic|magic spell|small town,258,USA,60000000,852,6.2
Danny DeVito,Vincent Schiavelli,49000,8355815,Comedy|Crime|Drama|Thriller,52885,Danny Woodburn,children|children's tv show|money|revenge|scandal,341,UK,55000000,811,6.4
Ben Stiller,Will Ferrell,14000,28837115,Comedy,24107,Justin Theroux,chosen one|fashion|fashion model|model|retired,150,USA,50000000,8000,4.8
George Armitage,Andrew Wilson,11000,6471394,Comedy|Crime,11972,Willie Nelson,breasts|consensual sex|female nudity|judge|surfer,93,USA,50000000,387,4.9
Mike Nichols,Linda Fiorentino,2000,6291602,Comedy|Sci-Fi,3954,Garry Shandling,alien|baby|banker|pregnancy|question in title,91,USA,50000000,602,5.6
Patrick Lussier,Billy Burke,12000,10706786,Action|Fantasy|Thriller,16481,Katy Mixon,baby|cult|oklahoma|sex scene|waitress,211,USA,50000000,2000,5.5
Andrzej Bartkowiak,Robin Shou,841,8742261,Action|Crime|Drama|Mystery|Thriller,1385,Josie Ho,chun li|crime fighter|gangster|mobster|rescue,179,Canada,18000000,342,3.7
James Wong,Jet Li,26000,43905746,Action|Sci-Fi|Thriller,32831,Delroy Lindo,fight|multiverse|police|police officer|prison,294,USA,49000000,5000,5.9
,Graham McTavish,1000,,Drama|Romance|Sci-Fi,1863,Stephen Walters,based on novel|clan|scotland|scottish highlands|year 1743,148,USA,,531,8.5
Renny Harlin,Gilbert Gottfried,879,21413502,Action|Adventure|Comedy|Crime|Music|Mystery,2795,David Patrick Kelly,detective|groupie|murder|music industry|rock n roll,113,USA,40000000,560,6.3
Richard Curtis,Charlie Rowe,22000,7994115,Comedy|Drama|Music,24316,Tom Sturridge,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,209,UK,,882,7.4
Steven Soderbergh,Jacob Vargas,599,124107476,Crime|Drama|Thriller,1418,James Lew,cocaine|drug smuggling|interlinked stories|judge|mexico,867,USA,48000000,399,7.6
Steven Spielberg,Julian Glover,11000,197171806,Action|Adventure|Fantasy,12884,Alison Doody,castle|diary|holy grail|map|nazi,477,USA,48000000,844,8.3
Joe Wright,Guro Nagelhus Schia,2000,12802907,Drama|Romance,2035,Matthew Macfadyen,dance|infidelity|marriage|russia|russian,226,UK,,35,6.6
Neill Blomkamp,Sharlto Copley,20000,31569268,Action|Crime|Drama|Sci-Fi|Thriller,23051,Jose Pablo Cantillo,artificial intelligence|consciousness|future|mind uploading|robot,627,USA,49000000,2000,6.9
Phillip Noyce,Angelina Jolie Pitt,18000,66488090,Crime|Drama|Mystery|Thriller,29748,Leland Orser,new york city|police|quadriplegic|serial killer|suicide,397,USA,48000000,11000,6.7
David Fincher,Dwight Yoakam,17000,95308367,Crime|Drama|Thriller,18141,Mel Rodriguez,brownstone|burglar|money|panic|panic room,850,USA,48000000,324,6.8
Chuck Bowman,Lochlyn Munro,598,,Horror|Thriller,2353,Steve Bacic,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,32,USA,1500000,555,4.6
David O. Russell,Jamie Kennedy,2000,60652036,Action|Adventure|Comedy|Drama|War,3743,Mykelti Williamson,gold|gulf war|iraq|kuwait|map,560,USA,48000000,490,7.1
Daniel Espinosa,Fares Fares,27000,1206135,Crime|Drama|Thriller,27666,Michael Nardone,child murderer|murder|sex|soviet union|woman slaps a man,185,Czech Republic,50000000,254,6.4
Jerry Zucker,Douglas Haase,779,56607223,Adventure|Comedy,1823,Vince Vieluf,casino|locker|money|museum|race,497,Canada,48000000,629,6.4
Iain Softley,Jeff Bridges,18000,50173190,Drama|Mystery|Sci-Fi,33615,Alfre Woodard,extraterrestrial|hospital|patient|planet|science,537,USA,48000000,12000,7.4
James Mangold,Natasha Lyonne,20000,47095453,Comedy|Fantasy|Romance,22209,Bradley Whitford,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,316,USA,48000000,1000,6.4
