num_critic_for_reviews,duration,actor_2_name,gross,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
145,139,Glynis Johns,102300000,Ed Wynn,Mary Poppins ,2,banker|female protagonist|live action and animation|magic|nanny,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,English,USA,Approved,6000000,1964,279,7.8,0
62,124,Elizabeth McGovern,54800000,Adam Baldwin,Ordinary People ,3,choir|death|friend|suicide|therapy,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,English,USA,R,6000000,1980,553,7.8,0
188,120,Steve Coogan,24004159,Jim Broadbent,Around the World in 80 Days ,0,19th century|around the world|inventor|martial arts|train,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,English,USA,PG,110000000,2004,1000,5.8,0
120,152,George Chakiris,43650000,Rita Moreno,West Side Story ,0,dance|gang|new york city|puerto rican|tragedy,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,English,USA,Unrated,6000000,1961,271,7.6,0
71,98,Rodney Dangerfield,39800000,Bill Murray,Caddyshack ,3,caddy|country club|golf course|gopher|nudity,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,English,USA,R,6000000,1980,573,7.4,0
52,106,Tatyana Ali,27457409,Julie Benz,The Brothers ,4,african american|commitment|friend|friendship|playboy,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,English,USA,R,6000000,2001,685,6.3,478
18,106,Tamala Jones,25047631,Omar Epps,The Wood ,0,flashback|friendship|public nudity|shower|wedding,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,English,USA,R,6000000,1999,405,6.9,990
162,106,Chazz Palminteri,23272306,Kevin Spacey,The Usual Suspects ,4,criminal|dirty cop|flashback|limping|suspect,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,English,USA,R,6000000,1995,979,8.6,28000
88,89,Kelly Jo Minter,22168359,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child ,0,child|comic book|dream|murderer|nightmare,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,English,USA,X,8000000,1989,101,5.1,1000
96,94,Curtis Armstrong,21005329,Ryan Reynolds,Van Wilder: Party Liaison ,0,college|love|party|reporter|tuition,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,English,Germany,R,6000000,2002,876,6.4,0
391,109,John D'Leo,26236603,Mark Margolis,The Wrestler ,0,heart attack|stripper|supermarket|wrestler|wrestling,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,English,USA,R,6000000,2008,245,7.9,10000
32,144,Lillian Gish,20400000,Joseph Cotten,Duel in the Sun ,0,box office hit|half breed|infidelity|shooting|texas,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,English,USA,Unrated,8000000,1946,436,6.9,403
119,90,Catherine O'Hara,18621249,John Michael Higgins,Best in Show ,9,dog show|gay|gay character|gay couple|gay interest,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,English,USA,PG-13,6000000,2000,925,7.5,0
201,106,Adrienne Barbeau,25244700,Donald Pleasence,Escape from New York ,1,1990s|police|prison|rescue|year 1997,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,English,UK,R,6000000,1981,602,7.2,0
22,121,Ossie Davis,14545844,Tisha Campbell-Martin,School Daze ,4,beauty salon|black college|college|fraternity|sorority,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,English,USA,R,6500000,1988,282,5.8,624
52,89,Brian Doyle-Murray,13235267,Lochlyn Munro,Daddy Day Camp ,2,competition|estranged father|skunk|summer camp|wall,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,English,USA,PG,6000000,2007,484,2.9,256
63,86,Richard Norton,12674183,Sammo Kam-Bo Hung,Mr. Nice Guy ,1,chef|cook|drugs|gang|reporter,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,English,Hong Kong,PG-13,,1997,155,6.2,355
97,91,Christopher Guest,17508936,Michael McKean,A Mighty Wind ,0,concert|mockumentary|musician|new york city|singer,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,English,USA,PG-13,,2003,378,7.3,0
