director_name,duration,director_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,language,country,content_rating,budget,title_year,actor_2_facebook_likes
Martin Scorsese,170,17000,29000,102608827,Leonardo DiCaprio,The Aviator ,264318,Frances Conroy,0,English,USA,PG-13,110000000,2004,3000
Rob Letterman,85,11,480,42776259,James Corden,Gulliver's Travels ,53160,Olly Alexander,1,English,USA,PG,112000000,2010,392
Michel Gondry,119,1000,11000,98780042,Christoph Waltz,The Green Hornet ,136019,Chad L. Coleman,0,English,USA,PG-13,120000000,2011,1000
,60,,669,,George Peppard,The A-Team             ,25402,Dwight Schultz,4,English,USA,TV-PG,,,554
Noam Murro,102,263,6000,106369117,Eva Green,300: Rise of an Empire ,225273,Peter Mensah,0,English,USA,R,110000000,2014,1000
Raja Gosnell,103,67,383,142614158,Mahadeo Shivraj,The Smurfs ,66593,Madison McKinley,3,English,USA,PG,110000000,2011,113
Will Finn,76,6,12000,50026353,Steve Buscemi,Home on the Range ,13581,G.W. Bailey,0,English,USA,PG,110000000,2004,513
Robert Schwentke,120,124,6000,66002193,Naomi Watts,Allegiant ,44296,Zoë Kravitz,3,English,USA,PG-13,110000000,2016,5000
Shawn Levy,127,189,20000,85463309,Hugh Jackman,Real Steel ,254841,Olga Fonda,1,English,USA,PG-13,110000000,2011,929
Raja Gosnell,105,67,681,71017784,Jacob Tremblay,The Smurfs 2 ,27257,Vanessa Matsui,3,English,USA,PG,105000000,2013,71
Jan de Bont,121,101,673,48068396,Jason Patric,Speed 2: Cruise Control ,60573,Lois Chiles,0,English,USA,PG-13,160000000,1997,368
Gavin Hood,114,151,11000,61656849,Harrison Ford,Ender's Game ,184561,Aramis Knight,4,English,USA,PG-13,110000000,2013,635
Len Wiseman,129,235,13000,134520804,Bruce Willis,Live Free or Die Hard ,336235,Cyril Raffaelli,1,English,USA,PG-13,110000000,2007,300
Peter Jackson,171,0,16000,313837577,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,1238746,Billy Boyd,2,English,New Zealand,PG-13,93000000,2001,5000
Frank Coraci,120,153,1000,24004159,Jim Broadbent,Around the World in 80 Days ,68720,Cécile De France,0,English,USA,PG,110000000,2004,1000
Michael Mann,165,0,10000,58183966,Will Smith,Ali ,79186,Joe Morton,1,English,USA,R,107000000,2001,851
Bo Welch,82,34,760,100446895,Sean Hayes,The Cat in the Hat ,36033,Spencer Breslin,1,English,USA,PG,109000000,2003,743
Alex Proyas,115,295,10000,144795350,Will Smith,I, Robot ,387632,Chi McBride,1,English,USA,PG-13,120000000,2004,981
Ridley Scott,194,0,14000,47396698,Liam Neeson,Kingdom of Heaven ,217373,Philip Glenister,1,English,USA,R,130000000,2005,5000
Rob Minkoff,84,50,979,140015224,Chazz Palminteri,Stuart Little ,94172,Jeffrey Jones,0,English,Germany,PG,133000000,1999,886
Ron Clements,97,63,852,104374107,Oprah Winfrey,The Princess and the Frog ,89351,Anika Noni Rose,0,English,USA,G,105000000,2009,578
Ridley Scott,151,0,13000,228430993,Matt Damon,The Martian ,472488,Benedict Wong,1,English,USA,PG-13,108000000,2015,801
Christopher Barnard,22,0,5,,Mathew Buck,10,000 B.C.             ,6,,0,,,,,,
Michael Bay,136,0,19000,35799026,Scarlett Johansson,The Island ,263329,Djimon Hounsou,1,English,USA,PG-13,126000000,2005,12000
Peter Chelsom,104,23,752,6712451,Del Zamora,Town & Country ,4102,Garry Shandling,0,English,New Line,R,90000000,2001,631
Dominic Sena,127,57,12000,101643008,Nicolas Cage,Gone in Sixty Seconds ,218341,Robert Duvall,1,English,USA,PG-13,90000000,2000,11000
Ridley Scott,171,0,3000,187670866,Djimon Hounsou,Gladiator ,982637,Oliver Reed,0,English,USA,R,103000000,2000,933
Steven Spielberg,145,14000,10000,132014112,Tom Cruise,Minority Report ,399651,Jessica Capshaw,0,English,USA,PG-13,102000000,2002,798
Chris Columbus,174,0,11000,261970615,Daniel Radcliffe,Harry Potter and the Chamber of Secrets ,387616,Emma Watson,1,English,UK,PG,100000000,2002,10000
