duration,actor_1_name
129,Jennifer Ehle
84,Sylvester Stallone
149,Kevin Spacey
94,Tom Welling
121,Jerry Ferrara
128,Tom Hanks
134,Javier Botet
120,Andrew Garfield
129,Carmen Perez
89,Beau Mirchoff
116,Kelly Rutherford
118,Lea Thompson
107,Will Ferrell
155,Keanu Reeves
123,Meryl Streep
128,Harrison Ford
139,Philip Seymour Hoffman
109,Bill Murray
120,Paul Walker
121,Robert De Niro
102,Olivia Munn
117,Wes Studi
178,Bokeem Woodbine
147,Rosario Dawson
90,Dennis Quaid
105,J.K. Simmons
114,Jason Alexander
206,Sally Kirkland
99,Chloë Grace Moretz
123,J.K. Simmons
137,Finn Wittrock
102,Matthew Perry
109,Don Johnson
82,Krista Allen
142,Tom Hanks
106,Joaquim de Almeida
114,Pink
106,Lisa Ann Walter
108,Kirsten Dunst
98,Michael Jai White
131,Henry Cavill
118,Matthew McConaughey
113,Liam Neeson
130,Christian Bale
116,Kevin Spacey
89,Brendan Fraser
139,Rudy Youngblood
130,Joe Don Baker
107,Topher Grace
116,Brian Dennehy
96,Johnny Depp
99,Keanu Reeves
104,Gena Rowlands
105,Jennifer Garner
101,Busy Philipps
134,Johnny Cannizzaro
135,Matt Damon
98,Robert Downey Jr.
155,Anthony Hopkins
106,Lorraine Bracco
102,Sam Trammell
95,Macaulay Culkin
103,J.K. Simmons
95,Brad Garrett
109,Bobby Lee
95,Miriam Margolyes
111,Alison Brie
123,Nicolas Cage
140,Michael Wincott
94,James Wilcox
94,Adam Arkin
92,Emma Bell
102,Jeanne Tripplehorn
123,Kevin Spacey
104,Jimmy Fallon
30,Bruce Dinsmore
102,Lisa Ann Walter
136,Liam Neeson
93,Jonathan Winters
129,Tom Hanks
107,Noah Bean
117,50 Cent
116,Michael Biehn
135,Rosario Dawson
107,Rufus Sewell
90,Oliver Hudson
99,Marlon Brando
104,Catherine Deneuve
115,Natalie Portman
119,Keanu Reeves
99,Stephen Rea
112,Robert De Niro
128,Ed Begley Jr.
112,Jordi Mollà
86,Gary Oldman
108,Robert De Niro
128,Mira Sorvino
84,Dane Cook
111,Al Pacino
131,Bobbie Phillips
123,Kirsten Dunst
101,Nicolas Cage
102,Sylvester Stallone
114,Naomi Watts
107,Carol Kane
87,Bill Murray
103,Angelina Jolie Pitt
99,Richard Epcar
122,Mathieu Kassovitz
91,Mary-Kate Olsen
