num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
16,175,610,15369573,Adventure|Comedy|Sci-Fi,Ariana Richards,2580,1441,Tonya Lee Williams,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,54,PG,3000000,232,1.85,710
67,416,897,,Comedy|Thriller,Ed Lauter,15293,2811,William Devane,http://www.imdb.com/title/tt0074512/?ref_=fn_tt_tt_1,111,PG,4490375,844,1.85,609
183,180,516,,Comedy|Drama|Romance,Fred MacMurray,109335,1328,David White,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,241,Approved,3000000,417,2.35,0
112,307,935,15935068,Fantasy|Horror|Thriller,Kane Hodder,19331,2899,Erin Gray,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,317,R,2500000,805,1.85,949
64,14,18,,Thriller,Tamara Toumanova,18656,70,David Opatoshu,http://www.imdb.com/title/tt0061107/?ref_=fn_tt_tt_1,137,Approved,6000000,16,1.85,933
114,220,989,11694528,Comedy|Documentary|Music,Common,7721,2165,Lauryn Hill,http://www.imdb.com/title/tt0425598/?ref_=fn_tt_tt_1,72,R,3000000,744,1.85,635
246,748,13000,229094,Western,Michael Fassbender,27650,14696,Ben Mendelsohn,http://www.imdb.com/title/tt3205376/?ref_=fn_tt_tt_1,88,R,,884,1.66,0
7,77,685,,Comedy|Drama|Music,Blair Underwood,1361,1163,Bobby Brown,http://www.imdb.com/title/tt0089444/?ref_=fn_tt_tt_1,16,R,3000000,178,,889
49,706,1000,10017041,Action|Comedy|Crime,Omari Hardwick,8265,4815,Mike Epps,http://www.imdb.com/title/tt1097013/?ref_=fn_tt_tt_1,20,R,3000000,927,1.85,545
42,125,556,,Drama,Shirley Jones,7998,1444,Edward Andrews,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,81,Approved,3000000,422,1.66,808
73,760,877,,Drama|War,Maximilian Schell,44457,3847,Spencer Tracy,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,176,Not Rated,3000000,862,1.75,0
16,200,927,9016377,Comedy,Donald Faison,1004,1936,Countess Vaughn,http://www.imdb.com/title/tt0160298/?ref_=fn_tt_tt_1,8,R,,209,1.85,143
38,0,11,,Animation|Comedy,Matthew Senreich,32923,11,Breckin Meyer,http://www.imdb.com/title/tt0437745/?ref_=fn_tt_tt_1,75,TV-MA,,0,1.33,1000
91,281,862,,Action|Adventure|Romance|Western,Montgomery Clift,21316,2269,Harry Carey Jr.,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,162,Approved,3000000,376,1.37,0
37,233,939,7059537,Comedy,Mo'Nique,8279,2321,Joyful Drake,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,101,PG-13,3000000,407,1.85,837
405,48,140,8114507,Drama|Romance,Seamus Davey-Fitzpatrick,95362,328,Athina Rachel Tsangari,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,270,R,3000000,63,1.85,62000
29,152,641,7888703,Comedy|Fantasy,John Astin,8465,1389,Kim Darby,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,65,PG,3000000,168,1.85,491
81,135,674,7282851,Action|Fantasy|Horror|Sci-Fi|Thriller,Angus Scrimm,9502,1395,James Le Gros,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,100,R,3000000,174,1.85,812
17,469,912,6879730,Drama,Loretta Devine,806,3049,Clifton Powell,http://www.imdb.com/title/tt0399901/?ref_=fn_tt_tt_1,23,R,,637,,187
75,453,953,5844929,Comedy|Drama,America Ferrera,6000,2510,George Lopez,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,109,PG-13,3000000,625,1.85,595
,110,578,,Drama|War,Rachel Griffiths,299,1400,Luke Ford,http://www.imdb.com/title/tt3458030/?ref_=fn_tt_tt_1,1,,15000000,476,,367
91,31,1000,3222857,Drama|Romance,John Abraham,12560,1394,Seema Biswas,http://www.imdb.com/title/tt0240200/?ref_=fn_tt_tt_1,147,PG-13,,329,2.35,0
82,163,883,4170647,Comedy|Drama,Archie Panjabi,14548,1616,Om Puri,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,161,R,1900000,183,1.85,1000
48,51,472,4142507,Comedy|Romance,Callie Thorne,3665,858,David Heyman,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,81,R,3000000,324,1.85,131
33,200,729,4109095,Crime|Drama|History|Romance,Indira Varma,8239,1292,Rekha,http://www.imdb.com/title/tt0116743/?ref_=fn_tt_tt_1,92,R,3000000,257,1.85,0
133,547,1000,4033268,Comedy|Drama,Oliver Platt,9808,3692,Ann Morgan Guilbert,http://www.imdb.com/title/tt0878835/?ref_=fn_tt_tt_1,53,R,,864,2.35,0
104,124,240,,Family|Fantasy|Musical,Peter Ostrum,128334,1011,Julie Dawn Cole,http://www.imdb.com/title/tt0067992/?ref_=fn_tt_tt_1,349,G,3000000,177,1.33,0
22,222,687,3902679,Fantasy|Horror,Julian Sands,3943,1806,Paula Marshall,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,49,R,3000000,233,1.66,217
30,267,578,3559990,Comedy|Crime,Kristy Swanson,8005,1363,Dyan Cannon,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,49,R,3000000,341,1.85,417
112,180,820,,Drama|Romance,Sam Shepard,37594,1618,Richard Libertini,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,181,PG,3000000,350,1.85,0
79,194,11000,3287435,Drama,Matthew McConaughey,8603,12250,Amy Irving,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,115,R,4500000,813,1.85,430
49,844,3000,3071947,Comedy|Crime|Thriller,Julie Benz,18711,9555,Jeff Conaway,http://www.imdb.com/title/tt0155776/?ref_=fn_tt_tt_1,183,R,3500000,2000,1.85,0
42,353,10000,2961991,Biography|Drama,Gary Oldman,15885,11459,Courtney Love,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,78,R,3300000,721,1.85,0
345,270,962,4063238,Comedy|Drama|Romance,Greta Gerwig,43982,2260,Vanessa Ray,http://www.imdb.com/title/tt2347569/?ref_=fn_tt_tt_1,139,R,,481,1.85,11000
152,29,113,2912363,Crime|Drama,Terry Pheto,25063,278,Rapulana Seiphemo,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,177,R,3000000,64,2.35,0
148,812,22000,3000000,Comedy|Drama,Philip Seymour Hoffman,55329,36859,Dylan Baker,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,499,,3000000,11000,1.85,0
23,24,489,2223990,Comedy|Documentary,Eddie Griffin,761,539,Robert Noble,http://www.imdb.com/title/tt0337996/?ref_=fn_tt_tt_1,14,R,3000000,26,1.85,26
254,387,40000,1821983,Comedy|Drama|Horror,Johnny Depp,31089,43810,Michael Parks,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,261,R,3000000,3000,2.35,20000
305,38,717,2181290,Drama|Mystery|Thriller,Min-sik Choi,356181,852,Hye-jeong Kang,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,809,R,3000000,78,2.35,43000
19,221,439,2848578,Drama|Family,Robyn Lively,3942,1567,Christopher Schmidt,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,65,PG,3500000,399,1.78,0
272,104,694,703002,Action|Comedy|Thriller,Gregory Smith,37495,1249,Molly Dunsworth,http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1,230,Not Rated,3000000,324,2.35,37000
5,165,574,3105269,Action|Comedy,Kevin Pollak,368,1335,Erick Elias,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,8,R,3000000,327,,174
65,221,904,,Comedy|Crime|Drama|Thriller,Bokeem Woodbine,22246,1663,Robert Peters,http://www.imdb.com/title/tt0116361/?ref_=fn_tt_tt_1,196,R,3000000,281,1.85,0
5,331,702,252726,Drama|Family|Western,William Morgan Sheppard,1289,2715,Brianna Brown,http://www.imdb.com/title/tt0785025/?ref_=fn_tt_tt_1,18,PG,3000000,366,,76
248,168,13000,373060,Drama,Michael Fassbender,47385,13636,Jason Maza,http://www.imdb.com/title/tt1232776/?ref_=fn_tt_tt_1,112,Not Rated,,260,1.33,0
152,322,962,1007535,Comedy|Drama|Romance,Greta Gerwig,7625,2452,Zach Woods,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,54,PG-13,,476,1.85,0
10,476,723,,Horror|Sci-Fi|Thriller,Craig T. Nelson,2011,3149,Megalyn Echikunwoke,http://www.imdb.com/title/tt0156205/?ref_=fn_tt_tt_1,33,,,539,1.78,518
156,416,4000,418268,Comedy|Romance,Kirsten Dunst,37156,8353,Andrew Rannells,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,129,R,3000000,3000,2.35,0
7,246,786,,Comedy|Drama|Horror|Sci-Fi|Thriller,Danny Pino,2948,1551,Zach Grenier,http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1,28,,,341,16.0,3000
1,249,912,,Drama|Family|Music,Virginia Madsen,758,2330,Lindsey Haun,http://www.imdb.com/title/tt0403118/?ref_=fn_tt_tt_1,27,PG-13,,750,,47
82,197,536,200803,Comedy,Michael Gross,7988,1467,Bob Ross,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,71,R,3000000,317,1.78,0
175,81,3000,33631221,Crime|Drama|Thriller,George Kennedy,48562,3784,Griffin Cleveland,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145,R,25000000,571,2.35,0
4,23,40,,Drama,Susan Hampshire,437,158,Tim Healy,http://www.imdb.com/title/tt0118327/?ref_=fn_tt_tt_1,20,,,37,1.33,450
40,17,289,95016,Comedy|Drama|Romance|Sport,Alicja Bachleda,11074,362,Robert Stadlober,http://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,56,R,2700000,38,1.85,442
8,847,1000,73678,Drama|History|War,Johnny Pacar,266,4374,Brendan Fehr,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,8,R,3000000,902,,348
