num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,content_rating,budget,movie_facebook_likes
17,3,421,Michael Winslow,Comedy|Crime,Christopher Lee,Police Academy: Mission to Moscow ,G.W. Bailey,0,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,English,USA,PG,6200000,321
20,11,553,Nate Parker,Drama,Ricky Schroder,Blood Done Sign My Name ,Lee Norris,0,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,English,USA,PG-13,,503
12,21,36,Andrés Montiel,Drama|History|War,Jorge Luis Moreno,Cinco de Mayo, La Batalla ,William Miller,1,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,Spanish,Mexico,R,10000000,874
59,53,499,Jared Gilman,Comedy|Drama|Romance,Chris Noth,Elsa & Fred ,James Brolin,0,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,English,USA,PG-13,10000000,0
29,71,385,Harvey Weinstein,Comedy,Eric Idle,An Alan Smithee Film: Burn Hollywood Burn ,Ryan O'Neal,0,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,English,USA,R,10000000,89
23,7,875,Justin Timberlake,Comedy|Drama,Jeff Bridges,The Open Road ,Ted Danson,2,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,English,USA,PG-13,10000000,370
22,0,617,Scott Porter,Comedy|Romance,Adrian Martinez,The Good Guy ,Aaron Yoo,2,http://www.imdb.com/title/tt1247662/?ref_=fn_tt_tt_1,English,USA,R,8000000,1000
43,8,495,Minnie Driver,Comedy|Drama,Stephanie Szostak,Motherhood ,Anthony Edwards,1,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,English,USA,PG-13,5000000,546
16,50,422,Corbin Bleu,Drama,Madison Pettis,Free Style ,Sandra Echeverría,3,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,English,Canada,PG,,58
84,93,51,Reef Ireland,Drama|Mystery|Thriller,Nicholas Hamilton,Strangerland ,Sean Keenan,0,http://www.imdb.com/title/tt2325977/?ref_=fn_tt_tt_1,English,Australia,R,10000000,0
4,7,240,Tamala Jones,Comedy|Crime|Music,Mike Epps,The Janky Promoters ,Glenn Plummer,2,http://www.imdb.com/title/tt1210071/?ref_=fn_tt_tt_1,English,USA,R,,402
20,7,611,Drew Waters,Comedy|Romance,Drew Fuller,Blonde Ambition ,Larry Miller,1,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,English,USA,PG-13,10000000,160
71,275,102,Leonor Watling,Crime|Mystery|Thriller,Jim Carter,The Oxford Murders ,Danny Sapani,4,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,English,Spain,R,10000000,0
102,10,72,Gyton Grantley,Horror|Thriller,Damian Walshe-Howling,The Reef ,Adrienne Pickering,0,http://www.imdb.com/title/tt1320291/?ref_=fn_tt_tt_1,English,Australia,R,,0
27,0,742,Rip Torn,Comedy|Drama,Zooey Deschanel,Eulogy ,Kelly Preston,6,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,English,USA,R,6500000,376
62,71,126,Craig Fairbrass,Drama|Fantasy|Horror|Thriller,Teryl Rothery,White Noise 2: The Light ,Adrian Holmes,0,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,English,USA,PG-13,10000000,509
5,8,111,Mishael Morgan,Drama|Music,Shane Pollard,You Got Served: Beat the World ,Chase Armitage,0,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,English,Canada,PG-13,10000000,0
76,13,415,Kevin Zegers,Drama|Thriller,Jim Sturgess,Fifty Dead Men Walking ,Michael McElhatton,1,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,English,UK,R,6000000,0
8,0,196,Tom Arnold,Adventure|Animation,Drake Bell,Jungle Shuffle ,Amanda Troop,0,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,English,South Korea,,10000000,186
75,261,520,Ayelet Zurer,Drama|War,Veronica Ferres,Adam Resurrected ,Derek Jacobi,2,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,English,Germany,R,10000000,589
66,4,5,Charlotte Bøving,Comedy|Drama|Romance,Ingvar Eggert Sigurðsson,Of Horses and Men ,Sigríður María Egilsdóttir,0,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,Icelandic,Iceland,,10000000,1000
31,98,95,Mark Addy,Comedy|Drama|Horror|Romance,Sendhil Ramamurthy,It's a Wonderful Afterlife ,Shabana Azmi,1,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,English,UK,PG-13,10000000,695
32,110,711,Henry Rollins,Action|Horror|Sci-Fi,Ray Winstone,The Devil's Tomb ,Jason London,4,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,English,USA,R,10000000,486
17,24,46,Jesse Moss,Drama|Romance,Jimi Mistry,Partition ,John Light,2,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,English,Canada,R,10000000,746
4,5,482,Luke Perry,Comedy,Elaine Hendrix,Good Intentions ,Jon Gries,5,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,English,USA,PG-13,10000000,119
