director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Gaspar Noé,161,116,Emily Alyn Lind,488,336467,Enter the Void ,45449,943,0,English,Not Rated,2009,289,7.3,2.35,23000
Amy Heckerling,92,613,Justin Kirk,1000,2964,Vamps ,7444,3086,2,English,PG-13,2012,945,5.1,1.78,0
Lasse Hallström,93,805,Sarah Roemer,1000,,Hachi: A Dog's Tale ,155249,4453,0,English,G,2009,884,8.1,1.85,115000
Jérôme Salle,110,44,Tanya van Graan,5000,,Zulu ,12817,5273,0,English,R,2013,170,6.7,2.35,0
Tommy Lee Jones,122,567,Tim Blake Nelson,883,2428883,The Homesman ,21370,2896,1,English,R,2014,596,6.6,2.35,0
Jesse Vaughan,91,574,Jenifer Lewis,890,13571817,Juwanna Mann ,5312,3104,3,English,PG-13,2002,578,4.5,1.85,939
,45,15,Trond Fausa,422,,Lilyhammer             ,19164,537,0,English,TV-MA,,57,8.1,16.0,16000
Atom Egoyan,115,125,Marie-Josée Croze,232,1554566,Ararat ,8624,699,1,English,R,2002,150,6.6,1.66,824
William Bindley,94,518,Jake Lloyd,844,508867,Madison ,1033,3583,0,English,PG,2001,626,6.5,2.35,282
Wayne Beach,93,922,LL Cool J,1000,1181197,Slow Burn ,3299,4329,0,English,R,2005,1000,5.9,1.85,191
Gérard Krawczyk,94,17,Ryôko Hirosue,235,81525,Wasabi ,29392,303,1,French,R,2001,46,6.6,2.35,0
James Gunn,95,102,Gregg Henry,499,7774730,Slither ,61912,1120,0,English,R,2006,298,6.5,1.85,0
Martin Brest,105,383,Ronny Cox,901,234760500,Beverly Hills Cop ,126464,3464,1,English,R,1984,605,7.3,1.85,0
Chris Columbus,103,925,Devin Ratray,3000,285761243,Home Alone ,311075,7521,5,English,PG,1990,1000,7.5,1.85,20000
Leonard Nimoy,102,801,Ted Danson,19000,167780960,3 Men and a Baby ,36918,21499,4,English,PG,1987,875,5.9,1.85,3000
