num_critic_for_reviews,actor_1_facebook_likes
302,14000
38,37
31,1000
118,13000
546,378
21,4000
86,2000
194,17000
437,13000
378,10000
170,10000
341,24000
139,18000
393,26000
224,786
203,13000
148,2000
131,11000
350,17000
129,18000
40,789
289,740
14,463
72,551
89,180
265,496
54,11000
126,9000
110,14000
138,15000
31,2000
95,746
267,12000
175,685
63,944
85,541
44,1000
334,14000
78,461
199,45000
186,920
77,877
68,808
261,768
5,778
122,2000
340,18000
493,13000
208,11000
134,12000
275,4000
120,22000
144,18000
332,492
104,1000
116,14000
177,18000
127,947
83,19000
97,900
256,40000
225,812
83,29000
160,826
191,11000
74,1000
238,15000
177,17000
405,15000
61,18000
285,529
124,49000
164,978
120,49000
90,11000
120,944
117,40000
226,14000
223,887
193,24000
228,15000
360,20000
148,1000
128,969
3,897
46,1000
40,288
63,2000
193,396
208,40000
122,446
228,730
212,20000
392,29000
208,1000
137,775
119,2000
195,2000
95,3000
100,591
164,939
211,907
91,18000
44,22000
97,287
32,436
270,826
89,11000
219,10000
180,327
93,1000
173,21000
121,1000
298,1000
158,1000
248,23000
155,472
105,3000
224,26000
129,4000
101,3000
145,465
57,14000
227,11000
13,605
171,553
119,18000
44,694
188,2000
166,1000
584,11000
67,635
233,1000
112,13000
151,3000
63,2000
335,23000
24,690
147,883
51,2000
10,2000
12,848
50,1000
149,548
24,695
28,837
95,3
288,30
10,621
58,4000
,970
297,988
90,1000
56,554
274,20000
68,372
98,12000
256,6
117,989
107,40000
52,818
135,18000
211,113
57,635
81,10000
107,2000
100,826
60,324
195,614
121,3000
285,852
103,18000
192,669
90,722
258,26000
56,11000
197,11000
254,165
299,14000
163,1000
152,22000
53,3000
67,773
88,13000
163,678
371,722
418,17000
131,826
98,22000
119,23000
133,49000
88,918
522,15000
43,344
224,8000
122,716
56,16000
75,649
441,10000
163,26000
63,29000
90,638
163,12000
197,1000
93,889
15,3000
260,12000
18,3000
70,13000
183,845
12,330
261,11000
167,839
42,975
130,10000
66,11000
449,18000
121,244
536,13000
135,12000
74,687
168,2000
464,783
204,26000
96,848
223,539
112,12000
142,3000
166,15000
114,18000
214,17000
126,11000
157,33000
104,826
304,15000
191,989
55,1000
59,531
108,11000
50,944
216,11000
472,2000
89,19000
229,616
268,16000
145,22000
177,33000
175,2000
131,1000
41,971
30,769
57,12000
391,24000
217,442
452,303
589,23000
61,979
79,405
234,11000
253,15000
51,971
123,1000
145,2000
65,970
152,11000
94,506
119,3000
487,617
121,14000
147,40000
85,18000
98,12000
39,1000
43,3000
108,1000
209,567
131,18000
73,984
316,19000
159,898
63,939
162,971
267,40000
95,696
478,455
305,15000
397,2000
214,11000
82,3000
138,2000
69,585
253,8000
304,430
634,26000
111,869
77,22000
120,581
63,13000
417,157
9,971
59,663
218,15000
359,17000
101,1000
52,680
85,12000
64,1000
263,940
450,17000
85,1000
162,759
85,577
110,631
165,521
64,11000
44,18000
147,973
242,2000
244,2000
73,1000
232,2000
63,1000
239,10000
158,14000
152,954
105,978
36,4000
181,19000
219,15000
158,14000
155,10000
74,13000
368,900
81,1000
154,1000
140,849
73,372
98,489
358,596
222,23000
85,811
62,21000
130,473
376,971
130,22000
65,448
77,1000
107,11000
292,10000
193,891
16,147
184,3000
123,779
60,18000
111,22000
217,3000
117,14000
105,2000
41,17000
124,876
90,489
110,826
273,11000
63,974
56,295
130,26000
134,18000
36,1000
46,113
7,922
132,963
5,114
56,1000
65,11000
221,10000
291,523
13,757
148,955
42,1000
302,2000
181,504
64,2000
154,22000
17,18000
65,11000
148,1000
161,1000
124,49000
349,559
148,11000
45,971
133,11000
87,11000
178,40000
233,25000
173,833
426,33000
210,579
129,639
287,3000
108,11000
62,173
220,13000
136,1000
222,22000
112,844
122,11
62,664
135,14000
184,576
36,580
171,943
447,553
220,731
122,18000
119,35000
177,422
302,11000
44,14000
211,933
222,3000
100,497
100,63
98,806
74,738
97,1000
21,1000
156,26000
125,1000
225,2000
85,2
135,480
350,17000
31,10000
177,23000
106,594
251,11000
148,673
76,940
52,358
220,386
131,24000
7,766
112,12000
93,1000
370,19000
83,11000
125,1000
73,953
98,1000
158,66
152,1000
202,13000
80,2000
288,898
99,523
222,3000
194,3000
15,491
56,303
63,11000
167,14000
101,748
118,1000
76,2000
268,8000
95,783
78,22000
127,1000
137,22000
54,844
38,5
167,567
129,2000
217,7000
134,1000
253,14000
46,743
232,11000
92,1000
153,3000
49,8000
79,813
56,385
224,332
175,748
197,1000
226,2000
335,12000
157,19000
69,2000
46,826
217,20000
55,1000
200,22000
93,11000
265,771
82,826
32,1000
