num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_imdb_link,country,aspect_ratio,movie_facebook_likes
47,194,103,Documentary,Noam Chomsky,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,USA,,570
68,9,861,Comedy|Crime|Drama,Henry Thomas,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,USA,1.85,0
19,17,636,Action|Drama|Thriller,Catherine Bell,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,USA,2.35,176
39,2,592,Drama|Mystery|Thriller,Pruitt Taylor Vince,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,USA,1.85,275
162,24,16000,Crime|Drama|Thriller,Charlie Hunnam,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,USA,2.35,0
37,24,933,Drama|Family,Connie Nielsen,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,Canada,2.35,1000
26,58,848,Action|Thriller,Drew Waters,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,USA,1.85,0
10,,805,Comedy|Drama|Romance,Romola Garai,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,UK,1.78,0
179,0,391,Horror|Mystery|Sci-Fi|Thriller,Debbie Harry,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,Canada,1.85,0
88,82,809,Comedy|Drama,Romain Duris,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,France,1.85,0
43,4,11000,Drama|Music,Anne Hathaway,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,USA,,0
136,58,33000,Crime|Mystery|Thriller,Ryan Gosling,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,USA,1.85,0
111,12,163,Drama|History|War,Yorick van Wageningen,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,Netherlands,2.35,0
13,139,2000,Comedy|Crime|Thriller,Billy Burke,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,USA,,0
64,287,343,Thriller|War,Jeanne Moreau,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,France,1.66,0
6,0,978,Drama|Thriller,Mira Sorvino,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,USA,2.35,543
112,64,778,Action|Crime|Drama|Thriller,Jon Foo,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,Thailand,1.85,0
12,0,722,Comedy,Sean Pertwee,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,UK,1.85,109
15,,229,Comedy|Romance,Simon Bird,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,UK,16.0,0
161,98,883,Comedy|Drama|Romance|Sport,Archie Panjabi,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,UK,1.85,0
68,407,688,Drama|Romance,Miguel Ferrer,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,USA,1.85,160
25,17,592,Action|Sport,Wesley Jonathan,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,USA,1.85,244
23,2,634,Action|Comedy,Asin,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,India,,365
222,57,37,Horror,Jonathan D. Mellor,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,Spain,1.85,4000
9,12,25,Musical,Kayla Jackson,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,USA,,277
119,131,1000,Comedy|Crime|Drama,Eileen Brennan,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,USA,1.85,0
90,46,368,Biography|Drama|Sport,Alice Krige,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,UK,1.85,0
62,0,907,Comedy|Drama|Romance,Cicely Tyson,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,USA,1.85,0
71,96,509,Biography|Drama|Music|Romance,Noah Taylor,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,Australia,1.85,0
364,23000,23000,Comedy|Drama|Romance,Joseph Gordon-Levitt,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,USA,2.35,33000
72,16000,16000,Mystery|Western,Clint Eastwood,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,USA,2.35,0
122,72,19000,Comedy|Drama,Scarlett Johansson,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,USA,1.85,5000
100,14,14000,Biography|Drama|Romance,Kate Winslet,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,UK,1.85,0
24,14,113,Comedy|Sci-Fi,Stephen Macht,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,USA,2.35,438
112,25,517,Drama|Music,Jean-Baptiste Maunier,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,France,2.35,0
67,9,636,Comedy|Drama,Paul Sorvino,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,Canada,1.85,352
91,10,715,Crime|Drama|Mystery|Thriller,Alexis Dziena,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,USA,1.85,1000
103,0,782,Drama,Ruby Dee,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,USA,1.85,0
27,56,4000,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,USA,2.35,113
205,592,232,Comedy|Drama,Jean-Pierre Léaud,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,Finland,1.85,0
