num_critic_for_reviews,duration,actor_2_name,gross,genres,num_voted_users,actor_3_name,movie_imdb_link,country,budget,title_year,imdb_score,movie_facebook_likes
75,89,Jerry Nelson,27281507,Comedy|Drama|Family|Fantasy|Musical,33850,Steve Whitmire,http://www.imdb.com/title/tt0104940/?ref_=fn_tt_tt_1,USA,12000000,1992,7.7,0
400,144,Tobias Menzies,167007184,Action|Adventure|Thriller,470501,Ivana Milicevic,http://www.imdb.com/title/tt0381061/?ref_=fn_tt_tt_1,UK,150000000,2006,8.0,0
128,123,Roger Rees,25776062,Biography|Drama|Romance,61651,Valeria Golino,http://www.imdb.com/title/tt0120679/?ref_=fn_tt_tt_1,USA,12000000,2002,7.4,0
68,93,Ashley Ashida Dixon,25240988,Documentary|Music,12383,Anthony Burrell,http://www.imdb.com/title/tt2215719/?ref_=fn_tt_tt_1,USA,12000000,2012,5.9,0
326,133,Sam Trammell,124868837,Drama|Romance,249688,Nat Wolff,http://www.imdb.com/title/tt2582846/?ref_=fn_tt_tt_1,USA,12000000,2014,7.8,93000
128,121,Martin Landau,22905674,Crime|Drama,121676,Gretchen Mol,http://www.imdb.com/title/tt0128442/?ref_=fn_tt_tt_1,USA,12000000,1998,7.4,0
161,102,Romany Malco,25277561,Comedy|Romance,21672,J.B. Smoove,http://www.imdb.com/title/tt2784678/?ref_=fn_tt_tt_1,USA,12000000,2014,6.5,0
70,102,Richard Dysart,,Horror|Sci-Fi,3000,Robert Foxworth,http://www.imdb.com/title/tt0079758/?ref_=fn_tt_tt_1,USA,12000000,1979,5.4,902
164,99,Kathryn Erbe,21133087,Horror|Mystery|Thriller,62468,Lusia Strus,http://www.imdb.com/title/tt0164181/?ref_=fn_tt_tt_1,USA,12000000,1999,7.0,0
68,55,Kelvin Taylor,,Action|Adventure|Biography|Drama|History,173172,Viva Bianca,http://www.imdb.com/title/tt1442449/?ref_=fn_tt_tt_1,USA,,,8.6,31000
354,98,Mare Winningham,37707719,Biography|Drama,76094,Peter Hermann,http://www.imdb.com/title/tt2431286/?ref_=fn_tt_tt_1,UK,12000000,2013,7.6,37000
125,118,Erika Christensen,18761993,Comedy|Drama,19007,Joan Allen,http://www.imdb.com/title/tt0365885/?ref_=fn_tt_tt_1,USA,9000000,2005,6.9,549
55,125,Anne Meara,,Drama|Thriller,20660,Steve Guttenberg,http://www.imdb.com/title/tt0077269/?ref_=fn_tt_tt_1,UK,12000000,1978,7.0,0
66,104,Joanna 'JoJo' Levesque,18595716,Comedy|Family|Fantasy|Romance,30462,Dichen Lachman,http://www.imdb.com/title/tt0429591/?ref_=fn_tt_tt_1,USA,12000000,2006,5.3,0
191,109,Cara Delevingne,31990064,Drama|Mystery|Romance,63390,Meg Crosbie,http://www.imdb.com/title/tt3622592/?ref_=fn_tt_tt_1,USA,12000000,2015,6.4,0
33,86,Marsha Thomason,17321573,Comedy,3119,Bai Ling,http://www.imdb.com/title/tt0332712/?ref_=fn_tt_tt_1,USA,,2004,4.5,151
433,115,Bruce Dern,17613460,Adventure|Comedy|Drama,91082,Will Forte,http://www.imdb.com/title/tt1821549/?ref_=fn_tt_tt_1,USA,12000000,2013,7.8,28000
66,92,Jada Pinkett Smith,21088568,Action|Fantasy|Horror|Thriller,16646,Gary Farmer,http://www.imdb.com/title/tt0114608/?ref_=fn_tt_tt_1,USA,13000000,1995,6.7,0
37,91,Amber Valletta,17292381,Comedy|Crime|Family,5794,Larry Miller,http://www.imdb.com/title/tt0273799/?ref_=fn_tt_tt_1,USA,12000000,2001,5.3,371
325,94,Patton Oswalt,16300302,Comedy|Drama,64682,Collette Wolfe,http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,USA,12000000,2011,6.3,0
