director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,movie_title,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Charles Chaplin,120,87,0,8,Stanley Blystone,309,Modern Times ,352,English,USA,G,1500000,8,0
Pete Jones,31,91,18,597,Aidan Quinn,954,Stolen Summer ,3901,English,USA,PG,1500000,767,304
Bruce Campbell,100,84,0,158,Dan Hicks,634,My Name Is Bruce ,1238,English,USA,R,1500000,328,0
Mark Brown,14,90,7,424,Monica Calhoun,890,The Salon ,3138,English,USA,PG-13,1500000,597,68
Adam Carolla,14,98,102,360,Jim O'Heir,563,Road Hard ,2628,English,USA,,1500000,485,212
Ira Sachs,39,108,60,121,Jenny O'Hara,826,Forty Shades of Blue ,1240,English,USA,R,1500000,189,216
John Sayles,35,124,407,7,John Arcilla,38,Amigo ,60,English,USA,R,1700000,8,594
Bruce McDonald,178,95,49,57,Georgina Reilly,413,Pontypool ,721,English,Canada,Not Rated,1500000,98,0
James Mottern,46,90,7,711,Joey Lauren Adams,87000,Trucker ,89263,English,USA,R,2000000,781,371
Jaime Zevallos,,93,228,134,Jaime Zevallos,310,Me You and Five Bucks ,771,English,USA,,1500000,228,132
Rob Zombie,234,101,0,721,Dee Wallace,1000,The Lords of Salem ,5158,English,USA,R,2500000,725,15000
Gerard Johnstone,166,107,3,28,Bruce Hopkins,61,Housebound ,165,English,New Zealand,Not Rated,350000,46,10000
Robert Greenwald,56,20,21,0,Jon Hunter,0,Wal-Mart: The High Cost of Low Price ,0,English,USA,Not Rated,1500000,0,0
David Ray,16,87,0,108,Sarah Lind,199,Fetching Cody ,596,English,Canada,,1500000,134,193
Dave Rodriguez,9,98,11,636,Michael Rapaport,979,Once Upon a Time in Queens ,4036,English,USA,R,1500000,975,283
Nae Caranfil,18,112,34,71,Joe Armstrong,129,Closer to the Moon ,588,English,Romania,Not Rated,5000000,98,0
David Winning,4,82,65,146,Amber Marshall,341,Mutant World ,967,English,Canada,,1500000,265,236
Frank Lotito,,102,5,259,Jake Busey,3000,Growing Up Smith ,4320,English,USA,PG-13,2000000,660,232
Timothy Woodward Jr.,6,97,764,492,Johnny Messner,835,Checkmate ,2882,English,USA,,1500000,522,402
Christopher McQuarrie,387,130,188,1000,Robert Duvall,10000,Jack Reacher ,16385,English,USA,PG-13,60000000,3000,38000
